capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-04 09:19:01,-1.0,102.96,9.65,35.13
2018-09-04 09:34:01,-1.0,68.0,9.91,32.31
2018-09-04 09:49:01,-1.0,57.09,9.53,31.07
2018-09-04 10:04:01,-1.0,76.41,9.91,32.62
2018-09-04 10:19:01,-1.0,55.09,9.65,31.51
2018-09-04 10:34:01,-1.0,52.45,9.53,31.43
2018-09-04 10:49:01,-1.0,55.65,9.4,29.48
2018-09-04 11:04:01,-1.0,68.0,9.91,32.18
2018-09-04 11:19:01,-1.0,91.33,9.65,33.78
2018-09-04 11:34:01,-1.0,103.91,9.4,36.55
2018-09-04 11:49:01,-1.0,117.87,9.65,38.32
2018-09-04 12:04:01,-1.0,107.85,10.04,38.93
2018-09-04 12:19:01,-1.0,101.13,9.53,36.46
2018-09-04 12:34:01,-1.0,92.83,9.91,35.68
2018-09-04 12:49:01,-1.0,116.67,9.65,37.57
2018-09-04 13:04:01,-1.0,85.12,9.91,34.05
2018-09-04 13:19:01,-1.0,71.97,9.53,33.78
2018-09-04 13:34:01,-1.0,72.91,10.04,32.76
2018-09-04 13:49:01,-1.0,87.77,9.91,33.96
2018-09-04 14:04:01,-1.0,90.6,9.91,34.59
2018-09-04 14:19:01,-1.0,69.28,9.91,34.5
2018-09-04 14:34:01,-1.0,62.97,9.91,32.84
2018-09-04 14:49:01,-1.0,53.74,10.04,31.82
2018-09-04 15:04:01,-1.0,46.41,10.16,30.14
2018-09-04 15:19:01,-1.0,31.63,9.65,28.95
2018-09-04 15:34:01,-1.0,26.88,10.16,27.58
2018-09-04 15:49:01,-1.0,33.11,9.91,28.15
2018-09-04 16:04:01,-1.0,19.34,9.91,26.69
2018-09-04 16:19:01,-1.0,25.39,10.16,26.64
2018-09-04 16:34:01,-1.0,29.03,9.91,28.33
2018-09-04 16:49:01,-1.0,28.71,9.53,27.36
2018-09-04 17:04:01,-1.0,22.54,10.04,27.13
2018-09-04 17:19:01,-1.0,29.76,10.16,27.27
2018-09-04 17:34:01,-1.0,19.49,9.65,26.82
2018-09-04 17:49:01,-1.0,15.8,9.91,26.42
2018-09-04 18:04:01,-1.0,8.03,9.53,24.34
2018-09-04 18:19:01,-1.0,5.74,9.53,24.02
2018-09-04 18:34:01,-1.0,3.15,9.91,23.28
2018-09-04 18:49:01,-1.0,1.2,9.91,22.54
2018-09-04 19:04:01,-1.0,0.2,10.04,22.16
2018-09-04 19:19:01,-1.0,0.1,9.78,21.41
2018-09-04 19:34:01,-1.0,0.1,9.53,21.6
2018-09-04 19:49:01,-1.0,0.1,9.78,21.03
2018-09-04 20:04:01,-1.0,0.1,9.65,21.64
2018-09-04 20:19:01,-1.0,0.1,9.65,21.83
2018-09-04 20:34:01,-1.0,0.1,9.65,21.74
2018-09-04 20:49:01,-1.0,0.1,9.91,21.31
2018-09-04 21:04:01,-1.0,0.1,10.04,21.12
2018-09-04 21:19:01,-1.0,0.1,9.78,20.83
2018-09-04 21:34:01,-1.0,0.1,9.78,20.55
2018-09-04 21:49:01,-1.0,0.1,9.91,20.64
2018-09-04 22:04:01,-1.0,0.1,9.65,19.82
2018-09-04 22:19:01,-1.0,0.1,9.65,17.43
2018-09-04 22:34:01,-1.0,0.1,9.53,16.45
2018-09-04 22:49:01,-1.0,0.1,9.78,18.39
2018-09-04 23:04:01,-1.0,0.1,9.78,18.39
2018-09-04 23:19:01,-1.0,0.1,9.53,17.22
2018-09-04 23:34:01,-1.0,0.1,9.65,16.19
2018-09-04 23:49:01,-1.0,0.1,9.53,15.93
2018-09-05 00:04:01,-1.0,0.1,9.65,15.77
2018-09-05 00:19:01,-1.0,0.1,9.65,15.72
2018-09-05 00:34:01,-1.0,0.1,9.78,15.66
2018-09-05 00:49:01,-1.0,0.1,9.53,15.45
2018-09-05 01:04:01,-1.0,0.1,9.91,15.24
2018-09-05 01:19:01,-1.0,0.1,9.65,16.03
2018-09-05 01:34:01,-1.0,0.1,9.78,15.45
2018-09-05 01:49:01,-1.0,0.1,9.78,15.4
2018-09-05 02:04:01,-1.0,0.1,9.4,16.66
2018-09-05 02:19:01,-1.0,0.1,9.78,17.43
2018-09-05 02:34:01,-1.0,0.1,9.65,18.19
2018-09-05 02:49:01,-1.0,0.1,9.27,17.53
2018-09-05 03:04:01,-1.0,0.1,9.53,16.03
2018-09-05 03:19:01,-1.0,0.1,9.4,16.4
2018-09-05 03:34:01,-1.0,0.1,9.53,15.87
2018-09-05 03:49:01,-1.0,0.1,9.4,15.61
2018-09-05 04:04:01,-1.0,0.1,9.91,16.45
2018-09-05 04:19:01,-1.0,0.1,9.4,14.43
2018-09-05 04:34:01,-1.0,0.1,9.65,13.67
2018-09-05 04:49:01,-1.0,0.1,9.4,13.51
2018-09-05 05:04:01,-1.0,0.1,9.15,13.34
2018-09-05 05:19:01,-1.0,0.1,9.78,13.17
2018-09-05 05:34:01,-1.0,0.1,9.91,12.95
2018-09-05 05:49:01,-1.0,0.1,9.65,13.17
2018-09-05 06:04:01,-1.0,0.39,9.53,12.9
2018-09-05 06:19:01,-1.0,1.89,9.27,13.78
2018-09-05 06:34:01,-1.0,4.45,9.4,14.97
2018-09-05 06:49:01,-1.0,7.49,9.53,15.66
2018-09-05 07:04:01,-1.0,10.31,9.4,17.73
2018-09-05 07:19:01,-1.0,12.68,9.65,18.49
2018-09-05 07:34:01,-1.0,15.1,9.15,19.18
2018-09-05 07:49:01,-1.0,17.53,9.65,20.06
2018-09-05 08:04:01,-1.0,20.99,9.53,21.17
2018-09-05 08:19:01,-1.0,61.57,9.53,29.92
2018-09-05 08:34:01,-1.0,71.5,9.27,34.05
2018-09-05 08:49:01,-1.0,79.67,9.78,35.13
2018-09-05 09:04:01,-1.0,87.1,9.53,36.0
2018-09-05 09:19:01,-1.0,96.81,9.65,38.04
2018-09-05 09:34:01,-1.0,111.0,9.27,39.27
2018-09-05 09:49:01,-1.0,115.49,9.4,40.57
2018-09-05 10:04:01,-1.0,132.87,9.78,42.67
2018-09-05 10:19:01,-1.0,150.11,9.78,44.74
2018-09-05 10:34:01,-1.0,52.96,9.91,39.85
2018-09-05 10:49:01,-1.0,50.98,9.65,35.86
2018-09-05 11:04:01,-1.0,73.88,9.91,35.54
2018-09-05 11:19:01,-1.0,76.93,9.53,35.72
2018-09-05 11:34:01,-1.0,97.64,9.91,38.74
2018-09-05 11:49:01,-1.0,66.77,10.04,38.27
