capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-04 09:10:15,-1.0,58.08,6.51,34.45
2018-09-04 09:25:15,-1.0,45.09,6.51,37.71
2018-09-04 09:40:15,-1.0,47.56,6.89,36.09
2018-09-04 09:55:15,-1.0,50.3,6.76,34.54
2018-09-04 10:10:15,-1.0,68.14,6.76,38.18
2018-09-04 10:25:15,-1.0,55.63,6.51,35.81
2018-09-04 10:40:15,-1.0,35.01,6.89,34.19
2018-09-04 10:55:15,-1.0,57.13,6.76,34.86
2018-09-04 11:10:15,-1.0,55.92,6.76,36.55
2018-09-04 11:25:15,-1.0,73.79,6.51,38.89
2018-09-04 11:40:15,-1.0,79.82,6.89,41.71
2018-09-04 11:55:15,-1.0,85.52,6.64,42.36
2018-09-04 12:10:15,-1.0,82.26,6.64,42.52
2018-09-04 12:25:15,-1.0,68.14,6.39,41.16
2018-09-04 12:40:15,-1.0,91.29,6.76,42.92
2018-09-04 12:55:15,-1.0,65.22,6.76,41.76
2018-09-04 13:10:15,-1.0,64.43,6.51,40.53
2018-09-04 13:25:15,-1.0,52.84,6.76,37.89
2018-09-04 13:40:15,-1.0,57.45,6.51,38.27
2018-09-04 13:55:15,-1.0,66.86,6.64,39.65
2018-09-04 14:10:15,-1.0,62.17,6.64,40.04
2018-09-04 14:25:15,-1.0,48.0,6.26,38.04
2018-09-04 14:40:15,-1.0,49.12,6.76,37.24
2018-09-04 14:55:15,-1.0,37.85,6.39,35.68
2018-09-04 15:10:15,-1.0,31.36,6.76,34.01
2018-09-04 15:25:15,-1.0,22.1,7.01,32.49
2018-09-04 15:40:15,-1.0,24.95,6.89,31.34
2018-09-04 15:55:15,-1.0,23.66,6.76,31.69
2018-09-04 16:10:15,-1.0,12.04,6.51,29.57
2018-09-04 16:25:15,-1.0,25.59,6.89,30.45
2018-09-04 16:40:15,-1.0,24.71,6.76,30.98
2018-09-04 16:55:15,-1.0,19.66,7.01,30.89
2018-09-04 17:10:15,-1.0,15.27,7.01,29.7
2018-09-04 17:25:15,-1.0,16.12,6.76,29.7
2018-09-04 17:40:15,-1.0,13.61,6.64,28.91
2018-09-04 17:55:15,-1.0,8.23,6.89,28.07
2018-09-04 18:10:15,-1.0,5.26,7.01,26.82
