capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-04 09:08:38,-1.0,81.9,12.81,34.32
2018-09-04 09:23:38,-1.0,67.76,13.33,39.41
2018-09-04 09:38:38,-1.0,54.1,12.94,35.09
2018-09-04 09:53:38,-1.0,53.82,13.2,33.78
2018-09-04 10:08:38,-1.0,69.09,13.2,36.32
2018-09-04 10:23:38,-1.0,56.45,13.33,33.38
2018-09-04 10:38:38,-1.0,41.83,12.81,32.71
2018-09-04 10:53:38,-1.0,61.42,13.33,32.93
2018-09-04 11:08:38,-1.0,60.36,13.07,34.1
2018-09-04 11:23:38,-1.0,83.17,13.45,36.46
2018-09-04 11:38:38,-1.0,87.97,13.45,38.32
2018-09-04 11:53:38,-1.0,108.34,13.45,41.07
2018-09-04 12:08:38,-1.0,100.29,13.45,39.75
2018-09-04 12:23:38,-1.0,80.05,13.07,39.46
2018-09-04 12:38:38,-1.0,106.21,13.33,39.22
2018-09-04 12:53:38,-1.0,73.92,13.45,39.99
2018-09-04 13:08:38,-1.0,72.9,13.33,36.69
2018-09-04 13:23:38,-1.0,56.75,13.45,34.91
2018-09-04 13:38:38,-1.0,65.24,13.2,35.72
2018-09-04 13:53:38,-1.0,74.44,13.2,37.24
2018-09-04 14:08:38,-1.0,75.5,13.71,36.5
2018-09-04 14:23:38,-1.0,54.38,13.2,34.54
2018-09-04 14:38:38,-1.0,54.38,13.45,34.14
2018-09-04 14:53:38,-1.0,41.66,13.45,32.67
2018-09-04 15:08:38,-1.0,31.97,13.45,30.98
2018-09-04 15:23:38,-1.0,22.58,13.58,29.61
2018-09-04 15:38:38,-1.0,24.59,13.45,29.13
2018-09-04 15:53:38,-1.0,23.6,13.33,29.53
2018-09-04 16:08:38,-1.0,12.45,13.33,27.49
2018-09-04 16:23:38,-1.0,27.97,13.33,28.6
2018-09-04 16:38:38,-1.0,25.22,13.33,28.77
2018-09-04 16:53:38,-1.0,21.83,13.58,28.6
2018-09-04 17:08:38,-1.0,15.62,13.45,27.98
2018-09-04 17:23:38,-1.0,17.73,13.71,28.11
2018-09-04 17:38:38,-1.0,15.75,13.45,27.53
2018-09-04 17:53:38,-1.0,8.84,13.07,26.73
2018-09-04 18:08:38,-1.0,6.08,13.33,25.7
2018-09-04 18:23:38,-1.0,4.12,13.2,25.29
2018-09-04 18:38:38,-1.0,1.97,13.2,24.66
2018-09-04 18:53:38,-1.0,0.63,13.33,24.06
2018-09-04 19:08:38,-1.0,0.1,13.45,23.74
2018-09-04 19:23:38,-1.0,0.1,13.07,23.05
2018-09-04 19:38:38,-1.0,0.1,13.07,22.96
2018-09-04 19:53:38,-1.0,0.1,13.33,23.0
2018-09-04 20:08:38,-1.0,0.1,13.45,23.47
2018-09-04 20:23:38,-1.0,0.1,13.45,23.51
2018-09-04 20:38:38,-1.0,0.1,13.33,23.33
2018-09-04 20:53:38,-1.0,0.1,12.94,23.0
2018-09-04 21:08:38,-1.0,0.1,13.07,22.72
2018-09-04 21:23:38,-1.0,0.1,13.45,22.49
2018-09-04 21:38:38,-1.0,0.1,12.94,22.3
2018-09-04 21:53:38,-1.0,0.1,12.81,22.35
2018-09-04 22:08:38,-1.0,0.1,13.33,21.17
2018-09-04 22:23:38,-1.0,0.1,13.33,20.06
2018-09-04 22:38:38,-1.0,0.1,12.94,19.77
2018-09-04 22:53:38,-1.0,0.1,12.94,20.55
2018-09-04 23:08:38,-1.0,0.1,13.45,19.82
2018-09-04 23:23:38,-1.0,0.1,13.2,19.33
2018-09-04 23:38:38,-1.0,0.1,13.2,19.03
2018-09-04 23:53:38,-1.0,0.1,12.94,18.59
2018-09-05 00:08:38,-1.0,0.1,13.07,18.24
2018-09-05 00:23:38,-1.0,0.1,13.2,17.98
2018-09-05 00:38:38,-1.0,0.1,13.07,17.73
2018-09-05 00:53:38,-1.0,0.1,13.2,17.83
2018-09-05 01:08:38,-1.0,0.1,13.33,17.68
2018-09-05 01:23:38,-1.0,0.1,13.07,17.73
2018-09-05 01:38:38,-1.0,0.1,12.68,17.63
2018-09-05 01:53:38,-1.0,0.1,13.07,17.68
2018-09-05 02:08:38,-1.0,0.1,12.81,18.69
2018-09-05 02:23:38,-1.0,0.1,13.2,19.62
2018-09-05 02:38:38,-1.0,0.1,13.07,19.82
2018-09-05 02:53:38,-1.0,0.1,12.68,19.13
2018-09-05 03:08:38,-1.0,0.1,13.33,18.03
2018-09-05 03:23:38,-1.0,0.1,13.07,18.13
2018-09-05 03:38:38,-1.0,0.1,13.07,17.83
2018-09-05 03:53:38,-1.0,0.1,13.2,18.69
2018-09-05 04:08:38,-1.0,0.1,12.68,18.24
2018-09-05 04:23:38,-1.0,0.1,13.07,17.38
2018-09-05 04:38:38,-1.0,0.1,12.81,16.91
2018-09-05 04:53:38,-1.0,0.1,12.81,16.81
2018-09-05 05:08:38,-1.0,0.1,12.68,16.6
2018-09-05 05:23:38,-1.0,0.1,13.2,16.66
2018-09-05 05:38:38,-1.0,0.1,12.81,16.4
2018-09-05 05:53:38,-1.0,0.1,12.68,16.55
2018-09-05 06:08:38,-1.0,0.6,12.81,16.55
2018-09-05 06:23:38,-1.0,2.19,13.07,17.12
2018-09-05 06:38:38,-1.0,5.41,13.07,18.24
2018-09-05 06:53:38,-1.0,11.31,12.81,22.07
2018-09-05 07:08:38,-1.0,19.27,13.07,25.65
2018-09-05 07:23:38,-1.0,27.21,12.94,29.88
2018-09-05 07:38:38,-1.0,34.36,13.07,33.07
2018-09-05 07:53:38,-1.0,42.0,13.07,35.68
2018-09-05 08:08:38,-1.0,50.42,12.94,37.89
2018-09-05 08:23:38,-1.0,59.67,13.2,39.75
2018-09-05 08:38:38,-1.0,67.76,12.94,41.61
2018-09-05 08:53:38,-1.0,72.4,13.2,42.82
2018-09-05 09:08:38,-1.0,78.86,12.94,44.16
