capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-04 09:07:18,-1.0,27.12,3.27,35.68
2018-09-04 09:22:18,-1.0,45.53,3.05,41.91
2018-09-04 09:37:18,-1.0,43.65,3.27,41.36
2018-09-04 09:52:18,-1.0,40.77,3.16,40.48
2018-09-04 10:07:18,-1.0,58.57,3.39,43.49
2018-09-04 10:22:18,-1.0,42.76,2.93,40.62
2018-09-04 10:37:18,-1.0,33.89,3.16,40.28
2018-09-04 10:52:18,-1.0,51.26,3.27,39.27
2018-09-04 11:07:18,-1.0,53.85,2.93,42.11
2018-09-04 11:22:18,-1.0,66.96,2.93,46.14
2018-09-04 11:37:18,-1.0,78.05,2.93,50.3
2018-09-04 11:52:18,-1.0,83.42,3.16,55.0
2018-09-04 12:07:18,-1.0,78.61,3.05,55.0
2018-09-04 12:22:18,-1.0,70.45,2.93,52.18
2018-09-04 12:37:18,-1.0,82.79,3.05,50.53
2018-09-04 12:52:18,-1.0,70.45,3.27,54.46
2018-09-04 13:07:18,-1.0,64.95,2.82,48.54
2018-09-04 13:22:18,-1.0,49.58,3.5,45.55
2018-09-04 13:37:18,-1.0,56.71,3.39,44.53
2018-09-04 13:52:18,-1.0,60.9,3.27,47.08
2018-09-04 14:07:18,-1.0,68.23,3.05,48.2
2018-09-04 14:22:18,-1.0,48.67,3.16,44.8
2018-09-04 14:37:18,-1.0,50.29,3.16,42.92
2018-09-04 14:52:18,-1.0,39.1,3.39,41.02
2018-09-04 15:07:18,-1.0,30.31,3.05,39.08
2018-09-04 15:22:18,-1.0,21.92,3.16,36.27
2018-09-04 15:37:18,-1.0,20.97,3.39,34.41
2018-09-04 15:52:18,-1.0,22.81,3.39,35.36
2018-09-04 16:07:18,-1.0,10.66,3.27,32.76
2018-09-04 16:22:18,-1.0,24.0,3.27,33.02
2018-09-04 16:37:18,-1.0,23.02,3.16,34.36
2018-09-04 16:52:18,-1.0,22.02,3.27,34.19
2018-09-04 17:07:18,-1.0,15.23,3.5,33.02
2018-09-04 17:22:18,-1.0,21.37,3.27,32.8
2018-09-04 17:37:18,-1.0,14.77,3.05,30.63
2018-09-04 17:52:18,-1.0,9.81,2.93,29.88
2018-09-04 18:07:18,-1.0,5.56,3.16,28.42
2018-09-04 18:22:18,-1.0,4.11,3.05,27.76
2018-09-04 18:37:18,-1.0,1.91,3.5,26.24
2018-09-04 18:52:18,-1.0,0.68,3.27,25.07
2018-09-04 19:07:18,-1.0,0.1,3.05,24.43
2018-09-04 19:22:18,-1.0,0.1,3.16,23.51
2018-09-04 19:37:18,-1.0,0.1,3.39,23.6
2018-09-04 19:52:18,-1.0,0.1,3.05,23.33
2018-09-04 20:07:18,-1.0,0.1,3.39,23.83
2018-09-04 20:22:18,-1.0,0.1,3.27,24.02
2018-09-04 20:37:18,-1.0,0.1,3.16,23.88
2018-09-04 20:52:18,-1.0,0.1,3.27,23.33
2018-09-04 21:07:18,-1.0,0.1,3.62,23.14
2018-09-04 21:22:18,-1.0,0.1,3.16,22.86
2018-09-04 21:37:18,-1.0,0.1,3.27,22.49
2018-09-04 21:52:18,-1.0,0.1,3.39,22.4
2018-09-04 22:07:18,-1.0,0.1,3.5,21.17
2018-09-04 22:22:18,-1.0,0.1,3.27,19.92
2018-09-04 22:37:18,-1.0,0.1,2.93,19.28
2018-09-04 22:52:18,-1.0,0.1,3.27,20.79
2018-09-04 23:07:18,-1.0,0.1,3.27,20.06
2018-09-04 23:22:18,-1.0,0.1,3.16,19.38
2018-09-04 23:37:18,-1.0,0.1,2.93,19.08
2018-09-04 23:52:18,-1.0,0.1,3.27,18.88
2018-09-05 00:07:18,-1.0,0.1,3.62,18.54
2018-09-05 00:22:18,-1.0,0.1,3.39,18.78
2018-09-05 00:37:18,-1.0,0.1,3.16,18.49
2018-09-05 00:52:18,-1.0,0.1,3.27,18.39
2018-09-05 01:07:18,-1.0,0.1,3.62,18.08
2018-09-05 01:22:18,-1.0,0.1,3.5,18.08
