capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-04 09:09:45,-1.0,91.82,10.65,32.71
2018-09-04 09:24:45,-1.0,37.94,10.38,35.68
2018-09-04 09:39:45,-1.0,35.95,10.91,32.44
2018-09-04 09:54:45,-1.0,33.51,10.65,31.43
2018-09-04 10:09:45,-1.0,54.9,10.78,33.29
2018-09-04 10:24:45,-1.0,36.06,10.65,31.91
2018-09-04 10:39:45,-1.0,25.81,10.65,30.63
2018-09-04 10:54:45,-1.0,39.02,10.52,30.72
2018-09-04 11:09:45,-1.0,41.38,10.91,32.58
2018-09-04 11:24:45,-1.0,49.75,10.78,34.36
2018-09-04 11:39:45,-1.0,51.6,10.78,35.5
2018-09-04 11:54:45,-1.0,53.58,10.78,36.09
2018-09-04 12:09:45,-1.0,47.62,10.65,34.5
2018-09-04 12:24:45,-1.0,43.33,10.65,34.01
2018-09-04 12:39:45,-1.0,50.89,10.65,35.4
2018-09-04 12:54:45,-1.0,42.82,10.65,35.04
2018-09-04 13:09:45,-1.0,42.99,10.65,34.19
2018-09-04 13:24:45,-1.0,33.93,10.65,32.93
2018-09-04 13:39:45,-1.0,38.48,10.52,33.47
2018-09-04 13:54:45,-1.0,39.87,10.78,33.92
2018-09-04 14:09:45,-1.0,38.88,10.65,34.01
2018-09-04 14:24:45,-1.0,32.7,10.65,32.89
2018-09-04 14:39:45,-1.0,32.12,10.91,32.49
2018-09-04 14:54:45,-1.0,26.32,10.91,31.34
2018-09-04 15:09:45,-1.0,22.21,10.78,30.5
2018-09-04 15:24:45,-1.0,15.85,10.52,29.13
2018-09-04 15:39:45,-1.0,15.73,10.91,28.15
2018-09-04 15:54:45,-1.0,15.77,10.65,28.33
2018-09-04 16:09:45,-1.0,8.16,10.91,26.6
2018-09-04 16:24:45,-1.0,16.34,10.91,27.67
2018-09-04 16:39:45,-1.0,15.92,10.38,28.15
2018-09-04 16:54:45,-1.0,13.42,10.38,27.84
2018-09-04 17:09:45,-1.0,9.98,10.52,27.09
2018-09-04 17:24:45,-1.0,11.17,10.38,27.22
2018-09-04 17:39:45,-1.0,8.83,10.91,26.37
2018-09-04 17:54:45,-1.0,5.65,10.52,25.7
2018-09-04 18:09:45,-1.0,3.6,10.52,24.84
2018-09-04 18:24:45,-1.0,2.31,10.65,24.48
2018-09-04 18:39:45,-1.0,1.11,10.65,23.74
2018-09-04 18:54:45,-1.0,0.37,10.78,23.19
2018-09-04 19:09:45,-1.0,0.1,10.65,22.86
2018-09-04 19:24:45,-1.0,0.1,10.78,22.49
2018-09-04 19:39:45,-1.0,0.1,10.52,22.35
2018-09-04 19:54:45,-1.0,0.1,10.52,22.21
2018-09-04 20:09:45,-1.0,0.1,10.52,22.63
2018-09-04 20:24:45,-1.0,0.1,10.25,22.68
2018-09-04 20:39:45,-1.0,0.1,10.52,22.54
2018-09-04 20:54:45,-1.0,0.1,10.78,22.21
2018-09-04 21:09:45,-1.0,0.1,10.38,21.88
2018-09-04 21:24:45,-1.0,0.1,10.78,21.69
2018-09-04 21:39:45,-1.0,0.1,10.65,21.55
2018-09-04 21:54:45,-1.0,0.1,10.65,21.45
2018-09-04 22:09:45,-1.0,0.1,10.12,20.4
2018-09-04 22:24:45,-1.0,0.1,10.38,18.98
2018-09-04 22:39:45,-1.0,0.1,10.65,18.39
2018-09-04 22:54:45,-1.0,0.1,10.25,20.26
