capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-04 09:19:52,0.65,49.02,18.04,35.95
2018-09-04 09:34:52,0.65,46.44,18.04,32.84
2018-09-04 09:49:52,0.65,38.07,17.91,32.27
2018-09-04 10:04:52,0.65,52.84,18.04,33.07
2018-09-04 10:19:52,0.65,38.2,17.79,32.4
2018-09-04 10:34:52,0.65,34.47,17.41,31.69
2018-09-04 10:49:52,0.65,38.33,17.91,30.32
2018-09-04 11:04:52,0.65,47.01,18.03,32.13
2018-09-04 11:19:52,0.65,59.02,17.78,33.83
2018-09-04 11:34:52,0.65,63.88,17.66,35.31
2018-09-04 11:49:52,0.65,62.51,17.41,35.63
2018-09-04 12:04:52,0.65,59.02,17.78,35.81
2018-09-04 12:19:52,0.65,58.73,17.53,35.27
2018-09-04 12:34:52,0.65,59.63,17.53,34.54
2018-09-04 12:49:52,0.65,60.88,17.28,35.63
2018-09-04 13:04:52,0.65,54.58,17.65,34.14
2018-09-04 13:19:52,0.65,47.4,17.27,33.92
2018-09-04 13:34:52,0.65,47.21,17.52,33.87
2018-09-04 13:49:52,0.65,52.6,17.52,34.95
2018-09-04 14:04:52,0.65,54.07,17.52,35.63
2018-09-04 14:19:52,0.65,45.16,17.27,34.64
2018-09-04 14:34:52,0.65,43.45,17.27,33.25
2018-09-04 14:49:52,0.65,35.9,17.64,32.44
2018-09-04 15:04:52,0.65,30.46,17.27,31.56
2018-09-04 15:19:52,0.65,21.82,17.64,30.32
2018-09-04 15:34:52,0.65,18.95,17.64,28.95
2018-09-04 15:49:52,0.65,22.59,17.52,29.39
2018-09-04 16:04:52,0.65,12.3,17.64,27.84
2018-09-04 16:19:52,0.65,17.83,17.39,27.36
2018-09-04 16:34:52,0.65,20.03,17.02,28.91
2018-09-04 16:49:52,0.65,20.91,17.14,28.86
2018-09-04 17:04:52,0.65,16.58,17.64,28.02
2018-09-04 17:19:52,0.65,24.38,17.52,27.98
2018-09-04 17:34:52,0.65,13.46,17.27,27.58
2018-09-04 17:49:52,0.65,11.28,17.14,27.31
