capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-04 09:14:17,-1.0,61.47,7.23,34.5
2018-09-04 09:29:17,-1.0,56.97,7.61,34.59
2018-09-04 09:44:17,-1.0,53.58,7.23,34.91
2018-09-04 09:59:17,-1.0,66.73,7.36,34.68
2018-09-04 10:14:17,-1.0,56.37,7.48,36.41
2018-09-04 10:29:17,-1.0,58.5,7.36,35.59
2018-09-04 10:44:17,-1.0,42.89,7.11,32.53
2018-09-04 10:59:17,-1.0,60.79,7.11,35.04
2018-09-04 11:14:17,-1.0,69.26,7.11,36.04
2018-09-04 11:29:17,-1.0,92.42,7.48,39.03
2018-09-04 11:44:17,-1.0,114.03,6.98,40.87
2018-09-04 11:59:17,-1.0,108.54,7.48,42.67
2018-09-04 12:14:17,-1.0,98.97,7.48,41.81
2018-09-04 12:29:17,-1.0,88.04,7.11,40.57
2018-09-04 12:44:17,-1.0,93.98,6.86,42.67
2018-09-04 12:59:17,-1.0,76.49,6.98,39.17
2018-09-04 13:14:17,-1.0,73.92,7.11,39.36
2018-09-04 13:29:17,-1.0,67.98,7.36,37.01
2018-09-04 13:44:17,-1.0,70.6,7.61,37.38
2018-09-04 13:59:17,-1.0,80.97,7.48,38.79
2018-09-04 14:14:17,-1.0,66.33,7.61,38.93
2018-09-04 14:29:17,-1.0,57.27,7.23,36.64
2018-09-04 14:44:17,-1.0,56.67,7.48,35.31
2018-09-04 14:59:17,-1.0,45.44,7.23,33.42
2018-09-04 15:14:17,-1.0,33.74,6.98,31.91
2018-09-04 15:29:17,-1.0,26.96,7.61,30.19
2018-09-04 15:44:17,-1.0,33.85,7.48,30.81
2018-09-04 15:59:17,-1.0,23.8,7.48,29.88
2018-09-04 16:14:17,-1.0,19.06,7.36,27.89
2018-09-04 16:29:17,-1.0,33.63,7.36,30.94
2018-09-04 16:44:17,-1.0,27.38,7.61,29.79
2018-09-04 16:59:17,-1.0,24.02,7.23,29.83
