capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-04 09:13:02,-1.0,11.5,9.83,26.24
2018-09-04 09:28:02,-1.0,12.6,10.09,27.0
2018-09-04 09:43:02,-1.0,12.44,9.96,27.0
2018-09-04 09:58:02,-1.0,13.76,9.7,26.86
2018-09-04 10:13:02,-1.0,14.81,10.09,27.44
2018-09-04 10:28:02,-1.0,15.45,10.09,27.53
2018-09-04 10:43:02,-1.0,10.07,9.7,26.78
2018-09-04 10:58:02,-1.0,16.71,10.09,27.62
2018-09-04 11:13:02,-1.0,17.23,9.96,27.98
2018-09-04 11:28:02,-1.0,16.44,9.83,28.46
2018-09-04 11:43:02,-1.0,16.8,9.96,28.91
2018-09-04 11:58:02,-1.0,17.59,10.36,28.95
2018-09-04 12:13:02,-1.0,12.68,10.23,28.51
2018-09-04 12:28:02,-1.0,18.84,9.7,28.6
2018-09-04 12:43:02,-1.0,19.73,10.23,29.57
2018-09-04 12:58:02,-1.0,19.5,9.83,29.3
2018-09-04 13:13:02,-1.0,19.13,10.09,29.08
2018-09-04 13:28:02,-1.0,17.75,10.23,27.98
2018-09-04 13:43:02,-1.0,16.58,10.36,28.38
2018-09-04 13:58:02,-1.0,19.17,9.96,28.73
2018-09-04 14:13:02,-1.0,17.32,9.96,28.91
2018-09-04 14:28:02,-1.0,14.7,10.09,28.29
2018-09-04 14:43:02,-1.0,14.53,10.09,28.55
2018-09-04 14:58:02,-1.0,12.18,10.09,27.84
2018-09-04 15:13:02,-1.0,10.2,10.09,27.31
2018-09-04 15:28:02,-1.0,7.62,10.09,26.82
2018-09-04 15:43:02,-1.0,8.9,9.83,26.46
2018-09-04 15:58:02,-1.0,7.7,10.09,26.24
2018-09-04 16:13:02,-1.0,4.29,9.96,25.47
2018-09-04 16:28:02,-1.0,8.02,10.23,26.15
2018-09-04 16:43:02,-1.0,7.93,9.96,26.19
2018-09-04 16:58:02,-1.0,5.98,9.83,26.28
2018-09-04 17:13:02,-1.0,5.05,10.36,25.92
2018-09-04 17:28:02,-1.0,5.67,9.96,26.01
2018-09-04 17:43:02,-1.0,4.23,10.36,25.92
2018-09-04 17:58:02,-1.0,2.67,10.09,25.16
2018-09-04 18:13:02,-1.0,1.65,9.7,24.7
2018-09-04 18:28:02,-1.0,1.09,9.96,24.57
2018-09-04 18:43:02,-1.0,0.47,10.09,24.29
2018-09-04 18:58:02,-1.0,0.13,10.36,23.93
2018-09-04 19:13:02,-1.0,0.1,9.7,23.65
2018-09-04 19:28:02,-1.0,0.1,10.23,23.47
2018-09-04 19:43:02,-1.0,0.1,10.09,23.19
2018-09-04 19:58:02,-1.0,0.1,10.09,23.19
2018-09-04 20:13:02,-1.0,0.1,10.09,23.37
2018-09-04 20:28:02,-1.0,0.1,9.96,23.47
2018-09-04 20:43:02,-1.0,0.1,10.09,23.33
2018-09-04 20:58:02,-1.0,0.1,10.09,23.1
2018-09-04 21:13:02,-1.0,0.1,10.09,22.77
2018-09-04 21:28:02,-1.0,0.1,9.96,22.58
2018-09-04 21:43:02,-1.0,0.1,10.23,22.44
2018-09-04 21:58:02,-1.0,0.1,10.36,22.63
2018-09-04 22:13:02,-1.0,0.1,10.09,22.02
2018-09-04 22:28:02,-1.0,0.1,10.09,21.22
2018-09-04 22:43:02,-1.0,0.1,9.7,20.55
2018-09-04 22:58:02,-1.0,0.1,10.09,21.17
2018-09-04 23:13:02,-1.0,0.1,10.09,20.79
2018-09-04 23:28:02,-1.0,0.1,10.09,20.5
2018-09-04 23:43:02,-1.0,0.1,10.36,20.21
2018-09-04 23:58:02,-1.0,0.1,10.09,19.82
2018-09-05 00:13:02,-1.0,0.1,9.83,19.62
2018-09-05 00:28:02,-1.0,0.1,9.7,19.53
2018-09-05 00:43:02,-1.0,0.1,10.09,19.43
2018-09-05 00:58:02,-1.0,0.1,9.96,19.38
2018-09-05 01:13:02,-1.0,0.1,9.83,19.38
2018-09-05 01:28:02,-1.0,0.1,9.83,19.38
2018-09-05 01:43:02,-1.0,0.1,9.83,19.13
2018-09-05 01:58:02,-1.0,0.1,10.09,19.48
2018-09-05 02:13:02,-1.0,0.1,9.83,19.57
2018-09-05 02:28:02,-1.0,0.1,10.23,20.06
2018-09-05 02:43:02,-1.0,0.1,9.96,20.01
2018-09-05 02:58:02,-1.0,0.1,10.09,19.57
2018-09-05 03:13:02,-1.0,0.1,10.23,19.28
2018-09-05 03:28:02,-1.0,0.1,10.09,19.33
2018-09-05 03:43:02,-1.0,0.1,9.96,18.88
2018-09-05 03:58:02,-1.0,0.1,9.96,19.08
2018-09-05 04:13:02,-1.0,0.1,10.23,18.88
2018-09-05 04:28:02,-1.0,0.1,10.09,18.39
2018-09-05 04:43:02,-1.0,0.1,9.83,18.03
2018-09-05 04:58:02,-1.0,0.1,10.09,17.83
2018-09-05 05:13:02,-1.0,0.1,9.7,17.73
2018-09-05 05:28:02,-1.0,0.1,9.83,17.53
2018-09-05 05:43:02,-1.0,0.1,9.83,17.38
2018-09-05 05:58:02,-1.0,0.1,10.23,17.27
2018-09-05 06:13:02,-1.0,0.29,9.57,17.27
2018-09-05 06:28:02,-1.0,0.82,10.23,17.73
2018-09-05 06:43:02,-1.0,1.51,10.23,18.19
2018-09-05 06:58:02,-1.0,2.17,10.23,18.98
2018-09-05 07:13:02,-1.0,2.74,9.96,20.06
2018-09-05 07:28:02,-1.0,3.13,10.09,20.79
2018-09-05 07:43:02,-1.0,3.49,9.96,21.41
2018-09-05 07:58:02,-1.0,3.96,9.83,22.07
2018-09-05 08:13:02,-1.0,3.88,10.23,22.77
2018-09-05 08:28:02,-1.0,4.05,9.83,23.65
2018-09-05 08:43:02,-1.0,4.16,10.23,24.29
2018-09-05 08:58:02,-1.0,4.29,9.96,24.89
2018-09-05 09:13:02,-1.0,4.38,10.09,25.34
2018-09-05 09:28:02,-1.0,4.87,9.7,25.79
2018-09-05 09:43:02,-1.0,6.36,9.96,26.24
2018-09-05 09:58:02,-1.0,8.23,9.7,27.13
2018-09-05 10:13:02,-1.0,15.05,10.09,27.49
2018-09-05 10:28:02,-1.0,7.09,10.23,29.13
2018-09-05 10:43:02,-1.0,11.55,9.7,28.82
2018-09-05 10:58:02,-1.0,14.09,9.83,29.13
2018-09-05 11:13:02,-1.0,15.4,10.23,30.23
2018-09-05 11:28:02,-1.0,12.55,10.09,30.23
2018-09-05 11:43:02,-1.0,11.51,9.96,30.1
2018-09-05 11:58:02,-1.0,12.82,9.96,30.01
2018-09-05 12:13:02,-1.0,12.57,9.96,32.04
2018-09-05 12:28:02,-1.0,7.7,10.09,28.95
2018-09-05 12:43:02,-1.0,8.73,9.7,31.96
2018-09-05 12:58:02,-1.0,9.59,9.83,29.7
2018-09-05 13:13:02,-1.0,9.72,9.96,28.55
2018-09-05 13:28:02,-1.0,9.26,10.09,29.08
2018-09-05 13:43:02,-1.0,9.49,9.96,28.42
2018-09-05 13:58:02,-1.0,13.48,9.83,31.43
2018-09-05 14:13:02,-1.0,11.18,9.7,31.47
2018-09-05 14:28:02,-1.0,14.28,10.09,32.13
2018-09-05 14:43:02,-1.0,12.83,10.36,30.94
2018-09-05 14:58:02,-1.0,21.9,9.83,32.4
2018-09-05 15:13:02,-1.0,13.39,10.23,32.76
2018-09-05 15:28:02,-1.0,8.93,9.96,31.73
2018-09-05 15:43:02,-1.0,9.76,10.09,31.38
2018-09-05 15:58:02,-1.0,7.63,10.09,30.41
2018-09-05 16:13:02,-1.0,5.22,9.83,27.98
2018-09-05 16:28:02,-1.0,4.67,9.96,27.62
2018-09-05 16:43:02,-1.0,4.37,9.83,27.18
2018-09-05 16:58:02,-1.0,4.06,9.7,26.95
2018-09-05 17:13:02,-1.0,3.72,10.09,26.55
2018-09-05 17:28:02,-1.0,3.33,10.36,25.7
2018-09-05 17:43:02,-1.0,2.93,9.7,25.16
2018-09-05 17:58:02,-1.0,2.44,10.09,24.66
2018-09-05 18:13:02,-1.0,1.83,9.7,23.97
2018-09-05 18:28:02,-1.0,1.18,10.23,23.28
2018-09-05 18:43:02,-1.0,0.57,9.96,22.68
2018-09-05 18:58:02,-1.0,0.15,9.7,22.21
2018-09-05 19:13:02,-1.0,0.1,10.09,21.83
2018-09-05 19:28:02,-1.0,0.1,9.96,21.5
2018-09-05 19:43:02,-1.0,0.1,10.09,21.26
2018-09-05 19:58:02,-1.0,0.1,9.96,21.12
2018-09-05 20:13:02,-1.0,0.1,9.7,20.93
2018-09-05 20:28:02,-1.0,0.1,10.09,20.88
2018-09-05 20:43:02,-1.0,0.1,10.09,20.74
2018-09-05 20:58:02,-1.0,0.1,10.23,20.69
2018-09-05 21:13:02,-1.0,0.1,9.96,20.64
2018-09-05 21:28:02,-1.0,0.1,9.96,20.55
2018-09-05 21:43:02,-1.0,0.1,10.09,20.45
2018-09-05 21:58:02,-1.0,0.1,10.23,20.45
2018-09-05 22:13:02,-1.0,0.1,10.09,20.3
2018-09-05 22:28:02,-1.0,0.1,10.09,20.3
2018-09-05 22:43:02,-1.0,0.1,9.83,20.16
2018-09-05 22:58:02,-1.0,0.1,9.83,20.16
2018-09-05 23:13:02,-1.0,0.1,9.96,20.01
2018-09-05 23:28:02,-1.0,0.1,9.83,20.01
2018-09-05 23:43:02,-1.0,0.1,10.09,19.87
2018-09-05 23:58:02,-1.0,0.1,9.96,19.87
2018-09-06 00:13:02,-1.0,0.1,9.57,19.67
2018-09-06 00:28:02,-1.0,0.1,9.83,19.62
2018-09-06 00:43:02,-1.0,0.1,9.96,19.57
2018-09-06 00:58:02,-1.0,0.1,10.23,19.38
2018-09-06 01:13:02,-1.0,0.1,9.83,19.38
2018-09-06 01:28:02,-1.0,0.1,9.96,19.33
2018-09-06 01:43:02,-1.0,0.1,9.96,19.33
2018-09-06 01:58:02,-1.0,0.1,10.09,19.18
2018-09-06 02:13:02,-1.0,0.1,10.09,19.23
2018-09-06 02:28:02,-1.0,0.1,9.7,19.23
2018-09-06 02:43:02,-1.0,0.1,9.7,19.18
2018-09-06 02:58:02,-1.0,0.1,9.83,19.23
2018-09-06 03:13:02,-1.0,0.1,9.57,19.13
2018-09-06 03:28:02,-1.0,0.1,9.57,19.03
2018-09-06 03:43:02,-1.0,0.1,9.96,18.98
2018-09-06 03:58:02,-1.0,0.1,9.7,19.13
2018-09-06 04:13:02,-1.0,0.1,9.57,18.98
2018-09-06 04:28:02,-1.0,0.1,9.7,19.03
2018-09-06 04:43:02,-1.0,0.1,9.44,18.78
2018-09-06 04:58:02,-1.0,0.1,9.83,18.78
2018-09-06 05:13:02,-1.0,0.1,9.57,18.93
2018-09-06 05:28:02,-1.0,0.1,9.57,18.78
