capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-04 09:12:24,-1.0,67.1,8.92,32.98
2018-09-04 09:27:24,-1.0,64.22,9.18,33.02
2018-09-04 09:42:24,-1.0,65.15,9.05,33.25
2018-09-04 09:57:24,-1.0,74.26,8.92,32.67
2018-09-04 10:12:24,-1.0,70.5,9.05,34.19
2018-09-04 10:27:24,-1.0,74.26,9.18,33.2
2018-09-04 10:42:24,-1.0,47.21,9.18,30.85
2018-09-04 10:57:24,-1.0,73.66,8.92,33.47
2018-09-04 11:12:24,-1.0,77.1,9.18,33.92
2018-09-04 11:27:24,-1.0,99.8,9.05,36.41
2018-09-04 11:42:24,-1.0,103.73,9.05,38.27
2018-09-04 11:57:24,-1.0,128.89,9.3,38.74
2018-09-04 12:12:24,-1.0,122.96,9.3,38.65
2018-09-04 12:27:24,-1.0,104.31,9.3,37.43
2018-09-04 12:42:24,-1.0,112.55,9.43,38.55
2018-09-04 12:57:24,-1.0,87.45,9.3,36.32
2018-09-04 13:12:24,-1.0,87.45,9.3,35.91
2018-09-04 13:27:24,-1.0,76.77,9.18,34.14
2018-09-04 13:42:24,-1.0,77.1,9.3,34.36
2018-09-04 13:57:24,-1.0,90.47,9.3,36.0
2018-09-04 14:12:24,-1.0,79.11,9.3,36.46
2018-09-04 14:27:24,-1.0,65.39,9.18,33.87
2018-09-04 14:42:24,-1.0,66.35,9.56,33.78
2018-09-04 14:57:24,-1.0,52.22,9.18,31.38
2018-09-04 15:12:24,-1.0,41.53,9.56,30.32
2018-09-04 15:27:24,-1.0,30.63,9.43,29.13
2018-09-04 15:42:24,-1.0,38.34,9.43,29.0
2018-09-04 15:57:24,-1.0,31.12,9.43,28.77
2018-09-04 16:12:24,-1.0,19.54,9.3,26.73
2018-09-04 16:27:24,-1.0,53.63,9.18,28.77
2018-09-04 16:42:24,-1.0,32.17,8.92,28.38
2018-09-04 16:57:24,-1.0,27.94,8.92,28.38
