capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-04 09:09:33,-1.0,43.56,6.48,38.13
2018-09-04 09:24:33,-1.0,32.4,6.25,46.85
2018-09-04 09:39:33,-1.0,26.87,6.36,42.16
2018-09-04 09:54:33,-1.0,27.93,6.36,40.67
2018-09-04 10:09:33,-1.0,37.05,6.6,44.27
2018-09-04 10:24:33,-1.0,30.47,6.48,41.26
2018-09-04 10:39:33,-1.0,21.26,6.6,39.6
2018-09-04 10:54:33,-1.0,33.5,6.48,40.62
2018-09-04 11:09:33,-1.0,33.19,6.48,42.77
2018-09-04 11:24:33,-1.0,43.74,6.48,47.13
2018-09-04 11:39:33,-1.0,45.55,6.6,51.08
2018-09-04 11:54:33,-1.0,52.48,6.25,55.0
2018-09-04 12:09:33,-1.0,50.11,6.48,54.85
2018-09-04 12:24:33,-1.0,40.65,6.13,51.26
2018-09-04 12:39:33,-1.0,69.45,6.48,52.24
2018-09-04 12:54:33,-1.0,38.63,6.36,52.36
2018-09-04 13:09:33,-1.0,41.42,6.48,48.43
2018-09-04 13:24:33,-1.0,30.82,6.48,44.96
2018-09-04 13:39:33,-1.0,34.68,6.48,45.38
2018-09-04 13:54:33,-1.0,40.05,6.48,46.69
2018-09-04 14:09:33,-1.0,40.65,6.48,47.58
2018-09-04 14:24:33,-1.0,28.6,6.36,43.44
2018-09-04 14:39:33,-1.0,29.96,6.6,42.26
2018-09-04 14:54:33,-1.0,22.07,6.36,40.57
2018-09-04 15:09:33,-1.0,17.29,6.36,38.46
2018-09-04 15:24:33,-1.0,12.13,6.36,35.63
2018-09-04 15:39:33,-1.0,14.26,6.72,34.01
2018-09-04 15:54:33,-1.0,13.08,6.6,34.41
2018-09-04 16:09:33,-1.0,6.81,6.36,31.78
2018-09-04 16:24:33,-1.0,15.55,6.36,32.89
2018-09-04 16:39:33,-1.0,15.12,6.6,33.87
2018-09-04 16:54:33,-1.0,11.96,6.6,33.47
2018-09-04 17:09:33,-1.0,8.92,6.48,32.09
2018-09-04 17:24:33,-1.0,10.77,6.36,31.78
2018-09-04 17:39:33,-1.0,9.21,6.48,30.54
2018-09-04 17:54:33,-1.0,4.91,6.72,29.44
2018-09-04 18:09:33,-1.0,3.16,6.72,28.02
2018-09-04 18:24:33,-1.0,2.3,6.72,27.27
2018-09-04 18:39:33,-1.0,1.0,6.6,26.01
2018-09-04 18:54:33,-1.0,0.31,6.36,24.89
2018-09-04 19:09:33,-1.0,0.1,6.25,24.29
2018-09-04 19:24:33,-1.0,0.1,6.84,23.51
2018-09-04 19:39:33,-1.0,0.1,6.6,23.28
2018-09-04 19:54:33,-1.0,0.1,6.36,23.37
2018-09-04 20:09:33,-1.0,0.1,6.48,23.83
2018-09-04 20:24:33,-1.0,0.1,6.36,23.93
2018-09-04 20:39:33,-1.0,0.1,6.48,23.74
2018-09-04 20:54:33,-1.0,0.1,6.6,23.28
2018-09-04 21:09:33,-1.0,0.1,6.72,23.0
2018-09-04 21:24:33,-1.0,0.1,6.6,22.72
2018-09-04 21:39:33,-1.0,0.1,6.6,22.3
2018-09-04 21:54:33,-1.0,0.1,6.36,22.16
2018-09-04 22:09:33,-1.0,0.1,6.48,20.64
2018-09-04 22:24:33,-1.0,0.1,6.6,19.18
2018-09-04 22:39:33,-1.0,0.1,6.36,18.49
2018-09-04 22:54:33,-1.0,0.1,6.84,20.4
2018-09-04 23:09:33,-1.0,0.1,6.72,19.48
2018-09-04 23:24:33,-1.0,0.1,6.36,19.08
2018-09-04 23:39:33,-1.0,0.1,6.6,18.74
2018-09-04 23:54:33,-1.0,0.1,6.6,18.19
2018-09-05 00:09:33,-1.0,0.1,6.48,18.03
2018-09-05 00:24:33,-1.0,0.1,6.48,17.73
2018-09-05 00:39:33,-1.0,0.1,6.84,17.73
2018-09-05 00:54:33,-1.0,0.1,6.48,17.63
2018-09-05 01:09:33,-1.0,0.1,6.72,17.68
2018-09-05 01:24:33,-1.0,0.1,6.72,17.68
2018-09-05 01:39:33,-1.0,0.1,6.72,17.32
2018-09-05 01:54:33,-1.0,0.1,6.36,17.93
2018-09-05 02:09:33,-1.0,0.1,6.84,18.54
2018-09-05 02:24:33,-1.0,0.1,6.48,19.87
2018-09-05 02:39:33,-1.0,0.1,6.72,19.87
2018-09-05 02:54:33,-1.0,0.1,6.36,18.74
2018-09-05 03:09:33,-1.0,0.1,6.6,17.68
2018-09-05 03:24:33,-1.0,0.1,6.48,17.88
