capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-10 16:35:11,-1.0,14.03,8.82,32.44
2018-09-10 16:50:11,-1.0,14.03,8.69,32.84
2018-09-10 17:05:11,-1.0,32.18,8.32,34.77
2018-09-10 17:20:11,-1.0,16.51,8.82,37.47
2018-09-10 17:35:11,-1.0,10.4,8.44,30.81
2018-09-10 17:50:11,-1.0,8.48,8.57,29.97
2018-09-10 18:05:11,-1.0,6.69,8.69,28.86
2018-09-10 18:20:11,-1.0,4.43,8.69,27.44
2018-09-10 18:35:11,-1.0,2.22,8.82,26.69
2018-09-10 18:50:11,-1.0,0.58,8.44,25.65
2018-09-10 19:05:11,-1.0,0.1,8.57,24.89
2018-09-10 19:20:11,-1.0,0.1,8.32,25.43
2018-09-10 19:35:11,-1.0,0.1,8.57,25.79
2018-09-10 19:50:11,-1.0,0.1,8.57,25.43
2018-09-10 20:05:11,-1.0,0.1,8.44,24.93
2018-09-10 20:20:11,-1.0,0.1,8.82,23.97
2018-09-10 20:35:11,-1.0,0.1,8.69,23.97
2018-09-10 20:50:11,-1.0,0.1,8.19,23.0
2018-09-10 21:05:11,-1.0,0.1,8.69,23.1
2018-09-10 21:20:11,-1.0,0.1,8.69,21.83
2018-09-10 21:35:11,-1.0,0.1,8.69,22.44
2018-09-10 21:50:11,-1.0,0.1,8.32,21.97
2018-09-10 22:05:11,-1.0,0.1,8.57,22.02
2018-09-10 22:20:11,-1.0,0.1,8.32,22.54
2018-09-10 22:35:11,-1.0,0.1,8.44,21.45
2018-09-10 22:50:11,-1.0,0.1,8.32,21.41
2018-09-10 23:05:11,-1.0,0.1,8.19,20.93
2018-09-10 23:20:11,-1.0,0.1,8.57,20.98
2018-09-10 23:35:11,-1.0,0.1,8.19,21.45
2018-09-10 23:50:11,-1.0,0.1,8.69,20.59
2018-09-11 00:05:11,-1.0,0.1,8.69,19.53
2018-09-11 00:20:11,-1.0,0.1,8.32,19.13
2018-09-11 00:35:11,-1.0,0.1,8.19,19.72
2018-09-11 00:50:11,-1.0,0.1,8.44,19.33
2018-09-11 01:05:11,-1.0,0.1,8.57,19.18
2018-09-11 01:20:11,-1.0,0.1,8.32,19.92
2018-09-11 01:35:11,-1.0,0.1,8.69,18.98
2018-09-11 01:50:11,-1.0,0.1,8.57,19.67
2018-09-11 02:05:11,-1.0,0.1,8.07,20.06
2018-09-11 02:20:11,-1.0,0.1,8.32,20.16
2018-09-11 02:35:11,-1.0,0.1,8.32,19.82
2018-09-11 02:50:11,-1.0,0.1,8.57,20.11
2018-09-11 03:05:11,-1.0,0.1,8.69,20.45
2018-09-11 03:20:11,-1.0,0.1,8.44,20.69
2018-09-11 03:35:11,-1.0,0.1,8.44,20.59
2018-09-11 03:50:11,-1.0,0.1,8.19,20.35
2018-09-11 04:05:11,-1.0,0.1,8.32,20.64
2018-09-11 04:20:11,-1.0,0.1,8.57,20.59
2018-09-11 04:35:11,-1.0,0.1,8.57,19.87
2018-09-11 04:50:11,-1.0,0.1,8.69,20.16
2018-09-11 05:05:11,-1.0,0.1,8.69,19.96
2018-09-11 05:20:11,-1.0,0.1,8.19,21.07
2018-09-11 05:35:11,-1.0,0.1,8.57,20.16
2018-09-11 05:50:11,-1.0,0.1,8.19,20.35
2018-09-11 06:05:11,-1.0,0.19,8.44,20.21
2018-09-11 06:20:11,-1.0,1.22,8.19,21.12
2018-09-11 06:35:11,-1.0,3.13,8.69,21.64
2018-09-11 06:50:11,-1.0,5.03,8.32,22.26
2018-09-11 07:05:11,-1.0,6.58,8.69,23.1
2018-09-11 07:20:11,-1.0,7.76,8.32,24.25
2018-09-11 07:35:11,-1.0,8.18,8.44,25.16
2018-09-11 07:50:11,-1.0,19.44,8.44,26.64
2018-09-11 08:05:11,-1.0,13.83,8.44,27.22
2018-09-11 08:20:11,-1.0,12.73,8.44,27.49
2018-09-11 08:35:11,-1.0,11.16,8.32,28.42
2018-09-11 08:50:11,-1.0,18.21,8.32,29.66
2018-09-11 09:05:11,-1.0,22.86,8.57,30.01
2018-09-11 09:20:11,-1.0,17.43,8.32,30.45
2018-09-11 09:35:11,-1.0,93.11,8.44,38.7
2018-09-11 09:50:11,-1.0,20.99,8.44,34.23
2018-09-11 10:05:11,-1.0,34.85,8.44,34.32
2018-09-11 10:20:11,-1.0,72.25,8.32,37.75
2018-09-11 10:35:11,-1.0,21.4,8.19,32.58
2018-09-11 10:50:11,-1.0,27.41,8.44,31.56
2018-09-11 11:05:11,-1.0,19.37,8.19,31.65
2018-09-11 11:20:11,-1.0,16.46,8.19,32.27
2018-09-11 11:35:11,-1.0,16.79,8.32,31.56
2018-09-11 11:50:11,-1.0,16.56,8.32,31.25
2018-09-11 12:05:11,-1.0,39.84,8.57,31.2
2018-09-11 12:19:17,-1.0,20.68,8.69,31.16
2018-09-11 12:34:17,-1.0,47.0,8.57,32.36
2018-09-11 12:49:17,-1.0,32.37,8.57,33.83
2018-09-11 13:04:17,-1.0,56.07,8.44,36.13
2018-09-11 13:19:17,-1.0,71.82,8.69,34.82
2018-09-11 13:34:17,-1.0,148.9,8.57,43.64
2018-09-11 13:49:17,-1.0,143.7,8.57,40.28
2018-09-11 14:04:17,-1.0,142.04,8.44,45.65
2018-09-11 14:19:17,-1.0,137.29,8.44,46.3
2018-09-11 14:34:17,-1.0,132.83,8.57,45.65
2018-09-11 14:49:17,-1.0,123.46,8.69,45.28
2018-09-11 15:04:17,-1.0,114.21,8.82,44.53
2018-09-11 15:19:17,-1.0,61.36,8.82,43.03
2018-09-11 15:34:17,-1.0,23.49,8.57,33.6
2018-09-11 15:49:17,-1.0,25.83,8.32,33.16
2018-09-11 16:04:17,-1.0,18.46,8.69,31.96
2018-09-11 16:19:17,-1.0,17.83,8.69,32.0
2018-09-11 16:34:17,-1.0,21.24,8.57,32.31
2018-09-11 16:49:17,-1.0,17.43,8.69,31.91
2018-09-11 17:04:17,-1.0,22.49,8.82,33.02
2018-09-11 17:19:17,-1.0,14.06,8.32,36.04
2018-09-11 17:34:17,-1.0,9.6,8.82,30.28
2018-09-11 17:49:17,-1.0,7.99,8.69,29.3
2018-09-11 18:04:17,-1.0,6.04,8.82,28.51
2018-09-11 18:19:17,-1.0,3.97,8.82,27.67
2018-09-11 18:34:17,-1.0,1.9,8.32,26.82
2018-09-11 18:49:17,-1.0,0.48,8.44,26.01
2018-09-11 19:04:17,-1.0,0.1,8.44,25.02
2018-09-11 19:19:17,-1.0,0.1,8.44,24.43
2018-09-11 19:34:17,-1.0,0.1,8.57,24.29
2018-09-11 19:49:17,-1.0,0.1,8.32,24.16
2018-09-11 20:04:17,-1.0,0.1,8.69,24.16
2018-09-11 20:19:17,-1.0,0.1,8.57,24.06
2018-09-11 20:34:17,-1.0,0.1,8.69,23.93
2018-09-11 20:49:17,-1.0,0.1,8.57,23.51
2018-09-11 21:04:17,-1.0,0.1,8.57,23.24
2018-09-11 21:19:17,-1.0,0.1,8.32,23.14
2018-09-11 21:34:17,-1.0,0.1,8.57,23.1
2018-09-11 21:49:17,-1.0,0.1,8.69,22.82
2018-09-11 22:04:17,-1.0,0.1,8.69,22.82
2018-09-11 22:19:17,-1.0,0.1,8.44,22.72
2018-09-11 22:34:17,-1.0,0.1,8.57,22.44
2018-09-11 22:49:17,-1.0,0.1,8.44,22.02
2018-09-11 23:04:17,-1.0,0.1,8.82,21.74
2018-09-11 23:19:17,-1.0,0.1,8.19,22.02
2018-09-11 23:34:17,-1.0,0.1,8.57,22.12
2018-09-11 23:49:17,-1.0,0.1,8.57,22.02
2018-09-12 00:04:17,-1.0,0.1,8.57,21.64
2018-09-12 00:19:17,-1.0,0.1,8.32,21.6
2018-09-12 00:34:17,-1.0,0.1,8.82,20.74
2018-09-12 00:49:17,-1.0,0.1,8.44,20.74
2018-09-12 01:04:17,-1.0,0.1,8.32,20.11
2018-09-12 01:19:17,-1.0,0.1,8.32,19.96
2018-09-12 01:34:17,-1.0,0.1,8.57,19.67
2018-09-12 01:49:17,-1.0,0.1,8.69,19.72
2018-09-12 02:04:17,-1.0,0.1,8.57,19.67
2018-09-12 02:19:17,-1.0,0.1,8.32,19.43
2018-09-12 02:34:17,-1.0,0.1,8.57,19.43
2018-09-12 02:49:17,-1.0,0.1,8.44,19.57
2018-09-12 03:04:17,-1.0,0.1,8.57,19.57
2018-09-12 03:19:17,-1.0,0.1,8.32,19.13
2018-09-12 03:34:17,-1.0,0.1,8.57,19.43
2018-09-12 03:49:17,-1.0,0.1,8.44,19.57
