capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-04 09:12:25,-1.0,69.56,8.64,36.0
2018-09-04 09:27:25,-1.0,59.64,8.52,36.64
2018-09-04 09:42:25,-1.0,62.63,8.52,34.41
2018-09-04 09:57:25,-1.0,67.89,9.02,34.73
2018-09-04 10:12:25,-1.0,67.89,8.52,36.59
2018-09-04 10:27:25,-1.0,96.55,8.64,35.22
2018-09-04 10:42:25,-1.0,46.09,8.52,32.98
2018-09-04 10:57:25,-1.0,69.56,9.02,35.36
2018-09-04 11:12:25,-1.0,74.09,8.77,36.55
2018-09-04 11:27:25,-1.0,95.75,8.77,38.74
2018-09-04 11:42:25,-1.0,94.96,8.77,40.23
2018-09-04 11:57:25,-1.0,121.82,8.52,42.36
2018-09-04 12:12:25,-1.0,108.26,9.02,40.92
2018-09-04 12:27:25,-1.0,96.55,8.9,39.8
2018-09-04 12:42:25,-1.0,106.28,8.9,42.21
2018-09-04 12:57:25,-1.0,83.88,8.77,39.75
2018-09-04 13:12:25,-1.0,85.13,8.9,38.93
2018-09-04 13:27:25,-1.0,73.61,8.9,36.78
2018-09-04 13:42:25,-1.0,76.07,8.77,36.96
2018-09-04 13:57:25,-1.0,86.41,9.02,38.84
2018-09-04 14:12:25,-1.0,77.1,8.9,39.36
2018-09-04 14:27:25,-1.0,62.98,8.77,36.09
2018-09-04 14:42:25,-1.0,62.63,8.9,35.81
2018-09-04 14:57:25,-1.0,50.49,8.9,33.74
2018-09-04 15:12:25,-1.0,40.21,8.77,32.49
2018-09-04 15:27:25,-1.0,29.86,9.02,30.06
2018-09-04 15:42:25,-1.0,35.64,9.02,30.32
2018-09-04 15:57:25,-1.0,30.28,8.64,29.88
2018-09-04 16:12:25,-1.0,18.15,9.02,27.62
2018-09-04 16:27:25,-1.0,37.6,8.52,30.01
2018-09-04 16:42:25,-1.0,31.79,8.77,30.32
2018-09-04 16:57:25,-1.0,25.78,8.9,29.66
2018-09-04 17:12:25,-1.0,21.87,8.52,28.95
2018-09-04 17:27:25,-1.0,22.66,8.9,28.64
2018-09-04 17:42:25,-1.0,19.86,8.77,28.42
2018-09-04 17:57:25,-1.0,11.11,8.9,26.95
2018-09-04 18:12:25,-1.0,6.52,8.9,26.1
2018-09-04 18:27:25,-1.0,4.81,8.9,25.2
2018-09-04 18:42:25,-1.0,1.92,8.64,24.2
2018-09-04 18:57:25,-1.0,0.51,8.77,23.42
2018-09-04 19:12:25,-1.0,0.1,9.02,22.91
2018-09-04 19:27:25,-1.0,0.1,8.9,22.77
2018-09-04 19:42:25,-1.0,0.1,9.02,22.21
2018-09-04 19:57:25,-1.0,0.1,8.64,22.63
2018-09-04 20:12:25,-1.0,0.1,8.52,23.1
2018-09-04 20:27:25,-1.0,0.1,8.77,23.0
2018-09-04 20:42:25,-1.0,0.1,9.02,22.77
2018-09-04 20:57:25,-1.0,0.1,9.02,22.44
2018-09-04 21:12:25,-1.0,0.1,8.77,22.02
2018-09-04 21:27:25,-1.0,0.1,9.02,21.69
2018-09-04 21:42:25,-1.0,0.1,8.64,21.41
2018-09-04 21:57:25,-1.0,0.1,8.64,21.41
2018-09-04 22:12:25,-1.0,0.1,8.9,19.38
2018-09-04 22:27:25,-1.0,0.1,8.52,17.58
2018-09-04 22:42:25,-1.0,0.1,8.52,16.97
2018-09-04 22:57:25,-1.0,0.1,8.77,19.77
2018-09-04 23:12:25,-1.0,0.1,8.77,18.34
2018-09-04 23:27:25,-1.0,0.1,8.77,18.49
2018-09-04 23:42:25,-1.0,0.1,8.77,18.78
2018-09-04 23:57:25,-1.0,0.1,8.77,17.02
2018-09-05 00:12:25,-1.0,0.1,8.64,17.88
2018-09-05 00:27:25,-1.0,0.1,8.9,18.34
2018-09-05 00:42:25,-1.0,0.1,8.64,17.27
2018-09-05 00:57:25,-1.0,0.1,8.27,17.73
2018-09-05 01:12:25,-1.0,0.1,8.39,17.17
2018-09-05 01:27:25,-1.0,0.1,8.9,17.98
2018-09-05 01:42:25,-1.0,0.1,8.52,17.63
2018-09-05 01:57:25,-1.0,0.1,8.52,17.88
2018-09-05 02:12:25,-1.0,0.1,8.64,18.29
2018-09-05 02:27:25,-1.0,0.1,8.64,19.53
2018-09-05 02:42:25,-1.0,0.1,8.9,18.59
2018-09-05 02:57:25,-1.0,0.1,8.9,18.13
2018-09-05 03:12:25,-1.0,0.1,8.14,17.12
2018-09-05 03:27:25,-1.0,0.1,8.77,17.17
2018-09-05 03:42:25,-1.0,0.1,8.27,16.45
2018-09-05 03:57:25,-1.0,0.1,8.14,17.83
2018-09-05 04:12:25,-1.0,0.1,8.9,16.5
2018-09-05 04:27:25,-1.0,0.1,8.64,15.29
2018-09-05 04:42:25,-1.0,0.1,8.77,15.13
2018-09-05 04:57:25,-1.0,0.1,8.39,14.92
2018-09-05 05:12:25,-1.0,0.1,8.52,14.76
2018-09-05 05:27:25,-1.0,0.1,8.52,14.33
2018-09-05 05:42:25,-1.0,0.1,8.77,14.6
2018-09-05 05:57:25,-1.0,0.15,8.77,15.24
2018-09-05 06:12:25,-1.0,1.22,8.64,15.35
2018-09-05 06:27:25,-1.0,3.75,8.39,15.82
2018-09-05 06:42:25,-1.0,7.74,8.9,17.12
2018-09-05 06:57:25,-1.0,14.08,8.64,20.11
2018-09-05 07:12:25,-1.0,27.57,8.39,23.79
2018-09-05 07:27:25,-1.0,37.73,8.39,27.22
2018-09-05 07:42:25,-1.0,48.09,8.14,30.67
2018-09-05 07:57:25,-1.0,56.35,8.27,33.69
2018-09-05 08:12:25,-1.0,65.53,8.9,34.82
2018-09-05 08:27:25,-1.0,74.09,8.9,34.45
2018-09-05 08:42:25,-1.0,83.27,8.52,35.81
2018-09-05 08:57:25,-1.0,92.67,8.64,37.57
2018-09-05 09:12:25,-1.0,58.4,8.39,37.57
2018-09-05 09:27:25,-1.0,106.28,8.77,38.55
2018-09-05 09:42:25,-1.0,111.37,8.77,39.03
2018-09-05 09:57:25,-1.0,128.49,8.9,40.67
2018-09-05 10:12:25,-1.0,131.36,8.9,41.81
2018-09-05 10:27:25,-1.0,50.49,8.9,39.7
2018-09-05 10:42:25,-1.0,73.61,9.02,35.59
2018-09-05 10:57:25,-1.0,67.49,8.9,35.81
2018-09-05 11:12:25,-1.0,70.42,9.02,36.32
2018-09-05 11:27:25,-1.0,85.13,8.39,36.5
2018-09-05 11:42:25,-1.0,100.75,8.77,37.33
2018-09-05 11:57:25,-1.0,80.35,9.02,36.32
2018-09-05 12:12:25,-1.0,69.56,8.9,43.75
2018-09-05 12:27:25,-1.0,57.21,8.52,33.02
2018-09-05 12:42:25,-1.0,60.28,8.77,44.32
2018-09-05 12:57:25,-1.0,56.35,8.64,36.78
2018-09-05 13:12:25,-1.0,45.71,9.15,32.44
2018-09-05 13:27:25,-1.0,61.26,9.02,35.31
2018-09-05 13:42:25,-1.0,47.27,8.64,32.44
2018-09-05 13:57:25,-1.0,171.21,8.64,43.49
2018-09-05 14:12:25,-1.0,57.21,9.02,40.38
2018-09-05 14:27:25,-1.0,155.56,9.15,43.54
2018-09-05 14:42:25,-1.0,151.59,8.77,39.8
2018-09-05 14:57:25,-1.0,128.49,9.15,41.71
2018-09-05 15:12:25,-1.0,115.79,9.02,44.64
2018-09-05 15:27:25,-1.0,105.32,9.15,43.54
2018-09-05 15:42:25,-1.0,70.86,8.64,40.43
2018-09-05 15:57:25,-1.0,99.88,9.15,42.42
2018-09-05 16:12:25,-1.0,80.92,8.9,34.19
2018-09-05 16:27:25,-1.0,71.31,9.15,36.41
2018-09-05 16:42:25,-1.0,65.53,9.15,35.81
2018-09-05 16:57:25,-1.0,56.92,8.77,35.45
2018-09-05 17:12:25,-1.0,47.47,9.15,33.69
2018-09-05 17:27:25,-1.0,38.93,8.77,30.98
2018-09-05 17:42:25,-1.0,26.88,9.15,29.61
2018-09-05 17:57:25,-1.0,18.66,8.9,27.53
2018-09-05 18:12:25,-1.0,12.06,8.9,25.43
2018-09-05 18:27:25,-1.0,5.88,9.02,22.63
2018-09-05 18:42:25,-1.0,2.71,8.9,21.64
2018-09-05 18:57:25,-1.0,0.71,8.9,21.03
2018-09-05 19:12:25,-1.0,0.1,8.77,20.5
2018-09-05 19:27:25,-1.0,0.1,9.15,19.96
2018-09-05 19:42:25,-1.0,0.1,8.52,19.82
2018-09-05 19:57:25,-1.0,0.1,8.39,19.67
2018-09-05 20:12:25,-1.0,0.1,8.39,19.53
2018-09-05 20:27:25,-1.0,0.1,8.9,19.43
2018-09-05 20:42:25,-1.0,0.1,8.9,19.38
2018-09-05 20:57:25,-1.0,0.1,9.02,19.23
2018-09-05 21:12:25,-1.0,0.1,9.02,19.38
2018-09-05 21:27:25,-1.0,0.1,9.02,19.23
2018-09-05 21:42:25,-1.0,0.1,8.52,19.08
2018-09-05 21:57:25,-1.0,0.1,8.39,18.83
2018-09-05 22:12:25,-1.0,0.1,8.77,18.74
2018-09-05 22:27:25,-1.0,0.1,8.9,18.59
2018-09-05 22:42:25,-1.0,0.1,8.77,18.69
2018-09-05 22:57:25,-1.0,0.1,8.77,18.64
2018-09-05 23:12:25,-1.0,0.1,8.52,18.74
2018-09-05 23:27:25,-1.0,0.1,8.9,18.54
2018-09-05 23:42:25,-1.0,0.1,8.77,18.29
2018-09-05 23:57:25,-1.0,0.1,8.39,18.54
2018-09-06 00:12:25,-1.0,0.1,8.39,18.39
2018-09-06 00:27:25,-1.0,0.1,8.52,18.03
2018-09-06 00:42:25,-1.0,0.1,8.39,17.98
2018-09-06 00:57:25,-1.0,0.1,8.77,18.13
2018-09-06 01:12:25,-1.0,0.1,8.52,18.03
2018-09-06 01:27:25,-1.0,0.1,8.39,18.03
