capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-04 09:09:54,-1.0,45.71,12.21,33.33
2018-09-04 09:24:54,-1.0,37.64,12.34,35.09
2018-09-04 09:39:54,-1.0,39.9,12.59,33.25
2018-09-04 09:54:54,-1.0,41.38,11.95,33.07
2018-09-04 10:09:54,-1.0,50.0,12.34,35.13
2018-09-04 10:24:54,-1.0,44.89,12.21,33.42
2018-09-04 10:39:54,-1.0,29.91,12.46,31.87
2018-09-04 10:54:54,-1.0,48.56,12.21,33.47
2018-09-04 11:09:54,-1.0,48.56,12.21,34.19
2018-09-04 11:24:54,-1.0,60.73,12.34,36.78
2018-09-04 11:39:54,-1.0,63.75,12.21,38.18
2018-09-04 11:54:54,-1.0,64.15,12.34,38.65
2018-09-04 12:09:54,-1.0,60.37,12.72,37.8
2018-09-04 12:24:54,-1.0,55.16,12.46,37.1
2018-09-04 12:39:54,-1.0,70.27,12.59,38.65
2018-09-04 12:54:54,-1.0,53.99,12.59,37.75
2018-09-04 13:09:54,-1.0,52.59,12.59,37.29
2018-09-04 13:24:54,-1.0,44.3,12.46,35.59
2018-09-04 13:39:54,-1.0,48.1,12.72,36.18
2018-09-04 13:54:54,-1.0,53.14,12.59,36.69
2018-09-04 14:09:54,-1.0,50.25,12.34,37.47
2018-09-04 14:24:54,-1.0,41.21,12.59,35.31
2018-09-04 14:39:54,-1.0,42.43,12.72,35.77
2018-09-04 14:54:54,-1.0,32.47,12.72,33.83
2018-09-04 15:09:54,-1.0,27.48,12.59,32.27
2018-09-04 15:24:54,-1.0,19.72,12.34,30.89
2018-09-04 15:39:54,-1.0,22.47,12.21,30.23
2018-09-04 15:54:54,-1.0,20.17,12.46,30.54
2018-09-04 16:09:54,-1.0,10.99,12.34,28.15
2018-09-04 16:24:54,-1.0,22.06,12.59,29.39
2018-09-04 16:39:54,-1.0,21.38,12.84,29.97
2018-09-04 16:54:54,-1.0,18.32,12.21,29.57
2018-09-04 17:09:54,-1.0,13.65,12.34,29.0
2018-09-04 17:24:54,-1.0,16.34,12.84,29.22
