capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-04 09:10:36,-1.0,59.28,13.34,34.05
2018-09-04 09:25:36,-1.0,47.15,13.47,34.36
2018-09-04 09:40:36,-1.0,49.53,13.47,33.02
2018-09-04 09:55:36,-1.0,53.19,13.21,32.49
2018-09-04 10:10:36,-1.0,58.02,13.34,34.95
2018-09-04 10:25:36,-1.0,59.93,13.08,32.8
2018-09-04 10:40:36,-1.0,36.76,13.47,31.16
2018-09-04 10:55:36,-1.0,58.33,13.47,33.33
2018-09-04 11:10:36,-1.0,58.33,13.34,34.23
2018-09-04 11:25:36,-1.0,76.67,13.74,36.87
2018-09-04 11:40:36,-1.0,81.76,13.74,39.22
2018-09-04 11:55:36,-1.0,95.82,13.6,39.32
2018-09-04 12:10:36,-1.0,91.13,13.47,39.12
2018-09-04 12:25:36,-1.0,73.61,13.34,37.57
2018-09-04 12:40:36,-1.0,92.65,13.34,39.99
2018-09-04 12:55:36,-1.0,66.9,13.47,37.15
2018-09-04 13:10:36,-1.0,67.31,13.21,36.18
2018-09-04 13:25:36,-1.0,54.8,13.34,34.68
2018-09-04 13:40:36,-1.0,60.26,13.6,35.54
2018-09-04 13:55:36,-1.0,69.87,13.87,37.1
2018-09-04 14:10:36,-1.0,64.15,13.87,36.18
2018-09-04 14:25:36,-1.0,50.46,13.21,34.14
2018-09-04 14:40:36,-1.0,51.66,13.6,34.19
2018-09-04 14:55:36,-1.0,39.49,13.6,32.04
2018-09-04 15:10:36,-1.0,32.17,13.47,30.41
2018-09-04 15:25:36,-1.0,22.95,13.6,29.3
2018-09-04 15:40:36,-1.0,27.45,13.34,29.3
2018-09-04 15:55:36,-1.0,24.42,13.21,29.0
2018-09-04 16:10:36,-1.0,13.41,13.74,27.09
2018-09-04 16:25:36,-1.0,28.04,13.6,28.91
2018-09-04 16:40:36,-1.0,25.62,13.6,28.82
2018-09-04 16:55:36,-1.0,21.29,13.21,28.91
2018-09-04 17:10:36,-1.0,16.64,13.6,27.67
2018-09-04 17:25:36,-1.0,19.0,13.34,28.77
2018-09-04 17:40:36,-1.0,16.89,13.34,27.67
2018-09-04 17:55:36,-1.0,9.25,13.47,26.33
2018-09-04 18:10:36,-1.0,6.04,13.74,25.29
2018-09-04 18:25:36,-1.0,4.27,13.74,24.93
2018-09-04 18:40:36,-1.0,1.76,13.6,24.06
2018-09-04 18:55:36,-1.0,0.54,13.74,23.42
2018-09-04 19:10:36,-1.0,0.1,13.74,23.14
