capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-04 09:08:33,-1.0,51.63,13.88,28.69
2018-09-04 09:23:33,-1.0,43.55,13.5,35.45
2018-09-04 09:38:33,-1.0,33.64,13.88,32.84
2018-09-04 09:53:33,-1.0,33.19,14.13,32.18
2018-09-04 10:08:33,-1.0,46.38,13.76,34.82
2018-09-04 10:23:33,-1.0,35.2,13.88,32.36
2018-09-04 10:38:33,-1.0,25.95,13.88,31.96
2018-09-04 10:53:33,-1.0,41.38,14.13,32.53
2018-09-04 11:08:33,-1.0,40.37,13.76,33.69
2018-09-04 11:23:33,-1.0,55.3,14.01,36.0
2018-09-04 11:38:33,-1.0,67.4,14.01,38.41
2018-09-04 11:53:33,-1.0,70.65,13.88,40.53
2018-09-04 12:08:33,-1.0,66.52,13.76,39.85
2018-09-04 12:23:33,-1.0,52.71,14.01,38.22
2018-09-04 12:38:33,-1.0,69.69,14.01,39.41
2018-09-04 12:53:33,-1.0,49.35,14.13,40.62
2018-09-04 13:08:33,-1.0,49.11,14.26,37.38
2018-09-04 13:23:33,-1.0,36.78,14.01,35.18
2018-09-04 13:38:33,-1.0,42.81,14.26,35.72
2018-09-04 13:53:33,-1.0,53.83,14.13,36.09
2018-09-04 14:08:33,-1.0,50.09,14.13,37.71
2018-09-04 14:23:33,-1.0,34.83,14.13,35.09
2018-09-04 14:38:33,-1.0,35.71,14.01,34.41
2018-09-04 14:53:33,-1.0,26.73,14.01,33.2
2018-09-04 15:08:33,-1.0,20.3,14.39,31.73
2018-09-04 15:23:33,-1.0,14.64,14.01,30.19
2018-09-04 15:38:33,-1.0,16.1,14.01,29.48
2018-09-04 15:53:33,-1.0,15.29,14.01,30.01
2018-09-04 16:08:33,-1.0,7.65,14.39,28.24
2018-09-04 16:23:33,-1.0,18.78,14.01,29.08
2018-09-04 16:38:33,-1.0,17.03,14.26,29.61
2018-09-04 16:53:33,-1.0,14.6,14.01,29.48
2018-09-04 17:08:33,-1.0,9.89,14.01,28.55
2018-09-04 17:23:33,-1.0,12.42,13.76,28.91
2018-09-04 17:38:33,-1.0,10.75,14.13,27.76
2018-09-04 17:53:33,-1.0,5.94,13.76,27.4
2018-09-04 18:08:33,-1.0,3.89,14.01,26.19
2018-09-04 18:23:33,-1.0,2.75,14.26,25.56
2018-09-04 18:38:33,-1.0,1.27,14.01,24.93
2018-09-04 18:53:33,-1.0,0.41,13.88,24.2
2018-09-04 19:08:33,-1.0,0.1,13.76,23.88
2018-09-04 19:23:33,-1.0,0.1,14.13,23.42
2018-09-04 19:38:33,-1.0,0.1,14.01,23.28
2018-09-04 19:53:33,-1.0,0.1,14.01,23.33
2018-09-04 20:08:33,-1.0,0.1,14.26,23.6
2018-09-04 20:23:33,-1.0,0.1,14.26,23.65
2018-09-04 20:38:33,-1.0,0.1,13.63,23.47
2018-09-04 20:53:33,-1.0,0.1,14.01,23.19
2018-09-04 21:08:33,-1.0,0.1,14.13,23.0
2018-09-04 21:23:33,-1.0,0.1,13.76,22.72
2018-09-04 21:38:33,-1.0,0.1,13.88,22.54
2018-09-04 21:53:33,-1.0,0.1,14.13,22.54
2018-09-04 22:08:33,-1.0,0.1,13.63,21.55
2018-09-04 22:23:33,-1.0,0.1,14.01,20.35
2018-09-04 22:38:33,-1.0,0.1,13.76,19.72
2018-09-04 22:53:33,-1.0,0.1,14.13,20.83
2018-09-04 23:08:33,-1.0,0.1,14.13,20.5
2018-09-04 23:23:33,-1.0,0.1,14.13,20.01
2018-09-04 23:38:33,-1.0,0.1,13.76,19.77
2018-09-04 23:53:33,-1.0,0.1,14.01,19.43
2018-09-05 00:08:33,-1.0,0.1,14.01,19.33
2018-09-05 00:23:33,-1.0,0.1,14.01,19.18
2018-09-05 00:38:33,-1.0,0.1,13.88,19.08
2018-09-05 00:53:33,-1.0,0.1,14.13,19.18
2018-09-05 01:08:33,-1.0,0.1,13.63,19.08
2018-09-05 01:23:33,-1.0,0.1,13.76,18.93
2018-09-05 01:38:33,-1.0,0.1,13.88,18.78
2018-09-05 01:53:33,-1.0,0.1,14.01,18.78
2018-09-05 02:08:33,-1.0,0.1,14.13,19.23
2018-09-05 02:23:33,-1.0,0.1,14.01,19.87
2018-09-05 02:38:33,-1.0,0.1,13.88,19.96
2018-09-05 02:53:33,-1.0,0.1,13.63,19.53
2018-09-05 03:08:33,-1.0,0.1,14.13,18.98
2018-09-05 03:23:33,-1.0,0.1,13.76,18.88
2018-09-05 03:38:33,-1.0,0.1,14.13,18.44
2018-09-05 03:53:33,-1.0,0.1,13.5,18.83
2018-09-05 04:08:33,-1.0,0.1,13.76,18.59
2018-09-05 04:23:33,-1.0,0.1,13.88,17.68
2018-09-05 04:38:33,-1.0,0.1,13.76,17.32
2018-09-05 04:53:33,-1.0,0.1,14.01,17.12
2018-09-05 05:08:33,-1.0,0.1,14.13,16.97
2018-09-05 05:23:33,-1.0,0.1,14.13,16.76
2018-09-05 05:38:33,-1.0,0.1,14.01,16.6
2018-09-05 05:53:33,-1.0,0.1,13.88,16.45
2018-09-05 06:08:33,-1.0,0.31,14.13,16.34
2018-09-05 06:23:33,-1.0,1.08,13.5,17.58
2018-09-05 06:38:33,-1.0,2.19,14.01,17.88
2018-09-05 06:53:33,-1.0,3.4,14.01,18.54
2018-09-05 07:08:33,-1.0,4.58,14.01,19.67
2018-09-05 07:23:33,-1.0,5.7,13.76,20.45
2018-09-05 07:38:33,-1.0,11.0,13.88,21.31
2018-09-05 07:53:33,-1.0,9.85,14.13,22.35
2018-09-05 08:08:33,-1.0,9.54,13.76,23.7
2018-09-05 08:23:33,-1.0,13.99,14.01,25.52
2018-09-05 08:38:33,-1.0,21.78,13.88,28.07
2018-09-05 08:53:33,-1.0,20.52,14.01,29.97
2018-09-05 09:08:33,-1.0,60.95,13.88,31.82
2018-09-05 09:23:33,-1.0,73.69,13.5,35.36
2018-09-05 09:38:33,-1.0,85.25,14.01,35.22
2018-09-05 09:53:33,-1.0,93.71,13.88,39.32
2018-09-05 10:08:33,-1.0,99.04,13.76,40.82
2018-09-05 10:23:33,-1.0,115.36,14.13,44.32
2018-09-05 10:38:33,-1.0,34.11,13.76,34.77
2018-09-05 10:53:33,-1.0,31.38,14.13,33.16
2018-09-05 11:08:33,-1.0,38.35,13.63,34.5
2018-09-05 11:23:33,-1.0,46.82,13.88,34.64
2018-09-05 11:38:33,-1.0,66.09,14.26,36.82
2018-09-05 11:53:33,-1.0,43.74,14.13,37.38
2018-09-05 12:08:33,-1.0,81.88,14.13,45.28
