capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-04 09:07:32,-1.0,31.69,10.2,28.82
2018-09-04 09:22:32,-1.0,34.79,10.59,33.42
2018-09-04 09:37:32,-1.0,35.04,10.07,32.84
2018-09-04 09:52:32,-1.0,35.17,10.33,32.09
2018-09-04 10:07:32,-1.0,45.13,10.07,34.82
2018-09-04 10:22:32,-1.0,37.34,10.59,32.44
2018-09-04 10:37:32,-1.0,27.73,10.33,32.31
2018-09-04 10:52:32,-1.0,44.52,10.2,32.53
2018-09-04 11:07:32,-1.0,45.13,10.59,34.01
2018-09-04 11:22:32,-1.0,56.53,10.2,36.27
2018-09-04 11:37:32,-1.0,65.88,10.72,38.6
2018-09-04 11:52:32,-1.0,63.38,10.46,41.51
2018-09-04 12:07:32,-1.0,65.45,10.59,40.14
2018-09-04 12:22:32,-1.0,60.31,10.2,39.56
2018-09-04 12:37:32,-1.0,73.09,10.2,40.04
2018-09-04 12:52:32,-1.0,56.53,10.07,40.04
2018-09-04 13:07:32,-1.0,53.48,10.59,37.38
2018-09-04 13:22:32,-1.0,42.76,10.59,36.0
2018-09-04 13:37:32,-1.0,48.01,10.33,35.95
2018-09-04 13:52:32,-1.0,52.9,10.59,37.75
2018-09-04 14:07:32,-1.0,59.59,10.46,38.74
2018-09-04 14:22:32,-1.0,40.96,10.46,36.41
2018-09-04 14:37:32,-1.0,43.33,10.33,35.81
2018-09-04 14:52:32,-1.0,32.44,10.33,34.14
2018-09-04 15:07:32,-1.0,24.51,10.07,32.49
2018-09-04 15:22:32,-1.0,18.25,10.33,30.89
2018-09-04 15:37:32,-1.0,18.84,10.59,29.88
2018-09-04 15:52:32,-1.0,18.88,10.07,30.81
2018-09-04 16:07:32,-1.0,8.92,10.72,28.64
2018-09-04 16:22:32,-1.0,21.34,10.72,29.26
2018-09-04 16:37:32,-1.0,20.64,10.2,29.97
2018-09-04 16:52:32,-1.0,18.69,10.33,29.79
