capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-04 09:07:27,-1.0,55.44,11.19,31.91
2018-09-04 09:22:27,-1.0,54.48,11.32,39.75
2018-09-04 09:37:27,-1.0,46.61,11.32,34.91
2018-09-04 09:52:27,-1.0,43.35,11.07,33.6
2018-09-04 10:07:27,-1.0,60.8,11.45,36.78
2018-09-04 10:22:27,-1.0,44.81,11.45,33.69
2018-09-04 10:37:27,-1.0,34.05,11.32,32.84
2018-09-04 10:52:27,-1.0,51.78,11.32,32.62
2018-09-04 11:07:27,-1.0,52.65,11.07,34.64
2018-09-04 11:22:27,-1.0,66.33,11.45,37.38
2018-09-04 11:37:27,-1.0,77.67,11.07,40.38
2018-09-04 11:52:27,-1.0,74.64,11.32,43.23
2018-09-04 12:07:27,-1.0,77.67,11.45,41.71
2018-09-04 12:22:27,-1.0,70.25,11.07,40.67
2018-09-04 12:37:27,-1.0,83.76,11.32,40.53
2018-09-04 12:52:27,-1.0,67.75,11.32,40.97
2018-09-04 13:07:27,-1.0,62.82,11.19,37.15
2018-09-04 13:22:27,-1.0,50.11,11.45,35.63
2018-09-04 13:37:27,-1.0,56.44,11.07,36.04
2018-09-04 13:52:27,-1.0,60.42,11.45,37.89
2018-09-04 14:07:27,-1.0,65.87,11.45,38.18
2018-09-04 14:22:27,-1.0,47.81,11.57,35.22
2018-09-04 14:37:27,-1.0,48.55,11.19,34.32
2018-09-04 14:52:27,-1.0,38.0,11.7,33.29
2018-09-04 15:07:27,-1.0,28.96,11.07,31.47
2018-09-04 15:22:27,-1.0,20.83,11.57,30.01
2018-09-04 15:37:27,-1.0,20.69,11.57,29.08
2018-09-04 15:52:27,-1.0,21.54,11.32,29.75
2018-09-04 16:07:27,-1.0,10.28,11.32,27.89
2018-09-04 16:22:27,-1.0,23.9,11.32,28.64
2018-09-04 16:37:27,-1.0,22.63,11.19,29.22
2018-09-04 16:52:27,-1.0,20.83,11.57,29.13
2018-09-04 17:07:27,-1.0,14.81,11.57,28.6
2018-09-04 17:22:27,-1.0,18.64,11.32,28.77
2018-09-04 17:37:27,-1.0,14.16,11.45,27.8
2018-09-04 17:52:27,-1.0,8.87,11.45,27.44
2018-09-04 18:07:27,-1.0,5.47,11.07,25.7
2018-09-04 18:22:27,-1.0,3.99,11.57,25.56
2018-09-04 18:37:27,-1.0,1.88,11.19,24.7
2018-09-04 18:52:27,-1.0,0.66,11.45,23.97
2018-09-04 19:07:27,-1.0,0.1,11.32,23.65
2018-09-04 19:22:27,-1.0,0.1,11.07,22.82
2018-09-04 19:37:27,-1.0,0.1,11.45,22.91
2018-09-04 19:52:27,-1.0,0.1,11.45,22.72
