capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-04 09:07:18,-1.0,56.19,13.41,30.19
2018-09-04 09:22:18,-1.0,41.13,13.92,36.04
2018-09-04 09:37:18,-1.0,39.25,13.54,32.71
2018-09-04 09:52:18,-1.0,35.41,13.92,31.69
2018-09-04 10:07:18,-1.0,48.97,13.79,34.05
2018-09-04 10:22:18,-1.0,37.64,13.92,32.09
2018-09-04 10:37:18,-1.0,28.17,14.04,31.82
2018-09-04 10:52:18,-1.0,43.67,13.92,31.69
2018-09-04 11:07:18,-1.0,45.65,13.79,33.42
2018-09-04 11:22:18,-1.0,54.93,13.79,34.82
2018-09-04 11:37:18,-1.0,61.85,14.04,35.63
2018-09-04 11:52:18,-1.0,58.61,14.04,37.01
2018-09-04 12:07:18,-1.0,54.93,13.54,35.5
2018-09-04 12:22:18,-1.0,54.44,13.41,35.27
2018-09-04 12:37:18,-1.0,63.12,13.92,36.78
2018-09-04 12:52:18,-1.0,55.18,13.66,36.92
2018-09-04 13:07:18,-1.0,52.34,13.66,35.63
2018-09-04 13:22:18,-1.0,42.44,13.66,35.0
2018-09-04 13:37:18,-1.0,46.52,13.79,34.86
2018-09-04 13:52:18,-1.0,49.57,14.17,35.59
2018-09-04 14:07:18,-1.0,55.18,13.66,36.32
2018-09-04 14:22:18,-1.0,40.85,13.92,35.09
2018-09-04 14:37:18,-1.0,41.85,13.54,34.68
2018-09-04 14:52:18,-1.0,32.78,13.79,33.29
2018-09-04 15:07:18,-1.0,26.57,14.04,32.4
2018-09-04 15:22:18,-1.0,19.42,13.92,30.67
2018-09-04 15:37:18,-1.0,18.08,13.92,30.1
2018-09-04 15:52:18,-1.0,19.92,14.17,30.36
2018-09-04 16:07:18,-1.0,9.33,13.54,28.42
2018-09-04 16:22:18,-1.0,19.26,13.92,28.77
2018-09-04 16:37:18,-1.0,19.48,13.66,29.35
2018-09-04 16:52:18,-1.0,18.31,14.17,29.53
2018-09-04 17:07:18,-1.0,13.06,14.17,28.82
2018-09-04 17:22:18,-1.0,15.65,13.41,28.73
2018-09-04 17:37:18,-1.0,11.59,13.92,27.98
2018-09-04 17:52:18,-1.0,8.74,13.79,27.62
2018-09-04 18:07:18,-1.0,4.71,13.66,26.24
2018-09-04 18:22:18,-1.0,3.46,13.92,25.88
2018-09-04 18:37:18,-1.0,1.61,13.92,25.11
2018-09-04 18:52:18,-1.0,0.6,13.41,24.38
2018-09-04 19:07:18,-1.0,0.1,13.54,24.06
2018-09-04 19:22:18,-1.0,0.1,13.66,23.42
2018-09-04 19:37:18,-1.0,0.1,13.79,23.6
2018-09-04 19:52:18,-1.0,0.1,13.41,23.33
2018-09-04 20:07:18,-1.0,0.1,13.41,23.7
2018-09-04 20:22:18,-1.0,0.1,13.79,23.7
2018-09-04 20:37:18,-1.0,0.1,14.04,23.56
2018-09-04 20:52:18,-1.0,0.1,13.54,23.24
2018-09-04 21:07:18,-1.0,0.1,13.79,22.91
2018-09-04 21:22:18,-1.0,0.1,13.79,22.77
2018-09-04 21:37:18,-1.0,0.1,14.04,22.63
2018-09-04 21:52:18,-1.0,0.1,13.54,22.44
2018-09-04 22:07:18,-1.0,0.1,14.04,21.69
2018-09-04 22:22:18,-1.0,0.1,13.79,20.64
2018-09-04 22:37:18,-1.0,0.1,13.28,19.96
2018-09-04 22:52:18,-1.0,0.1,13.66,20.98
2018-09-04 23:07:18,-1.0,0.1,13.54,20.35
2018-09-04 23:22:18,-1.0,0.1,13.79,20.01
2018-09-04 23:37:18,-1.0,0.1,13.28,19.92
