capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-04 09:19:39,-1.0,93.93,11.3,38.18
2018-09-04 09:34:39,-1.0,53.82,11.43,34.41
2018-09-04 09:49:39,-1.0,44.28,11.3,32.53
2018-09-04 10:04:39,-1.0,59.76,11.55,34.45
2018-09-04 10:19:39,-1.0,43.21,11.55,33.2
2018-09-04 10:34:39,-1.0,40.73,11.68,32.98
2018-09-04 10:49:39,-1.0,44.84,11.3,31.03
2018-09-04 11:04:39,-1.0,54.09,11.55,33.42
2018-09-04 11:19:39,-1.0,71.48,11.68,35.31
2018-09-04 11:34:39,-1.0,80.93,11.68,37.33
2018-09-04 11:49:39,-1.0,105.43,11.55,39.12
2018-09-04 12:04:39,-1.0,81.52,11.43,39.51
2018-09-04 12:19:39,-1.0,76.45,11.3,37.19
2018-09-04 12:34:39,-1.0,74.89,11.93,37.52
2018-09-04 12:49:39,-1.0,91.61,11.8,38.37
2018-09-04 13:04:39,-1.0,68.36,11.8,35.45
2018-09-04 13:19:39,-1.0,55.19,11.55,35.45
2018-09-04 13:34:39,-1.0,59.43,11.43,34.23
2018-09-04 13:49:39,-1.0,65.11,11.8,35.54
2018-09-04 14:04:39,-1.0,69.67,11.8,35.86
2018-09-04 14:19:39,-1.0,53.29,11.55,34.82
2018-09-04 14:34:39,-1.0,48.71,11.68,33.83
2018-09-04 14:49:39,-1.0,41.69,11.43,32.71
2018-09-04 15:04:39,-1.0,35.66,11.93,31.51
2018-09-04 15:19:39,-1.0,24.35,11.68,30.28
2018-09-04 15:34:39,-1.0,20.51,11.8,28.6
2018-09-04 15:49:39,-1.0,25.24,11.8,29.26
2018-09-04 16:04:39,-1.0,14.62,11.43,27.8
2018-09-04 16:19:39,-1.0,20.34,11.43,27.76
2018-09-04 16:34:39,-1.0,21.77,11.55,29.17
2018-09-04 16:49:39,-1.0,22.15,11.68,28.6
2018-09-04 17:04:39,-1.0,16.51,11.8,28.24
2018-09-04 17:19:39,-1.0,20.18,11.55,28.24
2018-09-04 17:34:39,-1.0,14.59,11.43,27.49
2018-09-04 17:49:39,-1.0,11.31,11.8,27.44
2018-09-04 18:04:39,-1.0,5.94,11.68,25.83
2018-09-04 18:19:39,-1.0,4.21,11.55,25.52
2018-09-04 18:34:39,-1.0,2.3,11.68,24.98
2018-09-04 18:49:39,-1.0,0.87,11.8,24.29
2018-09-04 19:04:39,-1.0,0.14,11.68,24.02
2018-09-04 19:19:39,-1.0,0.1,11.8,23.28
2018-09-04 19:34:39,-1.0,0.1,11.3,23.47
2018-09-04 19:49:39,-1.0,0.1,11.55,22.96
2018-09-04 20:04:39,-1.0,0.1,11.43,23.56
2018-09-04 20:19:39,-1.0,0.1,11.68,23.7
2018-09-04 20:34:39,-1.0,0.1,11.55,23.6
2018-09-04 20:49:39,-1.0,0.1,11.3,23.19
2018-09-04 21:04:39,-1.0,0.1,11.68,23.0
2018-09-04 21:19:39,-1.0,0.1,11.43,22.72
2018-09-04 21:34:39,-1.0,0.1,11.3,22.44
2018-09-04 21:49:39,-1.0,0.1,11.55,22.54
2018-09-04 22:04:39,-1.0,0.1,11.55,21.93
2018-09-04 22:19:39,-1.0,0.1,11.8,20.11
2018-09-04 22:34:39,-1.0,0.1,11.68,18.74
2018-09-04 22:49:39,-1.0,0.1,11.68,20.45
2018-09-04 23:04:39,-1.0,0.1,11.55,20.79
2018-09-04 23:19:39,-1.0,0.1,11.17,19.96
2018-09-04 23:34:39,-1.0,0.1,11.68,19.18
2018-09-04 23:49:39,-1.0,0.1,11.68,18.44
2018-09-05 00:04:39,-1.0,0.1,11.55,18.69
2018-09-05 00:19:39,-1.0,0.1,11.43,18.39
