capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-04 09:17:28,-1.0,25.79,9.86,31.16
2018-09-04 09:32:28,-1.0,27.96,9.99,31.91
2018-09-04 09:47:28,-1.0,26.58,9.86,31.73
2018-09-04 10:02:28,-1.0,32.9,10.12,32.98
2018-09-04 10:17:28,-1.0,25.18,9.74,32.71
2018-09-04 10:32:28,-1.0,23.23,9.86,32.53
2018-09-04 10:47:28,-1.0,29.23,9.99,31.2
2018-09-04 11:02:28,-1.0,34.53,9.86,33.6
2018-09-04 11:17:28,-1.0,41.9,9.48,34.82
2018-09-04 11:32:28,-1.0,43.37,9.99,36.0
2018-09-04 11:47:28,-1.0,43.18,10.12,36.78
2018-09-04 12:02:28,-1.0,40.69,9.61,37.61
2018-09-04 12:17:28,-1.0,45.77,9.74,36.64
2018-09-04 12:32:28,-1.0,46.41,10.12,37.06
2018-09-04 12:47:28,-1.0,50.41,10.25,38.13
2018-09-04 13:02:28,-1.0,42.8,9.61,36.64
2018-09-04 13:17:28,-1.0,35.79,10.25,36.18
2018-09-04 13:32:28,-1.0,35.41,9.74,35.13
2018-09-04 13:47:28,-1.0,45.35,9.86,36.13
2018-09-04 14:02:28,-1.0,45.15,9.86,37.61
2018-09-04 14:17:28,-1.0,34.53,9.86,35.86
2018-09-04 14:32:28,-1.0,34.78,9.99,35.18
2018-09-04 14:47:28,-1.0,29.15,9.86,34.41
2018-09-04 15:02:28,-1.0,24.23,10.12,32.89
2018-09-04 15:17:28,-1.0,17.42,10.25,31.43
2018-09-04 15:32:28,-1.0,14.52,10.12,30.14
2018-09-04 15:47:28,-1.0,19.27,10.25,30.72
2018-09-04 16:02:28,-1.0,9.86,10.25,29.26
2018-09-04 16:17:28,-1.0,13.74,9.86,28.46
2018-09-04 16:32:28,-1.0,15.85,9.86,30.54
2018-09-04 16:47:28,-1.0,16.07,10.25,29.75
2018-09-04 17:02:28,-1.0,13.2,9.99,29.39
2018-09-04 17:17:28,-1.0,17.32,9.61,28.55
2018-09-04 17:32:28,-1.0,9.92,9.86,28.33
2018-09-04 17:47:28,-1.0,9.76,9.99,28.2
2018-09-04 18:02:28,-1.0,4.37,9.99,26.55
2018-09-04 18:17:28,-1.0,3.18,10.25,25.88
2018-09-04 18:32:28,-1.0,1.73,9.86,25.02
2018-09-04 18:47:28,-1.0,0.69,9.61,24.11
2018-09-04 19:02:28,-1.0,0.12,9.99,23.6
2018-09-04 19:17:28,-1.0,0.1,10.12,22.96
2018-09-04 19:32:28,-1.0,0.1,9.61,23.1
2018-09-04 19:47:28,-1.0,0.1,10.12,22.72
2018-09-04 20:02:28,-1.0,0.1,10.12,23.05
2018-09-04 20:17:28,-1.0,0.1,10.25,23.24
