capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-04 09:21:09,-1.0,39.93,13.07,40.48
2018-09-04 09:36:09,-1.0,36.59,12.94,34.77
2018-09-04 09:51:09,-1.0,32.86,13.33,33.69
2018-09-04 10:06:09,-1.0,43.35,13.07,35.27
2018-09-04 10:21:09,-1.0,33.3,13.07,34.5
2018-09-04 10:36:09,-1.0,29.28,13.2,33.87
2018-09-04 10:51:09,-1.0,36.72,13.2,32.53
2018-09-04 11:06:09,-1.0,45.9,13.2,35.4
2018-09-04 11:21:09,-1.0,50.69,13.2,37.71
2018-09-04 11:36:09,-1.0,55.94,13.33,38.22
2018-09-04 11:51:09,-1.0,57.51,12.94,39.32
2018-09-04 12:06:09,-1.0,50.94,13.33,38.93
2018-09-04 12:21:09,-1.0,49.95,13.33,37.75
2018-09-04 12:36:09,-1.0,56.56,13.07,38.32
2018-09-04 12:51:09,-1.0,57.83,13.2,39.32
2018-09-04 13:06:09,-1.0,50.69,13.46,37.99
2018-09-04 13:21:09,-1.0,40.09,13.46,37.06
2018-09-04 13:36:09,-1.0,43.91,13.2,36.46
2018-09-04 13:51:09,-1.0,46.96,13.46,36.78
2018-09-04 14:06:09,-1.0,51.98,13.33,37.99
2018-09-04 14:21:09,-1.0,39.46,13.59,36.55
2018-09-04 14:36:09,-1.0,39.46,13.2,35.68
2018-09-04 14:51:09,-1.0,31.92,13.46,34.23
2018-09-04 15:06:09,-1.0,27.26,13.46,33.2
2018-09-04 15:21:09,-1.0,19.26,13.59,31.43
2018-09-04 15:36:09,-1.0,16.26,13.46,30.14
2018-09-04 15:51:09,-1.0,19.61,13.07,30.45
2018-09-04 16:06:09,-1.0,10.53,13.59,28.64
2018-09-04 16:21:09,-1.0,16.52,13.46,28.46
2018-09-04 16:36:09,-1.0,16.98,13.46,29.92
2018-09-04 16:51:09,-1.0,18.17,13.46,29.57
2018-09-04 17:06:09,-1.0,13.0,13.59,29.22
