capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-04 09:19:34,-1.0,58.46,12.46,37.38
2018-09-04 09:34:34,-1.0,55.77,12.33,33.29
2018-09-04 09:49:34,-1.0,43.61,12.46,31.82
2018-09-04 10:04:34,-1.0,66.24,12.33,34.91
2018-09-04 10:19:34,-1.0,41.26,12.06,32.49
2018-09-04 10:34:34,-1.0,38.44,12.2,32.8
2018-09-04 10:49:34,-1.0,46.24,12.33,31.12
2018-09-04 11:04:34,-1.0,52.79,12.59,33.02
2018-09-04 11:19:34,-1.0,77.39,12.72,34.64
2018-09-04 11:34:34,-1.0,81.35,12.85,37.1
2018-09-04 11:49:34,-1.0,98.57,12.59,39.7
2018-09-04 12:04:34,-1.0,90.61,12.2,39.7
2018-09-04 12:19:34,-1.0,79.61,12.72,38.65
2018-09-04 12:34:34,-1.0,87.76,12.85,36.82
2018-09-04 12:49:34,-1.0,92.86,12.33,38.98
2018-09-04 13:04:34,-1.0,66.64,12.46,36.04
2018-09-04 13:19:34,-1.0,54.11,12.72,35.72
2018-09-04 13:34:34,-1.0,57.54,12.72,34.86
2018-09-04 13:49:34,-1.0,65.07,12.59,36.36
2018-09-04 14:04:34,-1.0,70.48,12.72,36.59
2018-09-04 14:19:34,-1.0,52.28,12.98,34.95
2018-09-04 14:34:34,-1.0,48.1,12.85,33.42
2018-09-04 14:49:34,-1.0,41.58,12.85,32.84
2018-09-04 15:04:34,-1.0,33.68,12.72,31.65
2018-09-04 15:19:34,-1.0,22.91,12.98,30.14
2018-09-04 15:34:34,-1.0,18.94,12.46,29.39
2018-09-04 15:49:34,-1.0,24.94,12.98,29.66
2018-09-04 16:04:34,-1.0,13.86,12.59,28.38
2018-09-04 16:19:34,-1.0,20.17,12.59,28.15
2018-09-04 16:34:34,-1.0,20.09,12.33,29.44
2018-09-04 16:49:34,-1.0,21.12,12.98,29.26
2018-09-04 17:04:34,-1.0,15.8,12.72,28.38
2018-09-04 17:19:34,-1.0,18.1,12.85,28.55
2018-09-04 17:34:34,-1.0,13.42,12.72,27.71
2018-09-04 17:49:34,-1.0,9.96,12.85,27.49
2018-09-04 18:04:34,-1.0,5.74,12.98,26.01
2018-09-04 18:19:34,-1.0,4.02,12.72,25.7
2018-09-04 18:34:34,-1.0,2.25,12.85,25.02
2018-09-04 18:49:34,-1.0,0.85,12.98,24.43
2018-09-04 19:04:34,-1.0,0.14,12.72,23.97
2018-09-04 19:19:34,-1.0,0.1,12.46,23.28
2018-09-04 19:34:34,-1.0,0.1,12.72,23.33
2018-09-04 19:49:34,-1.0,0.1,12.33,22.91
2018-09-04 20:04:34,-1.0,0.1,12.59,23.42
2018-09-04 20:19:34,-1.0,0.1,12.59,23.6
2018-09-04 20:34:34,-1.0,0.1,12.2,23.51
2018-09-04 20:49:34,-1.0,0.1,12.59,23.1
