capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-04 09:17:03,-1.0,69.43,7.11,37.38
2018-09-04 09:32:03,-1.0,61.51,7.36,36.36
2018-09-04 09:47:03,-1.0,53.43,6.98,36.0
2018-09-04 10:02:03,-1.0,72.36,7.11,37.01
2018-09-04 10:17:03,-1.0,52.59,6.86,36.96
2018-09-04 10:32:03,-1.0,52.87,6.98,36.59
2018-09-04 10:47:03,-1.0,48.54,7.11,33.74
2018-09-04 11:02:03,-1.0,63.81,7.11,36.64
2018-09-04 11:17:03,-1.0,85.51,7.11,38.27
2018-09-04 11:32:03,-1.0,106.38,6.86,41.46
2018-09-04 11:47:03,-1.0,115.71,6.98,45.55
2018-09-04 12:02:03,-1.0,126.77,7.23,45.55
2018-09-04 12:17:03,-1.0,106.38,6.86,45.44
2018-09-04 12:32:03,-1.0,87.68,7.36,41.96
2018-09-04 12:47:03,-1.0,100.29,7.11,43.96
2018-09-04 13:02:03,-1.0,78.41,7.11,41.36
2018-09-04 13:17:03,-1.0,71.86,7.11,40.18
2018-09-04 13:32:03,-1.0,65.87,6.98,39.12
2018-09-04 13:47:03,-1.0,82.13,6.86,39.8
2018-09-04 14:02:03,-1.0,82.13,6.74,40.92
2018-09-04 14:17:03,-1.0,66.72,6.86,40.23
2018-09-04 14:32:03,-1.0,61.51,6.98,38.6
2018-09-04 14:47:03,-1.0,54.0,6.74,36.69
2018-09-04 15:02:03,-1.0,45.47,6.98,34.86
2018-09-04 15:17:03,-1.0,32.62,7.23,33.29
2018-09-04 15:32:03,-1.0,27.65,6.98,31.56
2018-09-04 15:47:03,-1.0,33.97,7.36,31.69
2018-09-04 16:02:03,-1.0,20.11,6.86,30.5
2018-09-04 16:17:03,-1.0,22.46,7.11,29.0
2018-09-04 16:32:03,-1.0,31.38,6.86,31.56
2018-09-04 16:47:03,-1.0,27.42,7.23,30.45
2018-09-04 17:02:03,-1.0,23.79,7.11,30.41
2018-09-04 17:17:03,-1.0,25.61,7.11,29.61
2018-09-04 17:32:03,-1.0,29.94,7.23,29.0
2018-09-04 17:47:03,-1.0,18.3,6.86,28.69
2018-09-04 18:02:03,-1.0,8.71,6.86,26.95
2018-09-04 18:17:03,-1.0,5.71,6.74,26.01
2018-09-04 18:32:03,-1.0,3.56,6.74,25.25
2018-09-04 18:47:03,-1.0,1.43,7.11,24.34
2018-09-04 19:02:03,-1.0,0.28,6.98,23.6
2018-09-04 19:17:03,-1.0,0.1,6.98,22.86
2018-09-04 19:32:03,-1.0,0.1,7.36,22.82
2018-09-04 19:47:03,-1.0,0.1,7.36,22.16
2018-09-04 20:02:03,-1.0,0.1,7.11,22.77
2018-09-04 20:17:03,-1.0,0.1,6.86,23.1
2018-09-04 20:32:03,-1.0,0.1,6.74,23.05
2018-09-04 20:47:03,-1.0,0.1,6.86,22.58
2018-09-04 21:02:03,-1.0,0.1,7.11,22.4
2018-09-04 21:17:03,-1.0,0.1,6.98,21.79
2018-09-04 21:32:03,-1.0,0.1,7.23,21.64
2018-09-04 21:47:03,-1.0,0.1,7.11,21.64
2018-09-04 22:02:03,-1.0,0.1,7.23,21.07
2018-09-04 22:17:03,-1.0,0.1,6.74,18.83
2018-09-04 22:32:03,-1.0,0.1,7.36,17.02
2018-09-04 22:47:03,-1.0,0.1,6.98,17.58
2018-09-04 23:02:03,-1.0,0.1,7.23,17.68
2018-09-04 23:17:03,-1.0,0.1,6.86,16.71
2018-09-04 23:32:03,-1.0,0.1,6.74,16.14
2018-09-04 23:47:03,-1.0,0.1,7.36,16.29
2018-09-05 00:02:03,-1.0,0.1,7.36,15.87
2018-09-05 00:17:03,-1.0,0.1,7.11,14.87
2018-09-05 00:32:03,-1.0,0.1,7.36,14.7
2018-09-05 00:47:03,-1.0,0.1,7.23,14.05
2018-09-05 01:02:03,-1.0,0.1,7.48,14.11
2018-09-05 01:17:03,-1.0,0.1,7.11,15.29
2018-09-05 01:32:03,-1.0,0.1,7.23,13.95
2018-09-05 01:47:03,-1.0,0.1,7.36,15.24
2018-09-05 02:02:03,-1.0,0.1,6.98,16.66
2018-09-05 02:17:03,-1.0,0.1,7.23,17.68
2018-09-05 02:32:03,-1.0,0.1,6.86,18.69
2018-09-05 02:47:03,-1.0,0.1,7.36,17.73
2018-09-05 03:02:03,-1.0,0.1,7.36,15.98
2018-09-05 03:17:03,-1.0,0.1,7.48,16.6
2018-09-05 03:32:03,-1.0,0.1,7.61,16.34
2018-09-05 03:47:03,-1.0,0.1,7.11,16.71
2018-09-05 04:02:03,-1.0,0.1,7.36,17.17
2018-09-05 04:17:03,-1.0,0.1,7.23,14.87
2018-09-05 04:32:03,-1.0,0.1,7.36,14.0
2018-09-05 04:47:03,-1.0,0.1,7.11,13.45
2018-09-05 05:02:03,-1.0,0.1,7.61,13.4
2018-09-05 05:17:03,-1.0,0.1,7.48,13.67
2018-09-05 05:32:03,-1.0,0.1,7.23,12.95
2018-09-05 05:47:03,-1.0,0.1,7.48,12.78
2018-09-05 06:02:03,-1.0,0.28,7.36,12.67
2018-09-05 06:17:03,-1.0,1.54,7.73,14.65
2018-09-05 06:32:03,-1.0,3.86,7.98,15.87
2018-09-05 06:47:03,-1.0,6.83,7.48,16.29
2018-09-05 07:02:03,-1.0,9.62,8.11,17.73
2018-09-05 07:17:03,-1.0,12.2,7.86,19.08
2018-09-05 07:32:03,-1.0,14.99,7.73,20.16
2018-09-05 07:47:03,-1.0,33.06,7.73,25.07
2018-09-05 08:02:03,-1.0,37.88,7.73,28.95
2018-09-05 08:17:03,-1.0,50.74,8.11,31.65
2018-09-05 08:32:03,-1.0,58.68,7.61,34.23
2018-09-05 08:47:03,-1.0,67.16,7.86,37.29
2018-09-05 09:02:03,-1.0,76.1,7.86,39.46
2018-09-05 09:17:03,-1.0,81.49,7.23,41.46
2018-09-05 09:32:03,-1.0,88.42,7.36,43.59
2018-09-05 09:47:03,-1.0,94.85,6.98,47.3
2018-09-05 10:02:03,-1.0,108.57,6.98,50.53
2018-09-05 10:17:03,-1.0,123.82,7.36,52.05
2018-09-05 10:32:03,-1.0,136.51,7.23,45.49
2018-09-05 10:47:03,-1.0,48.54,7.23,44.22
2018-09-05 11:02:03,-1.0,68.97,6.98,40.38
2018-09-05 11:17:03,-1.0,68.51,7.11,42.92
2018-09-05 11:32:03,-1.0,109.7,6.74,44.27
2018-09-05 11:47:03,-1.0,62.26,6.86,43.9
2018-09-05 12:02:03,-1.0,182.88,7.11,45.49
2018-09-05 12:17:03,-1.0,61.14,7.23,41.91
2018-09-05 12:32:03,-1.0,179.85,7.23,48.32
2018-09-05 12:47:03,-1.0,55.17,7.23,49.3
2018-09-05 13:02:03,-1.0,50.49,6.98,38.51
2018-09-05 13:17:03,-1.0,53.43,6.98,35.31
2018-09-05 13:32:03,-1.0,47.85,6.86,37.57
2018-09-05 13:47:03,-1.0,55.17,6.86,35.86
2018-09-05 14:02:03,-1.0,174.08,7.23,50.24
2018-09-05 14:17:03,-1.0,58.34,6.86,40.23
2018-09-05 14:32:03,-1.0,62.26,7.23,50.41
2018-09-05 14:47:03,-1.0,145.81,7.23,48.83
2018-09-05 15:02:03,-1.0,147.82,7.11,50.18
2018-09-05 15:17:03,-1.0,133.11,7.11,48.26
2018-09-05 15:32:03,-1.0,120.99,6.98,46.03
2018-09-05 15:47:03,-1.0,118.29,6.86,44.64
2018-09-05 16:02:03,-1.0,39.07,7.11,42.01
2018-09-05 16:17:03,-1.0,91.52,7.11,36.36
2018-09-05 16:32:03,-1.0,65.03,7.11,37.06
2018-09-05 16:47:03,-1.0,63.81,7.11,35.27
2018-09-05 17:02:03,-1.0,60.78,6.86,33.92
2018-09-05 17:17:03,-1.0,52.32,6.86,31.73
2018-09-05 17:32:03,-1.0,42.94,6.98,29.3
2018-09-05 17:47:03,-1.0,24.7,6.74,27.44
2018-09-05 18:02:03,-1.0,17.92,7.11,25.61
2018-09-05 18:17:03,-1.0,7.89,7.36,23.6
2018-09-05 18:32:03,-1.0,4.55,7.23,22.44
2018-09-05 18:47:03,-1.0,1.84,7.11,21.41
2018-09-05 19:02:03,-1.0,0.38,7.11,20.59
2018-09-05 19:17:03,-1.0,0.1,7.48,20.16
2018-09-05 19:32:03,-1.0,0.1,6.98,19.82
2018-09-05 19:47:03,-1.0,0.1,6.98,19.43
2018-09-05 20:02:03,-1.0,0.1,6.98,19.48
2018-09-05 20:17:03,-1.0,0.1,7.23,19.18
2018-09-05 20:32:03,-1.0,0.1,7.11,19.03
2018-09-05 20:47:03,-1.0,0.1,7.11,19.08
2018-09-05 21:02:03,-1.0,0.1,7.23,18.78
2018-09-05 21:17:03,-1.0,0.1,7.48,18.83
2018-09-05 21:32:03,-1.0,0.1,6.86,18.69
2018-09-05 21:47:03,-1.0,0.1,7.48,18.39
2018-09-05 22:02:03,-1.0,0.1,6.74,18.44
2018-09-05 22:17:03,-1.0,0.1,7.23,18.24
2018-09-05 22:32:03,-1.0,0.1,7.23,18.19
2018-09-05 22:47:03,-1.0,0.1,7.36,17.98
2018-09-05 23:02:03,-1.0,0.1,7.23,17.93
2018-09-05 23:17:03,-1.0,0.1,7.11,18.08
2018-09-05 23:32:03,-1.0,0.1,7.36,17.93
2018-09-05 23:47:03,-1.0,0.1,7.23,17.73
2018-09-06 00:02:03,-1.0,0.1,6.98,17.58
2018-09-06 00:17:03,-1.0,0.1,7.11,17.58
2018-09-06 00:32:03,-1.0,0.1,7.23,17.43
2018-09-06 00:47:03,-1.0,0.1,7.11,17.32
2018-09-06 01:02:03,-1.0,0.1,6.98,17.32
2018-09-06 01:17:03,-1.0,0.1,7.23,17.27
2018-09-06 01:32:03,-1.0,0.1,7.23,17.27
2018-09-06 01:47:03,-1.0,0.1,7.23,17.27
2018-09-06 02:02:03,-1.0,0.1,7.11,17.32
2018-09-06 02:17:03,-1.0,0.1,7.36,17.32
