capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-14 18:21:00,-1.0,3.35,9.51,22.91
2018-09-14 18:36:00,-1.0,1.11,9.38,21.83
2018-09-14 18:51:00,-1.0,0.18,9.77,20.69
2018-09-14 19:06:00,-1.0,0.1,9.9,20.01
2018-09-14 19:21:00,-1.0,0.1,9.51,19.67
2018-09-14 19:36:00,-1.0,0.1,9.77,19.38
2018-09-14 19:51:00,-1.0,0.1,9.64,19.08
2018-09-14 20:06:00,-1.0,0.1,9.64,19.18
2018-09-14 20:21:00,-1.0,0.1,9.51,19.53
2018-09-14 20:36:00,-1.0,0.1,9.77,19.67
2018-09-14 20:51:00,-1.0,0.1,9.9,19.13
2018-09-14 21:06:00,-1.0,0.1,9.64,18.98
2018-09-14 21:21:00,-1.0,0.1,9.9,19.43
2018-09-14 21:36:00,-1.0,0.1,9.38,20.01
2018-09-14 21:51:00,-1.0,0.1,9.64,20.3
2018-09-14 22:06:00,-1.0,0.1,9.9,20.59
2018-09-14 22:21:00,-1.0,0.1,9.38,19.08
2018-09-14 22:36:00,-1.0,0.1,9.64,18.93
2018-09-14 22:51:00,-1.0,0.1,9.9,18.83
2018-09-14 23:06:00,-1.0,0.1,9.51,18.98
2018-09-14 23:21:00,-1.0,0.1,9.64,18.98
2018-09-14 23:36:00,-1.0,0.1,9.51,18.98
2018-09-14 23:51:00,-1.0,0.1,9.64,18.39
2018-09-15 00:06:00,-1.0,0.1,9.38,18.34
2018-09-15 00:21:00,-1.0,0.1,9.51,18.54
2018-09-15 00:36:00,-1.0,0.1,9.38,18.74
2018-09-15 00:51:00,-1.0,0.1,9.51,19.43
2018-09-15 01:06:00,-1.0,0.1,9.77,18.98
2018-09-15 01:21:00,-1.0,0.1,9.51,18.69
2018-09-15 01:36:00,-1.0,0.1,9.64,19.23
2018-09-15 01:51:00,-1.0,0.1,9.13,19.57
2018-09-15 02:06:00,-1.0,0.1,9.9,19.82
2018-09-15 02:21:00,-1.0,0.1,9.38,19.72
