capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-14 18:09:35,0.72,6.0,32.0,23.19
2018-09-14 18:24:35,0.72,3.16,31.77,22.26
2018-09-14 18:39:35,0.72,0.97,31.88,21.36
2018-09-14 18:54:35,0.72,0.1,31.99,20.21
2018-09-14 19:09:35,0.72,0.1,31.64,19.77
2018-09-14 19:24:35,0.72,0.1,31.51,19.67
2018-09-14 19:39:35,0.72,0.1,31.27,19.33
2018-09-14 19:54:35,0.72,0.1,31.5,19.23
2018-09-14 20:09:35,0.72,0.1,31.03,19.28
2018-09-14 20:24:35,0.72,0.1,31.26,19.67
2018-09-14 20:39:35,0.72,0.1,31.25,19.57
2018-09-14 20:54:35,0.72,0.1,30.79,18.83
2018-09-14 21:09:35,0.72,0.1,30.77,18.74
2018-09-14 21:24:35,0.72,0.1,30.77,19.62
2018-09-14 21:39:35,0.72,0.1,30.53,20.55
2018-09-14 21:54:35,0.72,0.1,30.76,21.03
2018-09-14 22:09:35,0.72,0.1,30.64,20.69
2018-09-14 22:24:35,0.72,0.1,30.76,19.23
2018-09-14 22:39:35,0.72,0.1,30.52,18.98
2018-09-14 22:54:35,0.72,0.1,30.52,18.74
2018-09-14 23:09:35,0.72,0.1,30.28,18.98
2018-09-14 23:24:35,0.72,0.1,30.28,18.98
2018-09-14 23:39:35,0.72,0.1,30.39,18.78
2018-09-14 23:54:35,0.72,0.1,30.62,18.44
2018-09-15 00:09:35,0.72,0.1,30.5,18.29
2018-09-15 00:24:35,0.72,0.1,30.27,18.54
2018-09-15 00:39:35,0.72,0.1,30.04,18.69
2018-09-15 00:54:35,0.72,0.1,30.27,18.98
2018-09-15 01:09:35,0.72,0.1,30.03,18.93
2018-09-15 01:24:35,0.72,0.1,30.03,19.03
2018-09-15 01:39:35,0.72,0.1,30.15,19.33
2018-09-15 01:54:35,0.72,0.1,29.91,19.67
2018-09-15 02:09:35,0.72,0.1,29.79,19.96
2018-09-15 02:24:35,0.72,0.1,30.02,20.26
2018-09-15 02:39:35,0.72,0.1,29.91,20.26
2018-09-15 02:54:35,0.72,0.1,30.14,20.3
2018-09-15 03:09:35,0.72,0.1,30.12,20.74
2018-09-15 03:24:35,0.72,0.1,30.01,20.93
2018-09-15 03:39:35,0.72,0.1,29.89,20.45
2018-09-15 03:54:35,0.72,0.1,29.77,20.35
2018-09-15 04:09:35,0.72,0.1,29.77,20.45
2018-09-15 04:24:35,0.72,0.1,29.88,20.59
2018-09-15 04:39:35,0.72,0.1,29.65,20.64
2018-09-15 04:54:35,0.72,0.1,29.65,20.5
2018-09-15 05:09:35,0.72,0.1,29.53,20.5
2018-09-15 05:24:35,0.72,0.1,29.41,20.59
