capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-14 18:11:28,-1.0,5.05,10.55,24.2
2018-09-14 18:26:28,-1.0,2.53,10.55,23.14
2018-09-14 18:41:28,-1.0,0.71,10.29,22.02
2018-09-14 18:56:28,-1.0,0.1,10.55,20.88
2018-09-14 19:11:28,-1.0,0.1,10.67,20.5
2018-09-14 19:26:28,-1.0,0.1,10.42,20.21
2018-09-14 19:41:28,-1.0,0.1,10.67,19.96
2018-09-14 19:56:28,-1.0,0.1,10.03,19.77
2018-09-14 20:11:28,-1.0,0.1,10.29,19.33
2018-09-14 20:26:28,-1.0,0.1,10.29,19.82
2018-09-14 20:41:28,-1.0,0.1,10.16,19.57
2018-09-14 20:56:28,-1.0,0.1,10.16,18.78
2018-09-14 21:11:28,-1.0,0.1,10.03,18.74
2018-09-14 21:26:28,-1.0,0.1,10.03,19.77
2018-09-14 21:41:28,-1.0,0.1,10.42,20.83
2018-09-14 21:56:28,-1.0,0.1,10.29,21.22
2018-09-14 22:11:28,-1.0,0.1,10.42,20.45
2018-09-14 22:26:28,-1.0,0.1,10.42,18.88
2018-09-14 22:41:28,-1.0,0.1,10.67,18.78
2018-09-14 22:56:28,-1.0,0.1,10.42,18.49
2018-09-14 23:11:28,-1.0,0.1,10.42,18.69
2018-09-14 23:26:28,-1.0,0.1,10.67,18.54
2018-09-14 23:41:28,-1.0,0.1,10.42,18.24
2018-09-14 23:56:28,-1.0,0.1,10.42,17.98
2018-09-15 00:11:28,-1.0,0.1,10.42,17.93
2018-09-15 00:26:28,-1.0,0.1,10.16,18.13
2018-09-15 00:41:28,-1.0,0.1,10.03,18.39
2018-09-15 00:56:28,-1.0,0.1,10.16,18.74
2018-09-15 01:11:28,-1.0,0.1,10.29,18.64
2018-09-15 01:26:28,-1.0,0.1,10.42,18.88
2018-09-15 01:41:28,-1.0,0.1,10.16,19.13
2018-09-15 01:56:28,-1.0,0.1,10.67,19.57
2018-09-15 02:11:28,-1.0,0.1,9.9,19.77
2018-09-15 02:26:28,-1.0,0.1,10.42,20.06
2018-09-15 02:41:28,-1.0,0.1,10.16,20.06
2018-09-15 02:56:28,-1.0,0.1,10.67,20.26
2018-09-15 03:11:28,-1.0,0.1,10.29,20.79
2018-09-15 03:26:28,-1.0,0.1,10.03,21.03
2018-09-15 03:41:28,-1.0,0.1,10.03,20.45
2018-09-15 03:56:28,-1.0,0.1,10.03,20.3
2018-09-15 04:11:28,-1.0,0.1,9.9,20.4
2018-09-15 04:26:28,-1.0,0.1,10.03,20.59
2018-09-15 04:41:28,-1.0,0.1,10.16,20.74
2018-09-15 04:56:28,-1.0,0.1,10.55,20.45
2018-09-15 05:11:28,-1.0,0.1,10.29,20.35
2018-09-15 05:26:28,-1.0,0.1,10.29,20.45
2018-09-15 05:41:28,-1.0,0.1,10.16,20.35
2018-09-15 05:56:28,-1.0,0.1,10.55,20.5
2018-09-15 06:11:28,-1.0,0.1,10.55,20.64
2018-09-15 06:26:28,-1.0,0.54,10.67,20.79
2018-09-15 06:41:28,-1.0,1.64,10.55,20.98
2018-09-15 06:56:28,-1.0,2.48,10.16,21.64
2018-09-15 07:11:28,-1.0,3.95,10.29,22.12
2018-09-15 07:26:28,-1.0,10.23,10.67,23.65
2018-09-15 07:41:28,-1.0,9.02,10.42,24.16
2018-09-15 07:56:28,-1.0,11.15,10.67,24.34
2018-09-15 08:11:28,-1.0,13.93,10.55,25.34
2018-09-15 08:26:28,-1.0,17.92,10.16,25.92
2018-09-15 08:41:28,-1.0,22.17,10.42,27.36
2018-09-15 08:56:28,-1.0,22.08,10.55,27.93
2018-09-15 09:11:28,-1.0,30.62,10.42,30.01
2018-09-15 09:26:28,-1.0,30.79,10.67,30.89
2018-09-15 09:41:28,-1.0,32.31,10.42,31.12
2018-09-15 09:56:28,-1.0,37.75,10.42,31.91
2018-09-15 10:11:28,-1.0,115.63,10.16,36.32
2018-09-15 10:26:28,-1.0,54.13,10.16,36.87
2018-09-15 10:41:28,-1.0,59.75,10.42,37.47
2018-09-15 10:56:28,-1.0,87.54,10.55,38.84
2018-09-15 11:11:28,-1.0,59.13,10.29,44.69
2018-09-15 11:26:28,-1.0,67.39,10.55,37.8
2018-09-15 11:41:28,-1.0,139.76,10.67,46.41
2018-09-15 11:56:28,-1.0,112.38,10.29,48.2
2018-09-15 12:11:28,-1.0,121.48,10.16,43.33
2018-09-15 12:26:28,-1.0,146.51,10.29,49.06
2018-09-15 12:41:28,-1.0,146.51,10.55,46.85
2018-09-15 12:56:28,-1.0,130.7,10.03,48.09
2018-09-15 13:11:28,-1.0,146.51,10.16,48.66
2018-09-15 13:26:28,-1.0,130.7,10.29,47.19
2018-09-15 13:41:28,-1.0,138.16,10.29,47.47
2018-09-15 13:56:28,-1.0,99.28,10.55,45.82
2018-09-15 14:11:28,-1.0,126.59,10.03,46.09
2018-09-15 14:26:28,-1.0,123.98,10.29,43.64
2018-09-15 14:41:28,-1.0,120.26,10.67,45.65
2018-09-15 14:56:28,-1.0,111.33,10.67,45.38
2018-09-15 15:11:28,-1.0,76.19,10.16,42.31
2018-09-15 15:26:28,-1.0,85.63,10.16,43.28
2018-09-15 15:41:28,-1.0,89.53,10.16,44.01
2018-09-15 15:56:28,-1.0,80.37,10.03,44.16
2018-09-15 16:11:28,-1.0,74.26,10.29,42.57
2018-09-15 16:26:28,-1.0,69.82,10.16,40.57
2018-09-15 16:41:28,-1.0,60.06,10.55,39.51
2018-09-15 16:56:28,-1.0,16.27,10.42,32.67
2018-09-15 17:11:28,-1.0,13.66,10.29,30.54
2018-09-15 17:26:28,-1.0,11.35,10.55,29.22
2018-09-15 17:41:28,-1.0,9.15,10.67,27.98
2018-09-15 17:56:28,-1.0,7.04,10.67,26.55
2018-09-15 18:11:28,-1.0,4.7,10.42,25.02
2018-09-15 18:26:28,-1.0,2.35,10.55,23.79
2018-09-15 18:41:28,-1.0,0.61,10.16,22.63
2018-09-15 18:56:28,-1.0,0.1,10.42,21.93
2018-09-15 19:11:28,-1.0,0.1,10.29,21.36
2018-09-15 19:26:28,-1.0,0.1,10.03,20.98
2018-09-15 19:41:28,-1.0,0.1,10.42,20.5
2018-09-15 19:56:28,-1.0,0.1,10.67,20.26
2018-09-15 20:11:28,-1.0,0.1,10.42,19.96
2018-09-15 20:26:28,-1.0,0.1,10.8,20.45
2018-09-15 20:41:28,-1.0,0.1,10.55,20.35
2018-09-15 20:56:28,-1.0,0.1,10.03,19.96
2018-09-15 21:11:28,-1.0,0.1,10.42,19.82
2018-09-15 21:26:28,-1.0,0.1,10.42,19.57
2018-09-15 21:41:28,-1.0,0.1,10.29,19.48
2018-09-15 21:56:28,-1.0,0.1,10.42,19.96
2018-09-15 22:11:28,-1.0,0.1,10.67,19.96
2018-09-15 22:26:28,-1.0,0.1,10.42,19.67
2018-09-15 22:41:28,-1.0,0.1,10.29,19.38
2018-09-15 22:56:28,-1.0,0.1,10.67,18.83
2018-09-15 23:11:28,-1.0,0.1,10.42,18.19
2018-09-15 23:26:28,-1.0,0.1,10.29,18.13
2018-09-15 23:41:28,-1.0,0.1,10.16,18.13
2018-09-15 23:56:28,-1.0,0.1,10.42,18.19
2018-09-16 00:11:28,-1.0,0.1,10.29,17.98
2018-09-16 00:26:28,-1.0,0.1,10.16,18.13
2018-09-16 00:41:28,-1.0,0.1,10.67,17.83
2018-09-16 00:56:28,-1.0,0.1,10.16,17.07
2018-09-16 01:11:28,-1.0,0.1,10.55,16.86
2018-09-16 01:26:28,-1.0,0.1,10.03,16.71
2018-09-16 01:41:28,-1.0,0.1,10.16,16.66
2018-09-16 01:56:28,-1.0,0.1,10.29,16.55
2018-09-16 02:11:28,-1.0,0.1,10.16,16.45
2018-09-16 02:26:28,-1.0,0.1,10.16,16.24
2018-09-16 02:41:28,-1.0,0.1,10.42,16.45
2018-09-16 02:56:28,-1.0,0.1,10.67,16.66
2018-09-16 03:11:28,-1.0,0.1,10.67,16.4
2018-09-16 03:26:28,-1.0,0.1,10.03,16.24
2018-09-16 03:41:28,-1.0,0.1,10.16,16.66
2018-09-16 03:56:28,-1.0,0.1,10.42,16.6
2018-09-16 04:11:28,-1.0,0.1,10.03,16.08
2018-09-16 04:26:28,-1.0,0.1,10.42,15.93
2018-09-16 04:41:28,-1.0,0.1,10.42,15.82
2018-09-16 04:56:28,-1.0,0.1,9.9,15.77
2018-09-16 05:11:28,-1.0,0.1,10.55,15.66
2018-09-16 05:26:28,-1.0,0.1,10.55,15.56
2018-09-16 05:41:28,-1.0,0.1,10.42,15.45
2018-09-16 05:56:28,-1.0,0.1,10.29,15.72
2018-09-16 06:11:28,-1.0,0.28,10.16,15.61
2018-09-16 06:26:28,-1.0,1.55,10.42,15.98
2018-09-16 06:41:28,-1.0,3.88,10.55,16.86
2018-09-16 06:56:28,-1.0,6.73,10.03,18.13
2018-09-16 07:11:28,-1.0,15.09,10.29,20.98
2018-09-16 07:26:28,-1.0,24.18,10.29,24.34
2018-09-16 07:41:28,-1.0,32.03,10.03,27.89
2018-09-16 07:56:28,-1.0,37.38,10.42,30.14
2018-09-16 08:11:28,-1.0,44.79,10.55,32.71
2018-09-16 08:26:28,-1.0,52.64,10.29,34.64
2018-09-16 08:41:28,-1.0,60.37,10.55,36.46
2018-09-16 08:56:28,-1.0,69.4,10.29,39.36
2018-09-16 09:11:28,-1.0,75.7,10.03,40.57
2018-09-16 09:26:28,-1.0,82.63,10.29,41.56
2018-09-16 09:41:28,-1.0,86.9,10.29,42.77
2018-09-16 09:56:28,-1.0,94.54,10.03,43.54
2018-09-16 10:11:28,-1.0,100.97,9.9,45.38
2018-09-16 10:26:28,-1.0,107.33,10.42,44.69
2018-09-16 10:41:28,-1.0,113.44,10.29,45.92
2018-09-16 10:56:28,-1.0,122.72,9.9,45.55
2018-09-16 11:11:28,-1.0,59.44,10.55,43.44
2018-09-16 11:26:28,-1.0,67.78,10.55,37.19
2018-09-16 11:41:28,-1.0,104.51,10.29,42.87
2018-09-16 11:56:28,-1.0,139.76,10.16,45.76
2018-09-16 12:11:28,-1.0,143.05,10.16,41.86
2018-09-16 12:26:28,-1.0,143.05,10.67,46.2
2018-09-16 12:41:28,-1.0,144.76,10.03,45.6
2018-09-16 12:56:28,-1.0,143.05,10.03,46.3
2018-09-16 13:11:28,-1.0,143.05,10.29,45.71
2018-09-16 13:26:28,-1.0,139.76,10.16,46.52
2018-09-16 13:41:28,-1.0,136.61,10.16,46.8
2018-09-16 13:56:28,-1.0,112.38,10.55,45.01
2018-09-16 14:11:28,-1.0,122.72,10.55,45.38
2018-09-16 14:26:28,-1.0,122.72,10.42,44.16
2018-09-16 14:41:28,-1.0,119.07,10.55,44.64
2018-09-16 14:56:28,-1.0,108.3,10.42,44.11
2018-09-16 15:11:28,-1.0,53.62,10.67,39.22
2018-09-16 15:26:28,-1.0,83.81,10.29,40.82
2018-09-16 15:41:28,-1.0,86.26,10.29,42.06
2018-09-16 15:56:28,-1.0,80.37,10.16,42.11
2018-09-16 16:11:28,-1.0,71.97,10.55,41.41
2018-09-16 16:26:28,-1.0,69.4,10.42,40.57
2018-09-16 16:41:28,-1.0,65.12,10.29,40.28
2018-09-16 16:56:28,-1.0,23.76,10.29,34.77
2018-09-16 17:11:28,-1.0,20.38,10.29,32.53
2018-09-16 17:26:28,-1.0,16.8,10.42,31.51
2018-09-16 17:41:28,-1.0,13.63,10.29,30.54
2018-09-16 17:56:28,-1.0,9.73,10.29,29.39
2018-09-16 18:11:28,-1.0,7.36,10.42,28.15
2018-09-16 18:26:28,-1.0,3.53,10.67,27.31
2018-09-16 18:41:28,-1.0,0.93,10.29,26.37
2018-09-16 18:56:28,-1.0,0.1,10.42,25.47
2018-09-16 19:11:28,-1.0,0.1,10.16,24.75
2018-09-16 19:26:28,-1.0,0.1,10.03,23.65
2018-09-16 19:41:28,-1.0,0.1,10.55,23.65
2018-09-16 19:56:28,-1.0,0.1,10.8,23.24
2018-09-16 20:11:28,-1.0,0.1,10.16,22.91
2018-09-16 20:26:28,-1.0,0.1,10.42,22.26
2018-09-16 20:41:28,-1.0,0.1,10.8,22.07
2018-09-16 20:56:28,-1.0,0.1,10.03,21.55
2018-09-16 21:11:28,-1.0,0.1,10.29,21.55
2018-09-16 21:26:28,-1.0,0.1,10.55,21.5
2018-09-16 21:41:28,-1.0,0.1,10.55,21.26
2018-09-16 21:56:28,-1.0,0.1,10.29,21.36
2018-09-16 22:11:28,-1.0,0.1,10.55,21.45
2018-09-16 22:26:28,-1.0,0.1,10.03,20.83
2018-09-16 22:41:28,-1.0,0.1,10.42,20.69
2018-09-16 22:56:28,-1.0,0.1,10.29,20.64
2018-09-16 23:11:28,-1.0,0.1,10.42,20.4
2018-09-16 23:26:28,-1.0,0.1,10.42,20.35
2018-09-16 23:41:28,-1.0,0.1,10.42,19.87
2018-09-16 23:56:28,-1.0,0.1,10.42,19.72
2018-09-17 00:11:28,-1.0,0.1,10.29,19.53
2018-09-17 00:26:28,-1.0,0.1,10.29,19.77
2018-09-17 00:41:28,-1.0,0.1,10.67,19.77
