capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-14 18:21:20,-1.0,3.75,5.08,22.96
2018-09-14 18:36:20,-1.0,1.21,4.84,21.26
2018-09-14 18:51:20,-1.0,0.2,4.6,19.96
2018-09-14 19:06:20,-1.0,0.1,4.84,19.28
2018-09-14 19:21:20,-1.0,0.1,4.6,19.13
2018-09-14 19:36:20,-1.0,0.1,4.84,18.59
2018-09-14 19:51:20,-1.0,0.1,5.08,18.34
2018-09-14 20:06:20,-1.0,0.1,5.08,18.44
2018-09-14 20:21:20,-1.0,0.1,4.6,18.88
2018-09-14 20:36:20,-1.0,0.1,4.72,18.98
2018-09-14 20:51:20,-1.0,0.1,4.72,18.44
2018-09-14 21:06:20,-1.0,0.1,4.72,18.08
2018-09-14 21:21:20,-1.0,0.1,5.08,18.49
2018-09-14 21:36:20,-1.0,0.1,4.72,19.28
2018-09-14 21:51:20,-1.0,0.1,4.72,19.62
2018-09-14 22:06:20,-1.0,0.1,5.08,19.77
2018-09-14 22:21:20,-1.0,0.1,4.48,17.83
2018-09-14 22:36:20,-1.0,0.1,5.08,17.88
2018-09-14 22:51:20,-1.0,0.1,4.84,17.02
2018-09-14 23:06:20,-1.0,0.1,4.84,17.22
2018-09-14 23:21:20,-1.0,0.1,4.84,17.22
2018-09-14 23:36:20,-1.0,0.1,4.96,17.02
2018-09-14 23:51:20,-1.0,0.1,4.84,16.71
2018-09-15 00:06:20,-1.0,0.1,4.6,16.5
2018-09-15 00:21:20,-1.0,0.1,4.6,16.6
2018-09-15 00:36:20,-1.0,0.1,5.08,16.81
2018-09-15 00:51:20,-1.0,0.1,4.72,17.17
2018-09-15 01:06:20,-1.0,0.1,4.72,17.17
2018-09-15 01:21:20,-1.0,0.1,4.6,17.17
2018-09-15 01:36:20,-1.0,0.1,4.6,17.53
2018-09-15 01:51:20,-1.0,0.1,4.6,18.19
2018-09-15 02:06:20,-1.0,0.1,4.6,18.93
2018-09-15 02:21:20,-1.0,0.1,4.72,18.88
2018-09-15 02:36:20,-1.0,0.1,4.72,18.88
2018-09-15 02:51:20,-1.0,0.1,4.96,19.18
2018-09-15 03:06:20,-1.0,0.1,4.84,19.67
2018-09-15 03:21:20,-1.0,0.1,4.84,19.82
2018-09-15 03:36:20,-1.0,0.1,4.96,19.28
2018-09-15 03:51:20,-1.0,0.1,4.84,18.93
2018-09-15 04:06:20,-1.0,0.1,4.6,19.18
2018-09-15 04:21:20,-1.0,0.1,4.96,19.28
2018-09-15 04:36:20,-1.0,0.1,4.84,19.28
2018-09-15 04:51:20,-1.0,0.1,4.72,19.08
2018-09-15 05:06:20,-1.0,0.1,4.96,18.93
2018-09-15 05:21:20,-1.0,0.1,4.84,19.03
2018-09-15 05:36:20,-1.0,0.1,4.72,19.28
2018-09-15 05:51:20,-1.0,0.1,4.6,19.33
2018-09-15 06:06:20,-1.0,0.1,4.84,19.43
2018-09-15 06:21:20,-1.0,0.32,4.84,19.48
2018-09-15 06:36:20,-1.0,1.1,4.84,19.43
2018-09-15 06:51:20,-1.0,2.57,4.96,20.11
2018-09-15 07:06:20,-1.0,2.74,4.48,20.4
2018-09-15 07:21:20,-1.0,8.65,4.84,21.55
2018-09-15 07:36:20,-1.0,10.61,4.84,22.63
2018-09-15 07:51:20,-1.0,10.66,4.36,22.54
2018-09-15 08:06:20,-1.0,14.0,4.72,23.65
2018-09-15 08:21:20,-1.0,14.47,4.36,24.25
2018-09-15 08:36:20,-1.0,20.34,4.48,25.34
2018-09-15 08:51:20,-1.0,19.76,5.08,26.1
2018-09-15 09:06:20,-1.0,29.98,4.84,27.89
2018-09-15 09:21:20,-1.0,32.34,5.08,28.82
2018-09-15 09:36:20,-1.0,30.76,4.84,29.44
2018-09-15 09:51:20,-1.0,33.46,4.72,30.01
2018-09-15 10:06:20,-1.0,55.89,4.96,33.47
2018-09-15 10:21:20,-1.0,55.89,4.72,35.91
2018-09-15 10:36:20,-1.0,55.89,4.72,35.36
2018-09-15 10:51:20,-1.0,63.97,4.72,36.23
2018-09-15 11:06:20,-1.0,143.33,4.48,45.01
2018-09-15 11:21:20,-1.0,131.92,4.72,47.41
2018-09-15 11:36:20,-1.0,131.92,4.84,45.28
2018-09-15 11:51:20,-1.0,130.43,4.84,47.92
2018-09-15 12:06:20,-1.0,133.44,4.72,48.95
2018-09-15 12:21:20,-1.0,141.59,4.36,48.09
2018-09-15 12:36:20,-1.0,127.55,4.72,49.59
2018-09-15 12:51:20,-1.0,139.88,4.72,50.36
2018-09-15 13:06:20,-1.0,136.59,4.6,48.89
2018-09-15 13:21:20,-1.0,145.12,4.36,48.89
2018-09-15 13:36:20,-1.0,131.92,4.6,47.64
2018-09-15 13:51:20,-1.0,122.14,4.96,44.96
2018-09-15 14:06:20,-1.0,117.17,4.6,44.37
2018-09-15 14:21:20,-1.0,97.23,4.48,40.87
2018-09-15 14:36:20,-1.0,104.35,4.72,44.22
2018-09-15 14:51:20,-1.0,99.79,4.96,43.13
2018-09-15 15:06:20,-1.0,94.01,4.84,43.13
2018-09-15 15:21:20,-1.0,88.15,4.84,45.98
2018-09-15 15:36:20,-1.0,84.84,4.96,43.85
2018-09-15 15:51:20,-1.0,79.45,4.84,45.01
2018-09-15 16:06:20,-1.0,70.45,5.08,43.33
2018-09-15 16:21:20,-1.0,43.1,4.84,39.56
2018-09-15 16:36:20,-1.0,21.3,5.08,36.55
2018-09-15 16:51:20,-1.0,50.03,4.48,36.78
2018-09-15 17:06:20,-1.0,42.76,5.08,36.78
2018-09-15 17:21:20,-1.0,34.76,4.84,34.54
2018-09-15 17:36:20,-1.0,26.0,4.96,32.71
2018-09-15 17:51:20,-1.0,17.76,4.84,29.57
2018-09-15 18:06:20,-1.0,6.55,4.6,25.07
2018-09-15 18:21:20,-1.0,3.54,4.72,22.68
2018-09-15 18:36:20,-1.0,1.16,4.72,21.5
2018-09-15 18:51:20,-1.0,0.14,4.96,20.98
2018-09-15 19:06:20,-1.0,0.1,5.08,20.74
2018-09-15 19:21:20,-1.0,0.1,4.96,20.59
2018-09-15 19:36:20,-1.0,0.1,4.96,20.5
2018-09-15 19:51:20,-1.0,0.1,4.96,20.4
2018-09-15 20:06:20,-1.0,0.1,4.96,20.3
2018-09-15 20:21:20,-1.0,0.1,4.48,20.69
2018-09-15 20:36:20,-1.0,0.1,4.96,20.79
2018-09-15 20:51:20,-1.0,0.1,4.72,20.79
2018-09-15 21:06:20,-1.0,0.1,4.48,20.59
2018-09-15 21:21:20,-1.0,0.1,4.84,20.06
2018-09-15 21:36:20,-1.0,0.1,4.48,19.57
2018-09-15 21:51:20,-1.0,0.1,4.6,19.48
2018-09-15 22:06:20,-1.0,0.1,4.6,19.23
2018-09-15 22:21:20,-1.0,0.1,4.72,18.88
2018-09-15 22:36:20,-1.0,0.1,5.08,18.64
2018-09-15 22:51:20,-1.0,0.1,4.96,18.44
2018-09-15 23:06:20,-1.0,0.1,4.72,18.29
2018-09-15 23:21:20,-1.0,0.1,4.96,18.03
2018-09-15 23:36:20,-1.0,0.1,4.72,18.34
2018-09-15 23:51:20,-1.0,0.1,5.08,18.44
2018-09-16 00:06:20,-1.0,0.1,4.72,17.93
2018-09-16 00:21:20,-1.0,0.1,4.84,17.63
2018-09-16 00:36:20,-1.0,0.1,4.84,17.27
2018-09-16 00:51:20,-1.0,0.1,4.96,15.77
2018-09-16 01:06:20,-1.0,0.1,4.48,15.35
2018-09-16 01:21:20,-1.0,0.1,4.72,16.19
2018-09-16 01:36:20,-1.0,0.1,4.96,15.93
2018-09-16 01:51:20,-1.0,0.1,4.6,16.34
2018-09-16 02:06:20,-1.0,0.1,4.96,16.19
2018-09-16 02:21:20,-1.0,0.1,4.84,15.13
2018-09-16 02:36:20,-1.0,0.1,4.84,16.03
2018-09-16 02:51:20,-1.0,0.1,4.6,15.24
2018-09-16 03:06:20,-1.0,0.1,4.84,15.93
2018-09-16 03:21:20,-1.0,0.1,4.6,14.65
2018-09-16 03:36:20,-1.0,0.1,4.84,15.45
2018-09-16 03:51:20,-1.0,0.1,4.96,15.93
2018-09-16 04:06:20,-1.0,0.1,4.84,14.76
2018-09-16 04:21:20,-1.0,0.1,5.08,14.7
2018-09-16 04:36:20,-1.0,0.1,4.48,15.5
2018-09-16 04:51:20,-1.0,0.1,4.96,14.81
2018-09-16 05:06:20,-1.0,0.1,4.84,14.43
2018-09-16 05:21:20,-1.0,0.1,4.6,14.16
2018-09-16 05:36:20,-1.0,0.1,4.84,14.49
2018-09-16 05:51:20,-1.0,0.1,4.84,14.6
2018-09-16 06:06:20,-1.0,0.1,4.72,14.11
2018-09-16 06:21:20,-1.0,1.0,4.84,15.19
2018-09-16 06:36:20,-1.0,2.98,4.36,15.24
2018-09-16 06:51:20,-1.0,5.54,4.96,16.19
2018-09-16 07:06:20,-1.0,8.21,4.6,17.58
2018-09-16 07:21:20,-1.0,10.7,4.6,19.28
2018-09-16 07:36:20,-1.0,30.85,4.6,25.43
2018-09-16 07:51:20,-1.0,31.39,4.96,29.04
2018-09-16 08:06:20,-1.0,40.67,4.6,30.19
2018-09-16 08:21:20,-1.0,43.97,4.36,31.12
2018-09-16 08:36:20,-1.0,48.69,4.96,33.2
2018-09-16 08:51:20,-1.0,25.94,4.72,35.77
2018-09-16 09:06:20,-1.0,52.42,4.84,35.95
2018-09-16 09:21:20,-1.0,68.29,4.84,36.04
2018-09-16 09:36:20,-1.0,38.09,4.48,36.64
2018-09-16 09:51:20,-1.0,91.73,4.48,41.12
2018-09-16 10:06:20,-1.0,98.07,4.84,43.23
2018-09-16 10:21:20,-1.0,57.04,4.72,40.97
2018-09-16 10:36:20,-1.0,109.35,4.96,41.86
2018-09-16 10:51:20,-1.0,63.61,4.96,42.72
2018-09-16 11:06:20,-1.0,120.86,4.96,45.49
2018-09-16 11:21:20,-1.0,124.79,4.6,46.47
2018-09-16 11:36:20,-1.0,127.55,4.72,44.8
2018-09-16 11:51:20,-1.0,128.97,4.72,45.76
2018-09-16 12:06:20,-1.0,128.97,4.84,46.63
2018-09-16 12:21:20,-1.0,130.43,4.72,46.14
2018-09-16 12:36:20,-1.0,130.43,4.84,45.92
2018-09-16 12:51:20,-1.0,131.92,4.84,46.63
2018-09-16 13:06:20,-1.0,130.43,4.36,46.09
2018-09-16 13:21:20,-1.0,127.55,4.96,46.2
2018-09-16 13:36:20,-1.0,123.45,4.72,45.71
2018-09-16 13:51:20,-1.0,117.17,4.6,45.65
2018-09-16 14:06:20,-1.0,113.69,4.96,46.03
2018-09-16 14:21:20,-1.0,108.31,4.84,45.98
