capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-14 18:18:23,-1.0,5.48,13.98,26.15
2018-09-14 18:33:23,-1.0,1.93,14.49,23.65
2018-09-14 18:48:23,-1.0,0.37,13.98,22.02
2018-09-14 19:03:23,-1.0,0.1,13.86,21.17
2018-09-14 19:18:23,-1.0,0.1,14.11,20.83
2018-09-14 19:33:23,-1.0,0.1,14.11,20.45
2018-09-14 19:48:23,-1.0,0.1,14.24,20.3
2018-09-14 20:03:23,-1.0,0.1,14.11,20.35
2018-09-14 20:18:23,-1.0,0.1,14.11,20.55
2018-09-14 20:33:23,-1.0,0.1,14.24,20.83
2018-09-14 20:48:23,-1.0,0.1,14.24,20.26
2018-09-14 21:03:23,-1.0,0.1,13.73,20.06
2018-09-14 21:18:23,-1.0,0.1,14.24,20.4
2018-09-14 21:33:23,-1.0,0.1,13.48,21.17
2018-09-14 21:48:23,-1.0,0.1,13.86,21.55
2018-09-14 22:03:23,-1.0,0.1,13.98,21.93
2018-09-14 22:18:23,-1.0,0.1,13.98,20.55
2018-09-14 22:33:23,-1.0,0.1,13.86,20.26
2018-09-14 22:48:23,-1.0,0.1,14.11,19.72
2018-09-14 23:03:23,-1.0,0.1,13.98,20.01
2018-09-14 23:18:23,-1.0,0.1,14.11,20.01
2018-09-14 23:33:23,-1.0,0.1,13.98,19.92
2018-09-14 23:48:23,-1.0,0.1,14.11,19.57
2018-09-15 00:03:23,-1.0,0.1,13.98,19.38
2018-09-15 00:18:23,-1.0,0.1,13.98,19.62
2018-09-15 00:33:23,-1.0,0.1,13.86,19.72
2018-09-15 00:48:23,-1.0,0.1,13.73,20.21
2018-09-15 01:03:23,-1.0,0.1,13.48,19.82
2018-09-15 01:18:23,-1.0,0.1,13.86,19.82
2018-09-15 01:33:23,-1.0,0.1,14.11,19.92
2018-09-15 01:48:23,-1.0,0.1,13.86,20.59
2018-09-15 02:03:23,-1.0,0.1,13.73,21.22
2018-09-15 02:18:23,-1.0,0.1,13.6,21.12
2018-09-15 02:33:23,-1.0,0.1,13.98,21.07
2018-09-15 02:48:23,-1.0,0.1,14.11,21.17
2018-09-15 03:03:23,-1.0,0.1,14.11,21.64
2018-09-15 03:18:23,-1.0,0.1,13.35,21.79
2018-09-15 03:33:23,-1.0,0.1,13.6,21.03
2018-09-15 03:48:23,-1.0,0.1,13.86,20.64
2018-09-15 04:03:23,-1.0,0.1,13.86,20.98
2018-09-15 04:18:23,-1.0,0.1,13.86,21.12
