capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-14 18:08:38,-1.0,0.1,15.09,25.11
2018-09-14 18:23:38,-1.0,0.1,15.22,24.25
2018-09-14 18:38:38,-1.0,0.1,15.48,23.28
2018-09-14 18:53:38,-1.0,0.1,15.35,22.21
2018-09-14 19:08:38,-1.0,0.1,15.09,21.6
2018-09-14 19:23:38,-1.0,0.1,15.48,21.26
2018-09-14 19:38:38,-1.0,0.1,15.35,20.93
2018-09-14 19:53:38,-1.0,0.1,15.35,20.79
2018-09-14 20:08:38,-1.0,0.1,14.97,20.93
2018-09-14 20:23:38,-1.0,0.1,15.35,21.22
2018-09-14 20:38:38,-1.0,0.1,15.6,21.22
2018-09-14 20:53:38,-1.0,0.1,15.09,20.79
2018-09-14 21:08:38,-1.0,0.1,15.09,20.69
2018-09-14 21:23:38,-1.0,0.1,15.35,21.22
2018-09-14 21:38:38,-1.0,0.1,14.97,21.83
2018-09-14 21:53:38,-1.0,0.1,14.97,22.16
2018-09-14 22:08:38,-1.0,0.1,14.97,22.26
2018-09-14 22:23:38,-1.0,0.1,15.09,21.12
2018-09-14 22:38:38,-1.0,0.1,15.35,20.98
2018-09-14 22:53:38,-1.0,0.1,15.35,20.93
2018-09-14 23:08:38,-1.0,0.1,15.22,21.17
2018-09-14 23:23:38,-1.0,0.1,15.48,21.36
2018-09-14 23:38:38,-1.0,0.1,15.09,21.17
2018-09-14 23:53:38,-1.0,0.1,15.48,20.74
2018-09-15 00:08:38,-1.0,0.1,15.22,20.55
2018-09-15 00:23:38,-1.0,0.1,15.22,20.83
2018-09-15 00:38:38,-1.0,0.1,15.09,20.83
2018-09-15 00:53:38,-1.0,0.1,15.48,21.5
2018-09-15 01:08:38,-1.0,0.1,15.22,21.07
2018-09-15 01:23:38,-1.0,0.1,15.22,20.98
2018-09-15 01:38:38,-1.0,0.1,15.22,21.5
2018-09-15 01:53:38,-1.0,0.1,15.22,21.55
2018-09-15 02:08:38,-1.0,0.1,14.97,21.69
2018-09-15 02:23:38,-1.0,0.1,15.22,21.74
2018-09-15 02:38:38,-1.0,0.1,14.97,21.69
2018-09-15 02:53:38,-1.0,0.1,15.22,21.79
2018-09-15 03:08:38,-1.0,0.1,15.35,22.26
2018-09-15 03:23:38,-1.0,0.1,15.09,22.21
2018-09-15 03:38:38,-1.0,0.1,15.22,21.22
2018-09-15 03:53:38,-1.0,0.1,14.84,20.93
2018-09-15 04:08:38,-1.0,0.1,15.09,21.26
2018-09-15 04:23:38,-1.0,0.1,14.84,21.41
2018-09-15 04:38:38,-1.0,0.1,15.22,21.41
2018-09-15 04:53:38,-1.0,0.1,15.22,21.36
2018-09-15 05:08:38,-1.0,0.1,15.09,21.36
2018-09-15 05:23:38,-1.0,0.1,15.09,21.41
2018-09-15 05:38:38,-1.0,0.1,14.71,21.5
2018-09-15 05:53:38,-1.0,0.1,15.09,21.64
2018-09-15 06:08:38,-1.0,0.1,15.22,21.83
2018-09-15 06:23:38,-1.0,0.1,14.97,21.88
