capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-14 18:13:20,-1.0,6.67,13.3,27.0
2018-09-14 18:28:20,-1.0,2.7,13.81,24.06
2018-09-14 18:43:20,-1.0,0.69,13.68,22.12
2018-09-14 18:58:20,-1.0,0.1,13.94,21.03
2018-09-14 19:13:20,-1.0,0.1,13.68,20.55
2018-09-14 19:28:20,-1.0,0.1,13.55,20.26
2018-09-14 19:43:20,-1.0,0.1,13.17,19.92
2018-09-14 19:58:20,-1.0,0.1,13.17,19.87
2018-09-14 20:13:20,-1.0,0.1,13.42,20.11
2018-09-14 20:28:20,-1.0,0.1,13.81,20.4
2018-09-14 20:43:20,-1.0,0.1,13.55,20.11
2018-09-14 20:58:20,-1.0,0.1,13.42,19.72
2018-09-14 21:13:20,-1.0,0.1,13.42,19.82
2018-09-14 21:28:20,-1.0,0.1,13.3,20.5
2018-09-14 21:43:20,-1.0,0.1,13.55,21.03
2018-09-14 21:58:20,-1.0,0.1,13.3,21.45
2018-09-14 22:13:20,-1.0,0.1,13.55,20.55
2018-09-14 22:28:20,-1.0,0.1,13.3,19.57
2018-09-14 22:43:20,-1.0,0.1,13.42,19.28
2018-09-14 22:58:20,-1.0,0.1,13.55,19.33
2018-09-14 23:13:20,-1.0,0.1,13.68,19.62
2018-09-14 23:28:20,-1.0,0.1,13.68,19.33
2018-09-14 23:43:20,-1.0,0.1,13.55,18.93
2018-09-14 23:58:20,-1.0,0.1,13.68,19.03
2018-09-15 00:13:20,-1.0,0.1,13.55,18.64
2018-09-15 00:28:20,-1.0,0.1,13.55,18.93
2018-09-15 00:43:20,-1.0,0.1,13.42,19.38
2018-09-15 00:58:20,-1.0,0.1,13.04,19.43
2018-09-15 01:13:20,-1.0,0.1,13.17,19.23
2018-09-15 01:28:20,-1.0,0.1,13.42,19.38
2018-09-15 01:43:20,-1.0,0.1,13.55,19.96
2018-09-15 01:58:20,-1.0,0.1,13.3,20.74
2018-09-15 02:13:20,-1.0,0.1,13.04,20.74
2018-09-15 02:28:20,-1.0,0.1,13.55,20.74
2018-09-15 02:43:20,-1.0,0.1,13.17,20.93
2018-09-15 02:58:20,-1.0,0.1,13.42,21.17
2018-09-15 03:13:20,-1.0,0.1,13.68,21.45
2018-09-15 03:28:20,-1.0,0.1,13.55,20.98
2018-09-15 03:43:20,-1.0,0.1,13.04,20.4
2018-09-15 03:58:20,-1.0,0.1,13.68,20.5
2018-09-15 04:13:20,-1.0,0.1,13.04,20.69
2018-09-15 04:28:20,-1.0,0.1,13.42,20.83
2018-09-15 04:43:20,-1.0,0.1,13.17,20.79
2018-09-15 04:58:20,-1.0,0.1,13.55,20.5
2018-09-15 05:13:20,-1.0,0.1,13.3,20.5
2018-09-15 05:28:20,-1.0,0.1,13.68,20.74
2018-09-15 05:43:20,-1.0,0.1,13.17,20.79
2018-09-15 05:58:20,-1.0,0.1,13.55,20.98
2018-09-15 06:13:20,-1.0,0.15,13.55,21.03
2018-09-15 06:28:20,-1.0,0.72,13.3,20.98
2018-09-15 06:43:20,-1.0,2.13,13.3,21.31
2018-09-15 06:58:20,-1.0,2.75,13.42,21.93
2018-09-15 07:13:20,-1.0,5.12,13.68,22.4
2018-09-15 07:28:20,-1.0,11.85,13.17,23.97
2018-09-15 07:43:20,-1.0,10.05,13.04,24.52
2018-09-15 07:58:20,-1.0,13.0,13.68,24.61
2018-09-15 08:13:20,-1.0,15.43,13.04,25.7
2018-09-15 08:28:20,-1.0,20.57,13.42,26.28
2018-09-15 08:43:20,-1.0,24.14,13.68,27.71
2018-09-15 08:58:20,-1.0,26.98,13.42,27.98
2018-09-15 09:13:20,-1.0,34.51,13.3,30.01
2018-09-15 09:28:20,-1.0,33.98,13.68,30.94
2018-09-15 09:43:20,-1.0,38.23,13.3,31.56
