capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-14 18:17:08,-1.0,4.99,7.18,22.77
2018-09-14 18:32:08,-1.0,2.09,7.43,21.88
2018-09-14 18:47:08,-1.0,0.43,7.55,20.79
2018-09-14 19:02:08,-1.0,0.1,7.3,19.57
2018-09-14 19:17:08,-1.0,0.1,7.06,19.57
2018-09-14 19:32:08,-1.0,0.1,7.3,19.28
2018-09-14 19:47:08,-1.0,0.1,7.18,19.13
2018-09-14 20:02:08,-1.0,0.1,7.43,18.88
2018-09-14 20:17:08,-1.0,0.1,7.18,19.33
2018-09-14 20:32:08,-1.0,0.1,7.18,19.72
2018-09-14 20:47:08,-1.0,0.1,7.18,19.08
2018-09-14 21:02:08,-1.0,0.1,6.81,19.03
2018-09-14 21:17:08,-1.0,0.1,7.43,19.43
2018-09-14 21:32:08,-1.0,0.1,6.93,20.26
2018-09-14 21:47:08,-1.0,0.1,7.3,20.5
2018-09-14 22:02:08,-1.0,0.1,7.18,20.74
2018-09-14 22:17:08,-1.0,0.1,7.18,18.83
2018-09-14 22:32:08,-1.0,0.1,7.06,17.88
2018-09-14 22:47:08,-1.0,0.1,7.3,17.48
2018-09-14 23:02:08,-1.0,0.1,7.3,17.83
2018-09-14 23:17:08,-1.0,0.1,7.06,18.13
2018-09-14 23:32:08,-1.0,0.1,7.3,17.88
2018-09-14 23:47:08,-1.0,0.1,7.3,17.68
2018-09-15 00:02:08,-1.0,0.1,7.06,17.27
2018-09-15 00:17:08,-1.0,0.1,7.3,17.07
2018-09-15 00:32:08,-1.0,0.1,7.3,17.27
2018-09-15 00:47:08,-1.0,0.1,7.18,17.58
2018-09-15 01:02:08,-1.0,0.1,7.3,18.08
2018-09-15 01:17:08,-1.0,0.1,7.06,17.88
2018-09-15 01:32:08,-1.0,0.1,6.93,18.44
2018-09-15 01:47:08,-1.0,0.1,7.3,19.08
2018-09-15 02:02:08,-1.0,0.1,6.81,19.77
2018-09-15 02:17:08,-1.0,0.1,6.93,19.87
2018-09-15 02:32:08,-1.0,0.1,7.06,19.92
2018-09-15 02:47:08,-1.0,0.1,6.81,20.01
2018-09-15 03:02:08,-1.0,0.1,7.06,20.4
2018-09-15 03:17:08,-1.0,0.1,7.3,20.93
2018-09-15 03:32:08,-1.0,0.1,6.81,20.35
2018-09-15 03:47:08,-1.0,0.1,7.3,19.53
2018-09-15 04:02:08,-1.0,0.1,7.18,19.87
2018-09-15 04:17:08,-1.0,0.1,6.81,20.06
2018-09-15 04:32:08,-1.0,0.1,7.06,20.16
2018-09-15 04:47:08,-1.0,0.1,7.3,20.21
2018-09-15 05:02:08,-1.0,0.1,7.3,19.77
2018-09-15 05:17:08,-1.0,0.1,7.06,19.62
2018-09-15 05:32:08,-1.0,0.1,6.69,19.72
2018-09-15 05:47:08,-1.0,0.1,6.93,19.77
2018-09-15 06:02:08,-1.0,0.1,7.18,19.92
2018-09-15 06:17:08,-1.0,0.23,7.06,20.4
2018-09-15 06:32:08,-1.0,0.95,6.93,20.21
2018-09-15 06:47:08,-1.0,2.71,7.18,20.79
2018-09-15 07:02:08,-1.0,2.83,6.93,21.26
2018-09-15 07:17:08,-1.0,8.08,6.69,22.21
2018-09-15 07:32:08,-1.0,13.31,6.69,23.79
2018-09-15 07:47:08,-1.0,11.77,6.93,23.7
2018-09-15 08:02:08,-1.0,15.72,6.93,24.48
2018-09-15 08:17:08,-1.0,16.03,6.69,25.29
2018-09-15 08:32:08,-1.0,22.9,7.06,26.24
2018-09-15 08:47:08,-1.0,23.83,6.69,27.4
2018-09-15 09:02:08,-1.0,33.61,7.06,28.33
2018-09-15 09:17:08,-1.0,39.6,7.06,30.1
2018-09-15 09:32:08,-1.0,36.89,6.93,30.67
2018-09-15 09:47:08,-1.0,42.55,6.93,31.43
2018-09-15 10:02:08,-1.0,60.3,7.06,32.89
2018-09-15 10:17:08,-1.0,74.28,7.06,38.04
2018-09-15 10:32:08,-1.0,64.35,7.06,36.69
2018-09-15 10:47:08,-1.0,73.25,7.06,37.61
2018-09-15 11:02:08,-1.0,166.53,7.06,45.17
2018-09-15 11:17:08,-1.0,154.93,6.81,44.96
2018-09-15 11:32:08,-1.0,135.89,7.06,43.49
2018-09-15 11:47:08,-1.0,150.72,7.06,44.59
2018-09-15 12:02:08,-1.0,152.8,7.18,45.06
2018-09-15 12:17:08,-1.0,85.58,7.06,45.98
2018-09-15 12:32:08,-1.0,150.72,7.3,44.53
2018-09-15 12:47:08,-1.0,141.11,7.18,46.25
2018-09-15 13:02:08,-1.0,134.24,7.18,43.7
2018-09-15 13:17:08,-1.0,152.8,7.3,44.22
2018-09-15 13:32:08,-1.0,148.7,7.18,43.54
2018-09-15 13:47:08,-1.0,137.59,6.93,43.28
2018-09-15 14:02:08,-1.0,132.62,7.06,44.37
2018-09-15 14:17:08,-1.0,101.72,7.18,43.28
2018-09-15 14:32:08,-1.0,117.04,7.06,44.37
2018-09-15 14:47:08,-1.0,112.23,7.06,43.08
2018-09-15 15:02:08,-1.0,105.69,7.43,43.9
2018-09-15 15:17:08,-1.0,100.78,7.3,46.3
2018-09-15 15:32:08,-1.0,92.18,6.93,46.3
2018-09-15 15:47:08,-1.0,76.41,7.18,44.16
2018-09-15 16:02:08,-1.0,39.6,7.18,41.71
2018-09-15 16:17:08,-1.0,63.2,7.3,42.47
2018-09-15 16:32:08,-1.0,57.34,7.3,40.09
2018-09-15 16:47:08,-1.0,44.57,7.43,37.75
2018-09-15 17:02:08,-1.0,21.7,7.18,32.93
2018-09-15 17:17:08,-1.0,17.5,7.3,31.38
2018-09-15 17:32:08,-1.0,18.35,7.3,30.01
2018-09-15 17:47:08,-1.0,10.8,7.55,27.62
