capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-14 18:17:21,-1.0,3.73,8.24,25.52
2018-09-14 18:32:21,-1.0,1.42,8.49,23.56
2018-09-14 18:47:21,-1.0,0.3,8.62,22.12
2018-09-14 19:02:21,-1.0,0.1,8.37,21.12
2018-09-14 19:17:21,-1.0,0.1,8.74,20.83
2018-09-14 19:32:21,-1.0,0.1,8.62,20.5
2018-09-14 19:47:21,-1.0,0.1,8.74,20.26
2018-09-14 20:02:21,-1.0,0.1,8.49,20.11
2018-09-14 20:17:21,-1.0,0.1,8.62,20.21
2018-09-14 20:32:21,-1.0,0.1,8.62,20.59
2018-09-14 20:47:21,-1.0,0.1,8.37,20.26
2018-09-14 21:02:21,-1.0,0.1,8.24,20.16
2018-09-14 21:17:21,-1.0,0.1,8.74,20.35
2018-09-14 21:32:21,-1.0,0.1,8.74,20.79
2018-09-14 21:47:21,-1.0,0.1,8.24,21.03
2018-09-14 22:02:21,-1.0,0.1,8.24,21.31
2018-09-14 22:17:21,-1.0,0.1,8.62,20.11
2018-09-14 22:32:21,-1.0,0.1,8.24,19.82
2018-09-14 22:47:21,-1.0,0.1,8.37,19.48
2018-09-14 23:02:21,-1.0,0.1,8.24,19.53
2018-09-14 23:17:21,-1.0,0.1,8.49,20.5
2018-09-14 23:32:21,-1.0,0.1,8.12,20.01
2018-09-14 23:47:21,-1.0,0.1,8.49,19.82
2018-09-15 00:02:21,-1.0,0.1,8.49,19.33
2018-09-15 00:17:21,-1.0,0.1,8.62,18.98
2018-09-15 00:32:21,-1.0,0.1,8.37,19.08
2018-09-15 00:47:21,-1.0,0.1,8.37,19.28
2018-09-15 01:02:21,-1.0,0.1,8.24,19.48
2018-09-15 01:17:21,-1.0,0.1,8.74,19.67
2018-09-15 01:32:21,-1.0,0.1,8.24,19.77
2018-09-15 01:47:21,-1.0,0.1,8.24,20.79
2018-09-15 02:02:21,-1.0,0.1,8.37,21.03
2018-09-15 02:17:21,-1.0,0.1,8.24,20.98
2018-09-15 02:32:21,-1.0,0.1,8.37,20.79
2018-09-15 02:47:21,-1.0,0.1,8.37,20.88
2018-09-15 03:02:21,-1.0,0.1,8.49,21.22
2018-09-15 03:17:21,-1.0,0.1,8.49,21.79
2018-09-15 03:32:21,-1.0,0.1,8.62,20.83
2018-09-15 03:47:21,-1.0,0.1,7.99,20.26
2018-09-15 04:02:21,-1.0,0.1,8.37,20.55
2018-09-15 04:17:21,-1.0,0.1,8.24,20.74
2018-09-15 04:32:21,-1.0,0.1,8.49,20.79
2018-09-15 04:47:21,-1.0,0.1,8.12,20.74
2018-09-15 05:02:21,-1.0,0.1,8.37,20.5
2018-09-15 05:17:21,-1.0,0.1,8.37,20.5
2018-09-15 05:32:21,-1.0,0.1,8.37,20.64
2018-09-15 05:47:21,-1.0,0.1,8.12,20.74
2018-09-15 06:02:21,-1.0,0.1,8.37,20.98
2018-09-15 06:17:21,-1.0,0.14,8.37,21.12
2018-09-15 06:32:21,-1.0,0.6,7.99,20.98
2018-09-15 06:47:21,-1.0,1.69,8.49,21.31
2018-09-15 07:02:21,-1.0,1.83,8.37,21.64
2018-09-15 07:17:21,-1.0,3.97,8.62,22.12
2018-09-15 07:32:21,-1.0,6.38,8.12,23.0
2018-09-15 07:47:21,-1.0,6.03,8.49,23.24
2018-09-15 08:02:21,-1.0,7.4,8.37,23.42
2018-09-15 08:17:21,-1.0,9.63,8.37,24.75
2018-09-15 08:32:21,-1.0,13.74,8.49,25.92
2018-09-15 08:47:21,-1.0,14.18,8.37,27.31
2018-09-15 09:02:21,-1.0,18.19,8.12,27.8
2018-09-15 09:17:21,-1.0,21.28,8.62,29.0
2018-09-15 09:32:21,-1.0,20.75,8.12,29.7
2018-09-15 09:47:21,-1.0,25.65,8.24,30.85
2018-09-15 10:02:21,-1.0,27.66,8.49,30.19
2018-09-15 10:17:21,-1.0,33.58,8.62,33.02
2018-09-15 10:32:21,-1.0,36.61,8.37,34.19
2018-09-15 10:47:21,-1.0,38.42,8.24,34.27
2018-09-15 11:02:21,-1.0,43.98,8.49,38.37
2018-09-15 11:17:21,-1.0,48.72,8.49,36.41
2018-09-15 11:32:21,-1.0,16.16,8.24,32.22
2018-09-15 11:47:21,-1.0,15.81,8.74,31.2
2018-09-15 12:02:21,-1.0,50.27,8.74,35.31
2018-09-15 12:17:21,-1.0,25.8,8.62,33.83
2018-09-15 12:32:21,-1.0,32.41,8.62,34.23
2018-09-15 12:47:21,-1.0,27.66,8.74,37.94
2018-09-15 13:02:21,-1.0,84.63,8.37,41.96
2018-09-15 13:17:21,-1.0,145.07,8.62,52.36
2018-09-15 13:32:21,-1.0,147.18,8.37,52.3
