capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-14 18:10:51,-1.0,3.71,11.0,24.7
2018-09-14 18:25:51,-1.0,1.92,10.36,23.79
2018-09-14 18:40:51,-1.0,0.56,10.62,22.82
2018-09-14 18:55:51,-1.0,0.1,10.74,21.93
2018-09-14 19:10:51,-1.0,0.1,10.87,21.41
2018-09-14 19:25:51,-1.0,0.1,10.62,20.98
2018-09-14 19:40:51,-1.0,0.1,10.49,20.69
2018-09-14 19:55:51,-1.0,0.1,10.24,20.45
2018-09-14 20:10:51,-1.0,0.1,10.24,20.69
2018-09-14 20:25:51,-1.0,0.1,10.11,21.07
2018-09-14 20:40:51,-1.0,0.1,10.74,20.88
2018-09-14 20:55:51,-1.0,0.1,10.74,20.35
2018-09-14 21:10:51,-1.0,0.1,10.49,20.16
2018-09-14 21:25:51,-1.0,0.1,10.62,20.98
2018-09-14 21:40:51,-1.0,0.1,9.98,21.69
2018-09-14 21:55:51,-1.0,0.1,10.24,22.02
2018-09-14 22:10:51,-1.0,0.1,10.11,21.6
2018-09-14 22:25:51,-1.0,0.1,10.11,20.45
2018-09-14 22:40:51,-1.0,0.1,9.98,20.21
2018-09-14 22:55:51,-1.0,0.1,10.24,20.16
2018-09-14 23:10:51,-1.0,0.1,10.24,20.35
2018-09-14 23:25:51,-1.0,0.1,10.24,20.26
2018-09-14 23:40:51,-1.0,0.1,10.24,20.11
2018-09-14 23:55:51,-1.0,0.1,10.49,19.72
2018-09-15 00:10:51,-1.0,0.1,9.98,19.48
2018-09-15 00:25:51,-1.0,0.1,10.36,19.67
2018-09-15 00:40:51,-1.0,0.1,10.49,19.96
2018-09-15 00:55:51,-1.0,0.1,9.98,20.26
2018-09-15 01:10:51,-1.0,0.1,10.62,20.16
2018-09-15 01:25:51,-1.0,0.1,10.24,20.11
2018-09-15 01:40:51,-1.0,0.1,9.98,20.4
2018-09-15 01:55:51,-1.0,0.1,10.36,20.64
2018-09-15 02:10:51,-1.0,0.1,10.62,20.88
2018-09-15 02:25:51,-1.0,0.1,10.36,21.07
2018-09-15 02:40:51,-1.0,0.1,10.24,21.17
2018-09-15 02:55:51,-1.0,0.1,10.49,21.22
2018-09-15 03:10:51,-1.0,0.1,10.36,21.6
2018-09-15 03:25:51,-1.0,0.1,9.98,21.64
2018-09-15 03:40:51,-1.0,0.1,10.11,20.98
2018-09-15 03:55:51,-1.0,0.1,10.36,20.69
2018-09-15 04:10:51,-1.0,0.1,9.98,20.83
2018-09-15 04:25:51,-1.0,0.1,10.36,21.07
2018-09-15 04:40:51,-1.0,0.1,10.11,21.03
2018-09-15 04:55:51,-1.0,0.1,10.36,20.88
