capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-14 18:08:08,-1.0,7.34,14.95,24.79
2018-09-14 18:23:08,-1.0,3.86,14.58,23.56
2018-09-14 18:38:08,-1.0,1.2,14.45,22.54
2018-09-14 18:53:08,-1.0,0.17,14.45,21.31
2018-09-14 19:08:08,-1.0,0.1,14.45,20.59
2018-09-14 19:23:08,-1.0,0.1,14.7,20.5
2018-09-14 19:38:08,-1.0,0.1,14.95,20.16
2018-09-14 19:53:08,-1.0,0.1,14.45,20.01
2018-09-14 20:08:08,-1.0,0.1,14.58,20.11
2018-09-14 20:23:08,-1.0,0.1,14.82,20.55
2018-09-14 20:38:08,-1.0,0.1,14.82,20.45
2018-09-14 20:53:08,-1.0,0.1,14.82,20.06
2018-09-14 21:08:08,-1.0,0.1,14.82,19.96
2018-09-14 21:23:08,-1.0,0.1,14.58,20.59
2018-09-14 21:38:08,-1.0,0.1,14.33,21.22
2018-09-14 21:53:08,-1.0,0.1,14.82,21.45
2018-09-14 22:08:08,-1.0,0.1,14.33,21.22
2018-09-14 22:23:08,-1.0,0.1,14.45,19.67
2018-09-14 22:38:08,-1.0,0.1,14.58,19.28
2018-09-14 22:53:08,-1.0,0.1,14.58,19.23
2018-09-14 23:08:08,-1.0,0.1,14.7,19.82
2018-09-14 23:23:08,-1.0,0.1,14.45,20.01
2018-09-14 23:38:08,-1.0,0.1,14.58,19.53
2018-09-14 23:53:08,-1.0,0.1,14.45,19.28
2018-09-15 00:08:08,-1.0,0.1,14.58,18.74
2018-09-15 00:23:08,-1.0,0.1,14.45,18.78
2018-09-15 00:38:08,-1.0,0.1,14.58,18.93
2018-09-15 00:53:08,-1.0,0.1,14.7,19.08
2018-09-15 01:08:08,-1.0,0.1,14.58,19.48
2018-09-15 01:23:08,-1.0,0.1,14.33,19.43
2018-09-15 01:38:08,-1.0,0.1,14.58,20.35
2018-09-15 01:53:08,-1.0,0.1,14.7,20.79
2018-09-15 02:08:08,-1.0,0.1,14.45,20.98
2018-09-15 02:23:08,-1.0,0.1,14.7,21.03
2018-09-15 02:38:08,-1.0,0.1,14.58,20.74
2018-09-15 02:53:08,-1.0,0.1,14.45,20.93
2018-09-15 03:08:08,-1.0,0.1,14.33,21.45
2018-09-15 03:23:08,-1.0,0.1,14.21,21.69
2018-09-15 03:38:08,-1.0,0.1,14.7,20.55
2018-09-15 03:53:08,-1.0,0.1,14.21,20.26
2018-09-15 04:08:08,-1.0,0.1,14.21,20.5
2018-09-15 04:23:08,-1.0,0.1,14.58,20.74
2018-09-15 04:38:08,-1.0,0.1,14.21,20.74
2018-09-15 04:53:08,-1.0,0.1,14.33,20.59
2018-09-15 05:08:08,-1.0,0.1,14.45,20.55
2018-09-15 05:23:08,-1.0,0.1,14.45,20.5
2018-09-15 05:38:08,-1.0,0.1,14.21,20.69
2018-09-15 05:53:08,-1.0,0.1,14.58,20.79
2018-09-15 06:08:08,-1.0,0.1,14.45,21.07
2018-09-15 06:23:08,-1.0,0.46,14.45,21.12
2018-09-15 06:38:08,-1.0,1.44,14.45,21.17
2018-09-15 06:53:08,-1.0,2.95,14.7,21.69
2018-09-15 07:08:08,-1.0,3.5,14.21,21.97
2018-09-15 07:23:08,-1.0,11.35,14.45,23.42
2018-09-15 07:38:08,-1.0,11.88,14.58,24.29
2018-09-15 07:53:08,-1.0,13.61,14.58,24.25
2018-09-15 08:08:08,-1.0,16.22,14.21,25.25
2018-09-15 08:23:08,-1.0,18.08,14.21,25.7
2018-09-15 08:38:08,-1.0,25.13,14.45,27.13
2018-09-15 08:53:08,-1.0,23.69,14.45,27.36
2018-09-15 09:08:08,-1.0,33.99,14.45,29.08
2018-09-15 09:23:08,-1.0,37.08,14.21,30.1
2018-09-15 09:38:08,-1.0,37.2,14.58,30.41
2018-09-15 09:53:08,-1.0,39.46,14.45,31.29
2018-09-15 10:08:08,-1.0,69.82,14.45,34.54
2018-09-15 10:23:08,-1.0,63.96,14.58,35.95
2018-09-15 10:38:08,-1.0,65.43,14.33,36.36
2018-09-15 10:53:08,-1.0,76.83,14.45,37.71
2018-09-15 11:08:08,-1.0,161.33,14.08,42.87
2018-09-15 11:23:08,-1.0,157.11,14.58,41.12
2018-09-15 11:38:08,-1.0,155.07,14.33,42.16
2018-09-15 11:53:08,-1.0,157.11,14.21,41.91
2018-09-15 12:08:08,-1.0,159.19,14.58,42.97
2018-09-15 12:23:08,-1.0,151.16,14.33,42.97
2018-09-15 12:38:08,-1.0,89.28,14.33,42.72
2018-09-15 12:53:08,-1.0,140.49,14.7,42.77
2018-09-15 13:08:08,-1.0,140.49,14.58,42.52
2018-09-15 13:23:08,-1.0,125.64,14.7,42.52
2018-09-15 13:38:08,-1.0,149.27,14.82,41.51
2018-09-15 13:53:08,-1.0,142.17,14.58,41.07
2018-09-15 14:08:08,-1.0,135.69,14.82,41.71
2018-09-15 14:23:08,-1.0,132.66,14.45,40.09
2018-09-15 14:38:08,-1.0,131.2,14.58,42.01
2018-09-15 14:53:08,-1.0,125.64,14.7,41.86
2018-09-15 15:08:08,-1.0,118.11,14.82,42.87
2018-09-15 15:23:08,-1.0,108.33,14.82,45.38
2018-09-15 15:38:08,-1.0,101.75,14.7,44.48
2018-09-15 15:53:08,-1.0,93.59,14.82,44.8
2018-09-15 16:08:08,-1.0,84.72,14.82,42.52
2018-09-15 16:23:08,-1.0,80.58,14.45,41.31
2018-09-15 16:38:08,-1.0,63.25,14.7,40.33
2018-09-15 16:53:08,-1.0,62.55,14.82,38.22
2018-09-15 17:08:08,-1.0,49.64,14.95,36.82
2018-09-15 17:23:08,-1.0,35.07,14.82,34.91
2018-09-15 17:38:08,-1.0,16.9,14.95,31.29
2018-09-15 17:53:08,-1.0,10.52,14.95,27.62
2018-09-15 18:08:08,-1.0,6.88,14.82,25.29
2018-09-15 18:23:08,-1.0,3.65,14.58,23.93
2018-09-15 18:38:08,-1.0,1.13,14.95,22.91
2018-09-15 18:53:08,-1.0,0.1,14.82,22.54
2018-09-15 19:08:08,-1.0,0.1,15.07,22.3
2018-09-15 19:23:08,-1.0,0.1,14.82,22.35
2018-09-15 19:38:08,-1.0,0.1,14.7,22.35
2018-09-15 19:53:08,-1.0,0.1,14.82,22.21
2018-09-15 20:08:08,-1.0,0.1,14.7,22.26
2018-09-15 20:23:08,-1.0,0.1,14.7,22.02
2018-09-15 20:38:08,-1.0,0.1,14.82,22.16
2018-09-15 20:53:08,-1.0,0.1,14.7,22.12
2018-09-15 21:08:08,-1.0,0.1,14.7,21.97
2018-09-15 21:23:08,-1.0,0.1,14.82,21.36
2018-09-15 21:38:08,-1.0,0.1,14.58,21.03
2018-09-15 21:53:08,-1.0,0.1,14.45,20.88
2018-09-15 22:08:08,-1.0,0.1,14.58,20.93
2018-09-15 22:23:08,-1.0,0.1,14.7,20.35
2018-09-15 22:38:08,-1.0,0.1,14.45,20.26
2018-09-15 22:53:08,-1.0,0.1,14.33,20.16
2018-09-15 23:08:08,-1.0,0.1,14.45,19.82
2018-09-15 23:23:08,-1.0,0.1,14.7,19.96
2018-09-15 23:38:08,-1.0,0.1,14.45,20.01
2018-09-15 23:53:08,-1.0,0.1,14.58,19.96
2018-09-16 00:08:08,-1.0,0.1,14.45,19.96
2018-09-16 00:23:08,-1.0,0.1,14.58,18.98
2018-09-16 00:38:08,-1.0,0.1,14.58,18.19
2018-09-16 00:53:08,-1.0,0.1,14.33,18.03
2018-09-16 01:08:08,-1.0,0.1,14.21,18.34
2018-09-16 01:23:08,-1.0,0.1,14.7,18.78
2018-09-16 01:38:08,-1.0,0.1,14.45,18.29
2018-09-16 01:53:08,-1.0,0.1,14.58,18.13
2018-09-16 02:08:08,-1.0,0.1,14.7,18.34
2018-09-16 02:23:08,-1.0,0.1,14.7,18.03
2018-09-16 02:38:08,-1.0,0.1,14.58,18.19
2018-09-16 02:53:08,-1.0,0.1,14.58,18.13
2018-09-16 03:08:08,-1.0,0.1,14.45,17.83
2018-09-16 03:23:08,-1.0,0.1,14.58,17.38
2018-09-16 03:38:08,-1.0,0.1,14.45,17.73
2018-09-16 03:53:08,-1.0,0.1,14.58,17.83
2018-09-16 04:08:08,-1.0,0.1,14.21,17.12
2018-09-16 04:23:08,-1.0,0.1,14.58,17.12
2018-09-16 04:38:08,-1.0,0.1,14.58,17.73
2018-09-16 04:53:08,-1.0,0.1,14.7,17.27
2018-09-16 05:08:08,-1.0,0.1,14.45,16.66
2018-09-16 05:23:08,-1.0,0.1,14.21,16.24
2018-09-16 05:38:08,-1.0,0.1,14.58,16.45
2018-09-16 05:53:08,-1.0,0.1,14.58,16.66
2018-09-16 06:08:08,-1.0,0.19,14.33,16.6
2018-09-16 06:23:08,-1.0,1.43,14.33,18.03
2018-09-16 06:38:08,-1.0,4.02,14.58,18.49
2018-09-16 06:53:08,-1.0,7.29,14.45,19.38
2018-09-16 07:08:08,-1.0,10.6,14.33,20.93
2018-09-16 07:23:08,-1.0,13.26,14.45,22.35
2018-09-16 07:38:08,-1.0,15.32,14.21,23.42
2018-09-16 07:53:08,-1.0,17.63,14.33,24.48
2018-09-16 08:08:08,-1.0,19.72,14.21,25.34
2018-09-16 08:23:08,-1.0,24.17,14.33,27.8
2018-09-16 08:38:08,-1.0,72.93,14.33,31.2
2018-09-16 08:53:08,-1.0,82.9,14.45,39.75
2018-09-16 09:08:08,-1.0,90.67,14.58,40.62
2018-09-16 09:23:08,-1.0,100.87,14.08,40.53
2018-09-16 09:38:08,-1.0,108.33,14.58,41.71
2018-09-16 09:53:08,-1.0,115.79,14.33,42.57
2018-09-16 10:08:08,-1.0,121.76,14.58,42.47
2018-09-16 10:23:08,-1.0,128.36,14.08,43.44
2018-09-16 10:38:08,-1.0,134.16,14.45,43.39
2018-09-16 10:53:08,-1.0,138.86,14.33,41.26
2018-09-16 11:08:08,-1.0,142.17,14.33,42.06
2018-09-16 11:23:08,-1.0,147.43,14.33,40.04
2018-09-16 11:38:08,-1.0,151.16,14.58,40.57
2018-09-16 11:53:08,-1.0,153.09,14.7,41.02
2018-09-16 12:08:08,-1.0,153.09,14.33,41.51
2018-09-16 12:23:08,-1.0,143.88,14.58,39.51
2018-09-16 12:38:08,-1.0,138.86,14.45,39.6
2018-09-16 12:53:08,-1.0,120.52,14.58,39.7
2018-09-16 13:08:08,-1.0,135.69,14.58,39.8
2018-09-16 13:23:08,-1.0,138.86,14.82,40.97
2018-09-16 13:38:08,-1.0,140.49,14.58,41.76
2018-09-16 13:53:08,-1.0,142.17,14.7,41.91
2018-09-16 14:08:08,-1.0,140.49,14.45,42.11
2018-09-16 14:23:08,-1.0,135.69,14.45,42.87
2018-09-16 14:38:08,-1.0,131.2,14.58,43.49
2018-09-16 14:53:08,-1.0,124.32,14.95,41.66
2018-09-16 15:08:08,-1.0,115.79,14.7,42.01
2018-09-16 15:23:08,-1.0,107.34,14.58,42.21
2018-09-16 15:38:08,-1.0,97.5,14.95,41.96
2018-09-16 15:53:08,-1.0,90.67,15.07,41.76
2018-09-16 16:08:08,-1.0,72.93,15.07,40.23
2018-09-16 16:23:08,-1.0,77.86,14.95,39.27
2018-09-16 16:38:08,-1.0,75.32,14.95,38.93
2018-09-16 16:53:08,-1.0,72.01,14.82,38.7
2018-09-16 17:08:08,-1.0,57.78,14.82,37.75
2018-09-16 17:23:08,-1.0,40.91,14.82,36.13
2018-09-16 17:38:08,-1.0,27.84,14.82,33.87
2018-09-16 17:53:08,-1.0,13.36,14.82,29.35
2018-09-16 18:08:08,-1.0,9.86,14.82,28.02
2018-09-16 18:23:08,-1.0,5.44,14.7,27.27
2018-09-16 18:38:08,-1.0,1.64,15.07,26.55
2018-09-16 18:53:08,-1.0,0.1,14.95,25.88
2018-09-16 19:08:08,-1.0,0.1,14.45,25.2
2018-09-16 19:23:08,-1.0,0.1,14.7,24.89
2018-09-16 19:38:08,-1.0,0.1,14.82,24.52
2018-09-16 19:53:08,-1.0,0.1,14.58,24.43
2018-09-16 20:08:08,-1.0,0.1,14.82,24.02
2018-09-16 20:23:08,-1.0,0.1,14.58,23.7
2018-09-16 20:38:08,-1.0,0.1,14.45,23.42
2018-09-16 20:53:08,-1.0,0.1,14.82,23.1
2018-09-16 21:08:08,-1.0,0.1,14.58,23.14
2018-09-16 21:23:08,-1.0,0.1,14.45,23.05
2018-09-16 21:38:08,-1.0,0.1,14.7,23.05
2018-09-16 21:53:08,-1.0,0.1,14.82,22.96
2018-09-16 22:08:08,-1.0,0.1,14.58,22.77
2018-09-16 22:23:08,-1.0,0.1,14.33,22.54
2018-09-16 22:38:08,-1.0,0.1,14.45,22.44
2018-09-16 22:53:08,-1.0,0.1,14.7,22.26
2018-09-16 23:08:08,-1.0,0.1,14.7,22.21
2018-09-16 23:23:08,-1.0,0.1,14.7,22.02
2018-09-16 23:38:08,-1.0,0.1,14.82,21.5
2018-09-16 23:53:08,-1.0,0.1,14.33,21.22
2018-09-17 00:08:08,-1.0,0.1,14.45,21.07
2018-09-17 00:23:08,-1.0,0.1,14.33,20.98
2018-09-17 00:38:08,-1.0,0.1,14.58,21.03
2018-09-17 00:53:08,-1.0,0.1,14.33,21.07
2018-09-17 01:08:08,-1.0,0.1,14.58,21.31
2018-09-17 01:23:08,-1.0,0.1,14.21,19.53
2018-09-17 01:38:08,-1.0,0.1,14.58,18.98
2018-09-17 01:53:08,-1.0,0.1,14.58,18.88
2018-09-17 02:08:08,-1.0,0.1,14.58,18.74
2018-09-17 02:23:08,-1.0,0.1,14.58,18.69
