capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-14 18:15:24,-1.0,4.37,6.28,23.42
2018-09-14 18:30:24,-1.0,1.97,6.16,22.77
2018-09-14 18:45:24,-1.0,0.44,6.16,21.69
2018-09-14 19:00:24,-1.0,0.1,6.04,20.74
2018-09-14 19:15:24,-1.0,0.1,6.41,20.5
2018-09-14 19:30:24,-1.0,0.1,5.79,20.21
2018-09-14 19:45:24,-1.0,0.1,6.04,19.77
2018-09-14 20:00:24,-1.0,0.1,5.91,19.62
2018-09-14 20:15:24,-1.0,0.1,6.16,19.96
2018-09-14 20:30:24,-1.0,0.1,5.79,20.45
2018-09-14 20:45:24,-1.0,0.1,6.28,19.87
2018-09-14 21:00:24,-1.0,0.1,6.28,19.62
2018-09-14 21:15:24,-1.0,0.1,6.16,19.77
2018-09-14 21:30:24,-1.0,0.1,6.28,20.69
2018-09-14 21:45:24,-1.0,0.1,6.16,21.12
2018-09-14 22:00:24,-1.0,0.1,6.28,21.31
2018-09-14 22:15:24,-1.0,0.1,6.41,20.06
2018-09-14 22:30:24,-1.0,0.1,6.41,19.23
2018-09-14 22:45:24,-1.0,0.1,6.16,18.83
2018-09-14 23:00:24,-1.0,0.1,6.16,18.98
2018-09-14 23:15:24,-1.0,0.1,6.16,19.08
2018-09-14 23:30:24,-1.0,0.1,6.16,18.98
2018-09-14 23:45:24,-1.0,0.1,6.16,18.44
2018-09-15 00:00:24,-1.0,0.1,6.28,18.39
2018-09-15 00:15:24,-1.0,0.1,5.67,18.44
2018-09-15 00:30:24,-1.0,0.1,5.91,18.59
2018-09-15 00:45:24,-1.0,0.1,6.16,18.59
2018-09-15 01:00:24,-1.0,0.1,6.04,18.83
2018-09-15 01:15:24,-1.0,0.1,5.67,18.93
2018-09-15 01:30:24,-1.0,0.1,6.41,19.03
2018-09-15 01:45:24,-1.0,0.1,6.28,19.77
2018-09-15 02:00:24,-1.0,0.1,5.79,20.06
2018-09-15 02:15:24,-1.0,0.1,5.91,20.35
2018-09-15 02:30:24,-1.0,0.1,5.67,20.64
2018-09-15 02:45:24,-1.0,0.1,5.79,20.64
2018-09-15 03:00:24,-1.0,0.1,6.16,20.64
2018-09-15 03:15:24,-1.0,0.1,5.79,21.22
2018-09-15 03:30:24,-1.0,0.1,6.16,21.03
2018-09-15 03:45:24,-1.0,0.1,6.04,20.06
2018-09-15 04:00:24,-1.0,0.1,5.91,20.3
2018-09-15 04:15:24,-1.0,0.1,6.16,20.55
2018-09-15 04:30:24,-1.0,0.1,6.04,20.69
2018-09-15 04:45:24,-1.0,0.1,6.04,20.69
2018-09-15 05:00:24,-1.0,0.1,6.04,20.4
2018-09-15 05:15:24,-1.0,0.1,6.04,20.35
2018-09-15 05:30:24,-1.0,0.1,6.04,20.4
2018-09-15 05:45:24,-1.0,0.1,6.16,20.4
2018-09-15 06:00:24,-1.0,0.1,5.91,20.59
