capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-14 18:20:17,-1.0,4.26,11.29,22.26
2018-09-14 18:35:17,-1.0,1.48,10.9,21.12
2018-09-14 18:50:17,-1.0,0.26,11.03,20.01
2018-09-14 19:05:17,-1.0,0.1,11.16,19.23
2018-09-14 19:20:17,-1.0,0.1,11.16,19.08
2018-09-14 19:35:17,-1.0,0.1,11.16,18.78
2018-09-14 19:50:17,-1.0,0.1,10.9,18.44
2018-09-14 20:05:17,-1.0,0.1,11.29,18.64
2018-09-14 20:20:17,-1.0,0.1,11.03,18.98
2018-09-14 20:35:17,-1.0,0.1,11.03,19.13
2018-09-14 20:50:17,-1.0,0.1,11.03,18.44
2018-09-14 21:05:17,-1.0,0.1,11.03,18.19
2018-09-14 21:20:17,-1.0,0.1,10.78,18.88
2018-09-14 21:35:17,-1.0,0.1,10.9,19.72
2018-09-14 21:50:17,-1.0,0.1,10.78,20.06
2018-09-14 22:05:17,-1.0,0.1,11.16,20.21
2018-09-14 22:20:17,-1.0,0.1,10.65,18.19
2018-09-14 22:35:17,-1.0,0.1,10.65,17.63
2018-09-14 22:50:17,-1.0,0.1,10.65,17.38
2018-09-14 23:05:17,-1.0,0.1,11.03,17.88
2018-09-14 23:20:17,-1.0,0.1,10.9,18.29
2018-09-14 23:35:17,-1.0,0.1,10.65,17.93
2018-09-14 23:50:17,-1.0,0.1,10.52,17.63
2018-09-15 00:05:17,-1.0,0.1,10.9,17.12
2018-09-15 00:20:17,-1.0,0.1,11.03,16.76
2018-09-15 00:35:17,-1.0,0.1,10.78,17.17
2018-09-15 00:50:17,-1.0,0.1,11.16,17.27
2018-09-15 01:05:17,-1.0,0.1,10.9,17.93
2018-09-15 01:20:17,-1.0,0.1,10.78,17.68
2018-09-15 01:35:17,-1.0,0.1,10.9,18.24
2018-09-15 01:50:17,-1.0,0.1,10.9,19.08
2018-09-15 02:05:17,-1.0,0.1,11.03,19.38
2018-09-15 02:20:17,-1.0,0.1,11.03,19.53
2018-09-15 02:35:17,-1.0,0.1,10.78,19.38
2018-09-15 02:50:17,-1.0,0.1,10.39,19.53
2018-09-15 03:05:17,-1.0,0.1,10.52,20.06
2018-09-15 03:20:17,-1.0,0.1,10.9,20.45
