capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-24 07:31:42,-1.0,9.66,11.69,22.4
2018-09-24 07:46:42,-1.0,10.8,11.18,23.51
2018-09-24 08:01:42,-1.0,12.01,11.31,24.52
2018-09-24 08:16:42,-1.0,13.01,11.69,25.88
2018-09-24 08:31:42,-1.0,16.32,11.18,27.98
2018-09-24 08:46:42,-1.0,32.86,11.06,31.29
2018-09-24 09:01:42,-1.0,68.96,11.57,42.16
2018-09-24 09:16:42,-1.0,74.84,11.44,44.96
2018-09-24 09:31:42,-1.0,79.52,11.18,47.64
2018-09-24 09:45:34,-1.0,85.43,11.31,48.77
2018-09-24 10:00:34,-1.0,91.53,11.18,50.47
2018-09-24 10:15:34,-1.0,97.71,11.57,51.26
2018-09-24 10:30:34,-1.0,103.81,11.44,51.62
2018-09-24 10:45:34,-1.0,110.71,11.69,52.05
2018-09-24 11:00:34,-1.0,116.2,11.69,52.36
2018-09-24 11:15:34,-1.0,122.25,11.44,52.93
2018-09-24 11:30:34,-1.0,124.85,11.57,55.0
2018-09-24 11:45:34,-1.0,127.55,11.57,55.0
2018-09-24 12:00:34,-1.0,128.95,11.31,53.62
2018-09-24 12:15:34,-1.0,130.37,11.69,52.99
2018-09-24 12:30:34,-1.0,133.31,11.57,53.05
2018-09-24 12:45:34,-1.0,134.84,11.31,52.42
2018-09-24 13:00:34,-1.0,133.31,11.69,54.59
2018-09-24 13:15:34,-1.0,133.31,11.44,53.24
2018-09-24 13:30:34,-1.0,130.37,11.31,52.74
2018-09-24 13:45:34,-1.0,127.55,11.31,53.75
2018-09-24 14:00:34,-1.0,124.85,11.69,51.87
2018-09-24 14:15:34,-1.0,119.76,11.69,52.05
2018-09-24 14:30:34,-1.0,115.06,11.69,50.65
2018-09-24 14:45:34,-1.0,108.65,11.31,50.53
2018-09-24 15:00:34,-1.0,102.89,11.31,48.14
2018-09-24 15:15:34,-1.0,95.3,11.69,47.8
2018-09-24 15:30:34,-1.0,88.04,11.57,46.91
2018-09-24 15:45:34,-1.0,82.37,11.44,46.85
2018-09-24 16:00:34,-1.0,75.34,11.44,46.74
2018-09-24 16:15:34,-1.0,68.96,11.69,46.8
2018-09-24 16:30:34,-1.0,61.15,11.69,45.6
2018-09-24 16:45:34,-1.0,53.33,11.44,42.67
