capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-14 18:15:44,-1.0,4.76,9.92,23.51
2018-09-14 18:30:44,-1.0,2.04,9.92,22.72
2018-09-14 18:45:44,-1.0,0.46,9.79,21.36
2018-09-14 19:00:44,-1.0,0.1,10.17,20.5
2018-09-14 19:15:44,-1.0,0.1,9.54,20.21
2018-09-14 19:30:44,-1.0,0.1,9.79,19.87
2018-09-14 19:45:44,-1.0,0.1,10.04,19.62
2018-09-14 20:00:44,-1.0,0.1,9.92,19.33
2018-09-14 20:15:44,-1.0,0.1,9.92,19.67
2018-09-14 20:30:44,-1.0,0.1,9.79,20.01
2018-09-14 20:45:44,-1.0,0.1,9.79,19.33
2018-09-14 21:00:44,-1.0,0.1,9.67,18.98
2018-09-14 21:15:44,-1.0,0.1,10.04,19.18
2018-09-14 21:30:44,-1.0,0.1,10.04,20.11
2018-09-14 21:45:44,-1.0,0.1,10.04,20.69
2018-09-14 22:00:44,-1.0,0.1,10.17,21.12
2018-09-14 22:15:44,-1.0,0.1,9.79,19.48
2018-09-14 22:30:44,-1.0,0.1,9.92,18.29
2018-09-14 22:45:44,-1.0,0.1,9.92,17.83
2018-09-14 23:00:44,-1.0,0.1,10.17,17.83
2018-09-14 23:15:44,-1.0,0.1,9.67,18.08
2018-09-14 23:30:44,-1.0,0.1,10.17,17.88
2018-09-14 23:45:44,-1.0,0.1,10.04,17.53
2018-09-15 00:00:44,-1.0,0.1,10.04,17.32
2018-09-15 00:15:44,-1.0,0.1,10.04,17.27
2018-09-15 00:30:44,-1.0,0.1,10.17,17.48
2018-09-15 00:45:44,-1.0,0.1,9.92,17.93
2018-09-15 01:00:44,-1.0,0.1,10.04,18.08
2018-09-15 01:15:44,-1.0,0.1,9.67,17.93
2018-09-15 01:30:44,-1.0,0.1,10.04,18.19
2018-09-15 01:45:44,-1.0,0.1,9.92,18.74
2018-09-15 02:00:44,-1.0,0.1,10.04,19.77
2018-09-15 02:15:44,-1.0,0.1,9.92,20.01
2018-09-15 02:30:44,-1.0,0.1,9.79,20.11
2018-09-15 02:45:44,-1.0,0.1,9.79,20.35
2018-09-15 03:00:44,-1.0,0.1,10.04,20.55
2018-09-15 03:15:44,-1.0,0.1,9.67,20.98
2018-09-15 03:30:44,-1.0,0.1,9.54,20.74
2018-09-15 03:45:44,-1.0,0.1,10.04,20.16
2018-09-15 04:00:44,-1.0,0.1,10.17,20.35
2018-09-15 04:15:44,-1.0,0.1,9.92,20.5
2018-09-15 04:30:44,-1.0,0.1,9.92,20.59
2018-09-15 04:45:44,-1.0,0.1,9.92,20.64
2018-09-15 05:00:44,-1.0,0.1,9.79,20.26
2018-09-15 05:15:44,-1.0,0.1,9.79,20.06
2018-09-15 05:30:44,-1.0,0.1,9.79,20.35
2018-09-15 05:45:44,-1.0,0.1,9.67,20.3
2018-09-15 06:00:44,-1.0,0.1,10.04,20.55
