capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-14 18:13:52,-1.0,4.93,6.83,22.77
2018-09-14 18:28:52,-1.0,2.24,6.7,21.79
2018-09-14 18:43:52,-1.0,0.55,6.7,20.5
2018-09-14 18:58:52,-1.0,0.1,7.33,19.62
2018-09-14 19:13:52,-1.0,0.1,6.7,19.28
2018-09-14 19:28:52,-1.0,0.1,7.21,18.93
2018-09-14 19:43:52,-1.0,0.1,6.58,18.69
2018-09-14 19:58:52,-1.0,0.1,6.7,18.59
2018-09-14 20:13:52,-1.0,0.1,6.58,18.78
2018-09-14 20:28:52,-1.0,0.1,7.08,19.08
2018-09-14 20:43:52,-1.0,0.1,7.21,18.83
2018-09-14 20:58:52,-1.0,0.1,7.08,18.54
2018-09-14 21:13:52,-1.0,0.1,6.7,18.74
2018-09-14 21:28:52,-1.0,0.1,7.21,19.28
2018-09-14 21:43:52,-1.0,0.1,6.95,19.48
2018-09-14 21:58:52,-1.0,0.1,6.7,19.77
2018-09-14 22:13:52,-1.0,0.1,6.95,18.88
2018-09-14 22:28:52,-1.0,0.1,7.08,18.03
2018-09-14 22:43:52,-1.0,0.1,6.83,17.83
2018-09-14 22:58:52,-1.0,0.1,6.95,17.78
2018-09-14 23:13:52,-1.0,0.1,6.95,18.49
2018-09-14 23:28:52,-1.0,0.1,6.95,18.34
2018-09-14 23:43:52,-1.0,0.1,7.08,18.19
2018-09-14 23:58:52,-1.0,0.1,6.95,17.73
2018-09-15 00:13:52,-1.0,0.1,6.95,17.32
2018-09-15 00:28:52,-1.0,0.1,6.83,17.43
2018-09-15 00:43:52,-1.0,0.1,6.58,17.68
2018-09-15 00:58:52,-1.0,0.1,7.21,18.13
2018-09-15 01:13:52,-1.0,0.1,6.95,18.13
2018-09-15 01:28:52,-1.0,0.1,6.95,18.03
2018-09-15 01:43:52,-1.0,0.1,6.95,19.08
2018-09-15 01:58:52,-1.0,0.1,6.83,19.43
2018-09-15 02:13:52,-1.0,0.1,7.08,19.43
2018-09-15 02:28:52,-1.0,0.1,7.21,19.28
2018-09-15 02:43:52,-1.0,0.1,7.21,19.43
2018-09-15 02:58:52,-1.0,0.1,6.83,19.57
2018-09-15 03:13:52,-1.0,0.1,7.08,20.3
2018-09-15 03:28:52,-1.0,0.1,6.7,19.67
2018-09-15 03:43:52,-1.0,0.1,6.83,19.03
2018-09-15 03:58:52,-1.0,0.1,7.08,19.18
2018-09-15 04:13:52,-1.0,0.1,6.83,19.23
2018-09-15 04:28:52,-1.0,0.1,6.95,19.33
