capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-14 18:21:09,-1.0,3.1,5.63,23.28
2018-09-14 18:36:09,-1.0,1.06,5.63,22.63
2018-09-14 18:51:09,-1.0,0.18,5.27,21.41
2018-09-14 19:06:09,-1.0,0.1,5.51,20.64
2018-09-14 19:21:09,-1.0,0.1,5.63,20.55
2018-09-14 19:36:09,-1.0,0.1,5.51,20.11
2018-09-14 19:51:09,-1.0,0.1,5.88,19.92
2018-09-14 20:06:09,-1.0,0.1,5.63,20.01
2018-09-14 20:21:09,-1.0,0.1,5.51,20.4
2018-09-14 20:36:09,-1.0,0.1,5.27,20.5
2018-09-14 20:51:09,-1.0,0.1,5.63,19.87
2018-09-14 21:06:09,-1.0,0.1,5.63,19.82
2018-09-14 21:21:09,-1.0,0.1,5.39,20.4
2018-09-14 21:36:09,-1.0,0.1,5.39,21.26
2018-09-14 21:51:09,-1.0,0.1,5.51,21.45
2018-09-14 22:06:09,-1.0,0.1,5.51,21.6
2018-09-14 22:21:09,-1.0,0.1,5.27,19.87
2018-09-14 22:36:09,-1.0,0.1,5.51,19.67
2018-09-14 22:51:09,-1.0,0.1,5.27,19.23
2018-09-14 23:06:09,-1.0,0.1,5.63,19.62
2018-09-14 23:21:09,-1.0,0.1,5.51,20.01
2018-09-14 23:36:09,-1.0,0.1,5.27,19.33
2018-09-14 23:51:09,-1.0,0.1,5.39,19.28
2018-09-15 00:06:09,-1.0,0.1,5.27,18.98
2018-09-15 00:21:09,-1.0,0.1,5.27,19.13
2018-09-15 00:36:09,-1.0,0.1,5.27,19.28
2018-09-15 00:51:09,-1.0,0.1,5.39,19.77
2018-09-15 01:06:09,-1.0,0.1,5.63,19.48
2018-09-15 01:21:09,-1.0,0.1,5.15,19.57
2018-09-15 01:36:09,-1.0,0.1,5.27,20.11
2018-09-15 01:51:09,-1.0,0.1,5.63,20.88
2018-09-15 02:06:09,-1.0,0.1,5.51,21.22
2018-09-15 02:21:09,-1.0,0.1,5.63,21.17
2018-09-15 02:36:09,-1.0,0.1,5.51,20.98
2018-09-15 02:51:09,-1.0,0.1,5.76,21.17
2018-09-15 03:06:09,-1.0,0.1,5.51,21.74
2018-09-15 03:21:09,-1.0,0.1,5.76,21.93
2018-09-15 03:36:09,-1.0,0.1,5.27,21.12
2018-09-15 03:51:09,-1.0,0.1,5.51,20.59
2018-09-15 04:06:09,-1.0,0.1,5.63,20.83
2018-09-15 04:21:09,-1.0,0.1,5.27,20.98
2018-09-15 04:36:09,-1.0,0.1,5.27,21.03
2018-09-15 04:51:09,-1.0,0.1,5.15,20.93
2018-09-15 05:06:09,-1.0,0.1,5.15,20.74
2018-09-15 05:21:09,-1.0,0.1,5.15,20.88
2018-09-15 05:36:09,-1.0,0.1,5.39,20.93
2018-09-15 05:51:09,-1.0,0.1,5.51,21.12
2018-09-15 06:06:09,-1.0,0.1,5.51,21.26
