capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-14 18:21:53,-1.0,2.48,12.03,23.37
2018-09-14 18:36:53,-1.0,0.84,11.9,22.4
2018-09-14 18:51:53,-1.0,0.13,12.16,21.12
2018-09-14 19:06:53,-1.0,0.1,11.9,20.45
2018-09-14 19:21:53,-1.0,0.1,12.29,20.26
2018-09-14 19:36:53,-1.0,0.1,12.29,19.87
2018-09-14 19:51:53,-1.0,0.1,12.16,19.77
2018-09-14 20:06:53,-1.0,0.1,12.29,19.77
2018-09-14 20:21:53,-1.0,0.1,11.9,19.96
2018-09-14 20:36:53,-1.0,0.1,12.42,20.01
2018-09-14 20:51:53,-1.0,0.1,12.03,19.38
2018-09-14 21:06:53,-1.0,0.1,12.29,19.48
2018-09-14 21:21:53,-1.0,0.1,12.03,19.92
2018-09-14 21:36:53,-1.0,0.1,12.16,20.74
2018-09-14 21:51:53,-1.0,0.1,12.03,21.03
2018-09-14 22:06:53,-1.0,0.1,11.9,21.12
2018-09-14 22:21:53,-1.0,0.1,12.29,19.53
2018-09-14 22:36:53,-1.0,0.1,11.77,19.43
2018-09-14 22:51:53,-1.0,0.1,12.03,19.13
2018-09-14 23:06:53,-1.0,0.1,12.03,19.38
2018-09-14 23:21:53,-1.0,0.1,12.29,19.33
2018-09-14 23:36:53,-1.0,0.1,12.16,19.13
2018-09-14 23:51:53,-1.0,0.1,12.29,18.74
2018-09-15 00:06:53,-1.0,0.1,12.29,18.69
2018-09-15 00:21:53,-1.0,0.1,11.9,18.93
2018-09-15 00:36:53,-1.0,0.1,11.77,19.03
2018-09-15 00:51:53,-1.0,0.1,11.64,19.33
2018-09-15 01:06:53,-1.0,0.1,11.9,19.28
2018-09-15 01:21:53,-1.0,0.1,11.9,19.28
2018-09-15 01:36:53,-1.0,0.1,12.16,19.77
2018-09-15 01:51:53,-1.0,0.1,12.29,20.26
2018-09-15 02:06:53,-1.0,0.1,12.29,20.4
2018-09-15 02:21:53,-1.0,0.1,12.16,20.55
2018-09-15 02:36:53,-1.0,0.1,11.9,20.4
2018-09-15 02:51:53,-1.0,0.1,12.03,20.5
2018-09-15 03:06:53,-1.0,0.1,12.16,21.12
2018-09-15 03:21:53,-1.0,0.1,11.9,21.26
2018-09-15 03:36:53,-1.0,0.1,12.16,20.35
2018-09-15 03:51:53,-1.0,0.1,12.16,20.11
2018-09-15 04:06:53,-1.0,0.1,12.03,20.35
2018-09-15 04:21:53,-1.0,0.1,12.16,20.5
2018-09-15 04:36:53,-1.0,0.1,11.77,20.5
2018-09-15 04:51:53,-1.0,0.1,12.03,20.4
2018-09-15 05:06:53,-1.0,0.1,12.03,20.3
2018-09-15 05:21:53,-1.0,0.1,12.16,20.45
2018-09-15 05:36:53,-1.0,0.1,12.03,20.55
2018-09-15 05:51:53,-1.0,0.1,12.16,20.59
2018-09-15 06:06:53,-1.0,0.1,11.77,20.69
2018-09-15 06:21:53,-1.0,0.29,11.77,20.79
2018-09-15 06:36:53,-1.0,0.92,11.9,20.64
2018-09-15 06:51:53,-1.0,2.01,12.03,21.45
2018-09-15 07:06:53,-1.0,2.23,12.29,21.74
2018-09-15 07:21:53,-1.0,7.2,11.9,22.86
2018-09-15 07:36:53,-1.0,8.09,12.29,23.83
2018-09-15 07:51:53,-1.0,8.44,11.77,23.6
2018-09-15 08:06:53,-1.0,11.28,12.29,24.43
2018-09-15 08:21:53,-1.0,11.78,11.77,25.2
2018-09-15 08:36:53,-1.0,16.84,12.29,26.24
2018-09-15 08:51:53,-1.0,15.47,12.16,26.95
2018-09-15 09:06:53,-1.0,24.61,11.9,28.55
2018-09-15 09:21:53,-1.0,25.62,11.9,29.57
2018-09-15 09:36:53,-1.0,24.43,12.03,29.88
2018-09-15 09:51:53,-1.0,26.79,11.77,30.76
2018-09-15 10:06:53,-1.0,44.47,12.03,33.42
2018-09-15 10:21:53,-1.0,45.45,11.9,34.54
2018-09-15 10:36:53,-1.0,45.65,12.03,35.59
2018-09-15 10:51:53,-1.0,53.17,12.16,36.64
2018-09-15 11:06:53,-1.0,134.99,11.77,43.9
2018-09-15 11:21:53,-1.0,131.74,12.16,43.75
2018-09-15 11:36:53,-1.0,130.17,12.29,40.48
2018-09-15 11:51:53,-1.0,78.14,12.29,38.98
2018-09-15 12:06:53,-1.0,46.27,12.29,39.03
2018-09-15 12:21:53,-1.0,134.99,12.42,42.21
2018-09-15 12:36:53,-1.0,39.8,12.03,40.14
2018-09-15 12:51:53,-1.0,80.51,12.03,40.77
2018-09-15 13:06:53,-1.0,130.17,12.29,42.87
2018-09-15 13:21:53,-1.0,112.64,12.55,44.53
2018-09-15 13:36:53,-1.0,124.24,12.42,45.06
2018-09-15 13:51:53,-1.0,121.46,12.03,41.91
2018-09-15 14:06:53,-1.0,103.97,12.42,43.96
2018-09-15 14:21:53,-1.0,100.11,12.42,41.61
2018-09-15 14:36:53,-1.0,102.98,12.42,43.64
2018-09-15 14:51:53,-1.0,67.63,12.42,40.18
2018-09-15 15:06:53,-1.0,89.27,12.55,39.51
2018-09-15 15:21:53,-1.0,47.99,12.42,39.75
2018-09-15 15:36:53,-1.0,54.57,12.55,38.65
2018-09-15 15:51:53,-1.0,19.62,12.16,36.92
2018-09-15 16:06:53,-1.0,14.83,12.55,35.31
2018-09-15 16:21:53,-1.0,14.87,12.68,34.82
2018-09-15 16:36:53,-1.0,13.93,12.42,32.71
2018-09-15 16:51:53,-1.0,12.67,12.16,31.29
2018-09-15 17:06:53,-1.0,11.93,12.55,30.89
2018-09-15 17:21:53,-1.0,9.37,12.29,29.53
2018-09-15 17:36:53,-1.0,7.57,12.42,28.11
2018-09-15 17:51:53,-1.0,5.95,12.55,26.64
2018-09-15 18:06:53,-1.0,4.17,12.29,24.98
2018-09-15 18:21:53,-1.0,2.34,12.29,23.7
2018-09-15 18:36:53,-1.0,0.78,12.42,22.72
2018-09-15 18:51:53,-1.0,0.1,12.16,22.3
2018-09-15 19:06:53,-1.0,0.1,12.03,21.93
2018-09-15 19:21:53,-1.0,0.1,12.29,22.02
2018-09-15 19:36:53,-1.0,0.1,12.03,21.88
2018-09-15 19:51:53,-1.0,0.1,11.9,21.88
2018-09-15 20:06:53,-1.0,0.1,12.16,22.26
2018-09-15 20:21:53,-1.0,0.1,12.42,21.83
2018-09-15 20:36:53,-1.0,0.1,11.9,21.93
2018-09-15 20:51:53,-1.0,0.1,12.29,21.83
2018-09-15 21:06:53,-1.0,0.1,12.42,21.45
2018-09-15 21:21:53,-1.0,0.1,12.16,20.93
2018-09-15 21:36:53,-1.0,0.1,11.9,20.64
2018-09-15 21:51:53,-1.0,0.1,12.16,20.45
2018-09-15 22:06:53,-1.0,0.1,12.16,20.45
2018-09-15 22:21:53,-1.0,0.1,11.9,20.16
2018-09-15 22:36:53,-1.0,0.1,12.16,20.06
2018-09-15 22:51:53,-1.0,0.1,12.03,19.77
2018-09-15 23:06:53,-1.0,0.1,12.03,19.48
2018-09-15 23:21:53,-1.0,0.1,11.77,19.38
2018-09-15 23:36:53,-1.0,0.1,12.16,19.48
2018-09-15 23:51:53,-1.0,0.1,12.03,19.48
2018-09-16 00:06:53,-1.0,0.1,12.29,19.38
2018-09-16 00:21:53,-1.0,0.1,12.16,19.77
2018-09-16 00:36:53,-1.0,0.1,12.03,18.98
2018-09-16 00:51:53,-1.0,0.1,12.03,17.73
2018-09-16 01:06:53,-1.0,0.1,12.16,17.83
2018-09-16 01:21:53,-1.0,0.1,12.03,17.88
2018-09-16 01:36:53,-1.0,0.1,12.29,17.73
2018-09-16 01:51:53,-1.0,0.1,11.9,17.88
2018-09-16 02:06:53,-1.0,0.1,12.03,17.68
2018-09-16 02:21:53,-1.0,0.1,12.03,18.03
2018-09-16 02:36:53,-1.0,0.1,12.16,17.98
2018-09-16 02:51:53,-1.0,0.1,12.16,17.78
2018-09-16 03:06:53,-1.0,0.1,12.29,17.73
2018-09-16 03:21:53,-1.0,0.1,11.77,17.43
2018-09-16 03:36:53,-1.0,0.1,12.03,17.53
2018-09-16 03:51:53,-1.0,0.1,12.16,17.53
2018-09-16 04:06:53,-1.0,0.1,12.29,17.22
2018-09-16 04:21:53,-1.0,0.1,12.29,16.91
2018-09-16 04:36:53,-1.0,0.1,11.64,17.32
2018-09-16 04:51:53,-1.0,0.1,11.9,17.12
2018-09-16 05:06:53,-1.0,0.1,11.77,16.97
2018-09-16 05:21:53,-1.0,0.1,12.03,16.81
2018-09-16 05:36:53,-1.0,0.1,11.64,16.71
2018-09-16 05:51:53,-1.0,0.1,12.03,16.97
2018-09-16 06:06:53,-1.0,0.1,11.9,17.43
2018-09-16 06:21:53,-1.0,0.84,11.77,17.83
2018-09-16 06:36:53,-1.0,2.46,12.03,18.54
2018-09-16 06:51:53,-1.0,4.66,12.16,19.48
2018-09-16 07:06:53,-1.0,10.19,11.77,21.6
2018-09-16 07:21:53,-1.0,9.32,12.03,23.51
2018-09-16 07:36:53,-1.0,10.55,12.03,23.56
2018-09-16 07:51:53,-1.0,20.82,11.9,25.79
2018-09-16 08:06:53,-1.0,37.32,11.77,28.73
2018-09-16 08:21:53,-1.0,22.69,12.03,30.81
2018-09-16 08:36:53,-1.0,19.04,11.77,30.45
2018-09-16 08:51:53,-1.0,52.9,12.16,34.45
2018-09-16 09:06:53,-1.0,50.09,12.16,36.27
2018-09-16 09:21:53,-1.0,39.04,11.77,35.63
2018-09-16 09:36:53,-1.0,40.92,12.16,34.54
2018-09-16 09:51:53,-1.0,89.27,11.77,34.82
2018-09-16 10:06:53,-1.0,24.07,11.9,32.09
2018-09-16 10:21:53,-1.0,25.49,11.9,31.47
2018-09-16 10:36:53,-1.0,110.35,11.77,37.15
2018-09-16 10:51:53,-1.0,115.03,11.9,39.99
2018-09-16 11:06:53,-1.0,102.0,11.9,40.82
2018-09-16 11:21:53,-1.0,124.24,12.03,40.77
2018-09-16 11:36:53,-1.0,122.84,12.16,39.46
2018-09-16 11:51:53,-1.0,77.0,12.16,37.33
2018-09-16 12:06:53,-1.0,46.06,12.29,36.78
2018-09-16 12:21:53,-1.0,117.52,11.9,39.17
2018-09-16 12:36:53,-1.0,43.9,12.16,38.04
2018-09-16 12:51:53,-1.0,72.27,12.29,37.94
2018-09-16 13:06:53,-1.0,124.24,11.9,40.14
2018-09-16 13:21:53,-1.0,86.38,12.29,41.86
2018-09-16 13:36:53,-1.0,113.82,12.16,43.9
2018-09-16 13:51:53,-1.0,116.27,12.55,43.64
2018-09-16 14:06:53,-1.0,109.23,12.55,45.6
2018-09-16 14:21:53,-1.0,110.35,12.42,47.97
2018-09-16 14:36:53,-1.0,102.98,12.55,45.01
2018-09-16 14:51:53,-1.0,61.31,12.16,41.31
2018-09-16 15:06:53,-1.0,89.27,12.16,39.56
2018-09-16 15:21:53,-1.0,39.34,12.29,37.15
2018-09-16 15:36:53,-1.0,26.44,12.16,35.54
2018-09-16 15:51:53,-1.0,14.9,12.42,33.87
2018-09-16 16:06:53,-1.0,14.32,12.68,32.49
2018-09-16 16:21:53,-1.0,14.49,12.42,33.16
2018-09-16 16:36:53,-1.0,16.67,12.68,32.36
2018-09-16 16:51:53,-1.0,18.54,12.29,32.4
2018-09-16 17:06:53,-1.0,16.01,12.16,32.22
2018-09-16 17:21:53,-1.0,13.29,12.42,31.07
2018-09-16 17:36:53,-1.0,10.74,12.42,30.32
2018-09-16 17:51:53,-1.0,7.64,12.16,28.86
2018-09-16 18:06:53,-1.0,6.33,12.29,27.71
2018-09-16 18:21:53,-1.0,3.71,12.29,27.27
2018-09-16 18:36:53,-1.0,1.18,12.42,26.28
2018-09-16 18:51:53,-1.0,0.1,12.42,25.47
