capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-14 18:21:29,-1.0,1.51,10.77,22.63
2018-09-14 18:36:29,-1.0,0.55,10.89,22.12
2018-09-14 18:51:29,-1.0,0.1,10.52,21.22
2018-09-14 19:06:29,-1.0,0.1,10.52,20.69
2018-09-14 19:21:29,-1.0,0.1,10.27,20.35
2018-09-14 19:36:29,-1.0,0.1,10.52,19.96
2018-09-14 19:51:29,-1.0,0.1,10.89,19.67
2018-09-14 20:06:29,-1.0,0.1,10.64,19.82
2018-09-14 20:21:29,-1.0,0.1,10.64,20.01
2018-09-14 20:36:29,-1.0,0.1,10.64,20.06
2018-09-14 20:51:29,-1.0,0.1,10.89,19.67
2018-09-14 21:06:29,-1.0,0.1,10.77,19.48
2018-09-14 21:21:29,-1.0,0.1,10.89,19.82
2018-09-14 21:36:29,-1.0,0.1,10.89,20.35
2018-09-14 21:51:29,-1.0,0.1,10.39,20.59
2018-09-14 22:06:29,-1.0,0.1,10.27,20.74
2018-09-14 22:21:29,-1.0,0.1,10.64,19.53
2018-09-14 22:36:29,-1.0,0.1,10.27,19.08
2018-09-14 22:51:29,-1.0,0.1,10.39,18.98
2018-09-14 23:06:29,-1.0,0.1,10.64,19.33
2018-09-14 23:21:29,-1.0,0.1,10.39,19.33
2018-09-14 23:36:29,-1.0,0.1,10.64,19.13
2018-09-14 23:51:29,-1.0,0.1,10.64,18.88
2018-09-15 00:06:29,-1.0,0.1,10.39,18.88
2018-09-15 00:21:29,-1.0,0.1,10.77,19.03
2018-09-15 00:36:29,-1.0,0.1,10.89,19.08
2018-09-15 00:51:29,-1.0,0.1,10.64,19.48
2018-09-15 01:06:29,-1.0,0.1,10.52,19.23
2018-09-15 01:21:29,-1.0,0.1,10.52,19.18
2018-09-15 01:36:29,-1.0,0.1,10.52,19.28
2018-09-15 01:51:29,-1.0,0.1,10.27,19.62
2018-09-15 02:06:29,-1.0,0.1,10.52,20.11
2018-09-15 02:21:29,-1.0,0.1,10.77,20.16
2018-09-15 02:36:29,-1.0,0.1,10.39,20.16
2018-09-15 02:51:29,-1.0,0.1,10.27,20.3
2018-09-15 03:06:29,-1.0,0.1,10.27,20.83
2018-09-15 03:21:29,-1.0,0.1,10.64,20.98
2018-09-15 03:36:29,-1.0,0.1,10.64,20.35
2018-09-15 03:51:29,-1.0,0.1,10.77,19.92
2018-09-15 04:06:29,-1.0,0.1,10.39,20.26
2018-09-15 04:21:29,-1.0,0.1,10.77,20.4
2018-09-15 04:36:29,-1.0,0.1,10.64,20.35
2018-09-15 04:51:29,-1.0,0.1,10.52,20.21
2018-09-15 05:06:29,-1.0,0.1,10.52,20.06
2018-09-15 05:21:29,-1.0,0.1,10.27,20.11
2018-09-15 05:36:29,-1.0,0.1,10.52,20.11
2018-09-15 05:51:29,-1.0,0.1,10.64,20.3
2018-09-15 06:06:29,-1.0,0.1,10.77,20.55
2018-09-15 06:21:29,-1.0,0.2,10.39,20.59
2018-09-15 06:36:29,-1.0,0.64,10.39,20.4
2018-09-15 06:51:29,-1.0,1.28,10.64,20.83
2018-09-15 07:06:29,-1.0,1.51,10.52,21.22
2018-09-15 07:21:29,-1.0,5.02,10.52,22.07
2018-09-15 07:36:29,-1.0,5.69,10.52,22.91
2018-09-15 07:51:29,-1.0,5.86,10.52,22.68
2018-09-15 08:06:29,-1.0,8.64,10.77,23.93
2018-09-15 08:21:29,-1.0,7.83,10.14,24.43
2018-09-15 08:36:29,-1.0,11.46,10.77,25.47
2018-09-15 08:51:29,-1.0,10.68,10.64,26.42
2018-09-15 09:06:29,-1.0,18.15,10.89,27.76
2018-09-15 09:21:29,-1.0,19.18,10.64,28.82
2018-09-15 09:36:29,-1.0,17.4,10.39,29.04
2018-09-15 09:51:29,-1.0,19.32,10.64,29.88
2018-09-15 10:06:29,-1.0,33.52,10.39,32.0
2018-09-15 10:21:29,-1.0,38.54,10.52,34.45
2018-09-15 10:36:29,-1.0,33.52,10.52,34.01
2018-09-15 10:51:29,-1.0,39.26,10.77,34.64
2018-09-15 11:06:29,-1.0,97.77,10.77,45.17
2018-09-15 11:21:29,-1.0,77.3,10.52,45.06
2018-09-15 11:36:29,-1.0,69.91,10.77,44.96
2018-09-15 11:51:29,-1.0,80.11,10.64,46.36
2018-09-15 12:06:29,-1.0,76.23,10.77,46.25
2018-09-15 12:21:29,-1.0,81.89,10.64,48.77
2018-09-15 12:36:29,-1.0,76.76,11.02,48.09
2018-09-15 12:51:29,-1.0,87.05,10.64,48.6
2018-09-15 13:06:29,-1.0,87.74,10.77,48.49
