capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-14 18:18:33,-1.0,1.38,9.52,23.24
2018-09-14 18:33:33,-1.0,0.54,9.39,22.68
2018-09-14 18:48:33,-1.0,0.1,9.52,21.64
2018-09-14 19:03:33,-1.0,0.1,9.64,20.93
2018-09-14 19:18:33,-1.0,0.1,9.39,20.55
2018-09-14 19:33:33,-1.0,0.1,9.77,20.3
2018-09-14 19:48:33,-1.0,0.1,9.52,20.06
2018-09-14 20:03:33,-1.0,0.1,9.27,19.96
2018-09-14 20:18:33,-1.0,0.1,9.52,20.16
2018-09-14 20:33:33,-1.0,0.1,9.77,20.45
2018-09-14 20:48:33,-1.0,0.1,9.77,20.16
2018-09-14 21:03:33,-1.0,0.1,9.89,20.06
2018-09-14 21:18:33,-1.0,0.1,9.64,20.26
2018-09-14 21:33:33,-1.0,0.1,9.64,20.79
2018-09-14 21:48:33,-1.0,0.1,9.64,20.88
2018-09-14 22:03:33,-1.0,0.1,9.52,21.03
2018-09-14 22:18:33,-1.0,0.1,9.77,20.16
2018-09-14 22:33:33,-1.0,0.1,9.77,19.77
2018-09-14 22:48:33,-1.0,0.1,9.64,19.53
2018-09-14 23:03:33,-1.0,0.1,9.64,19.48
2018-09-14 23:18:33,-1.0,0.1,9.39,19.48
2018-09-14 23:33:33,-1.0,0.1,9.52,19.33
2018-09-14 23:48:33,-1.0,0.1,9.52,19.08
2018-09-15 00:03:33,-1.0,0.1,9.39,18.83
2018-09-15 00:18:33,-1.0,0.1,9.52,18.83
2018-09-15 00:33:33,-1.0,0.1,9.52,18.83
2018-09-15 00:48:33,-1.0,0.1,9.64,19.03
2018-09-15 01:03:33,-1.0,0.1,9.27,19.43
2018-09-15 01:18:33,-1.0,0.1,9.14,19.23
2018-09-15 01:33:33,-1.0,0.1,9.52,19.33
2018-09-15 01:48:33,-1.0,0.1,9.64,20.06
2018-09-15 02:03:33,-1.0,0.1,9.64,20.64
2018-09-15 02:18:33,-1.0,0.1,9.27,20.74
2018-09-15 02:33:33,-1.0,0.1,9.27,20.59
2018-09-15 02:48:33,-1.0,0.1,9.64,20.83
2018-09-15 03:03:33,-1.0,0.1,9.64,20.98
2018-09-15 03:18:33,-1.0,0.1,9.14,21.22
2018-09-15 03:33:33,-1.0,0.1,9.64,20.55
2018-09-15 03:48:33,-1.0,0.1,9.64,19.96
2018-09-15 04:03:33,-1.0,0.1,9.52,20.3
2018-09-15 04:18:33,-1.0,0.1,9.52,20.4
2018-09-15 04:33:33,-1.0,0.1,9.39,20.5
2018-09-15 04:48:33,-1.0,0.1,9.77,20.55
2018-09-15 05:03:33,-1.0,0.1,9.27,20.35
2018-09-15 05:18:33,-1.0,0.1,9.64,20.21
2018-09-15 05:33:33,-1.0,0.1,9.64,20.35
2018-09-15 05:48:33,-1.0,0.1,9.52,20.4
2018-09-15 06:03:33,-1.0,0.1,9.77,20.69
2018-09-15 06:18:33,-1.0,0.1,9.52,20.93
2018-09-15 06:33:33,-1.0,0.43,9.27,20.69
2018-09-15 06:48:33,-1.0,1.11,9.27,21.03
2018-09-15 07:03:33,-1.0,0.91,9.77,21.12
2018-09-15 07:18:33,-1.0,2.96,9.27,21.6
2018-09-15 07:33:33,-1.0,4.1,9.52,22.54
2018-09-15 07:48:33,-1.0,3.23,9.64,22.35
2018-09-15 08:03:33,-1.0,5.27,9.14,22.72
2018-09-15 08:18:33,-1.0,5.82,9.14,23.74
2018-09-15 08:33:33,-1.0,8.75,9.64,24.61
2018-09-15 08:48:33,-1.0,8.31,9.39,25.43
2018-09-15 09:03:33,-1.0,13.49,9.39,26.01
2018-09-15 09:18:33,-1.0,14.31,9.64,27.18
2018-09-15 09:33:33,-1.0,13.53,9.39,27.53
2018-09-15 09:48:33,-1.0,15.57,9.77,28.24
2018-09-15 10:03:33,-1.0,20.2,9.39,29.08
2018-09-15 10:18:33,-1.0,21.78,9.77,30.67
2018-09-15 10:33:33,-1.0,24.84,9.77,31.29
2018-09-15 10:48:33,-1.0,25.08,9.39,32.13
2018-09-15 11:03:33,-1.0,14.71,9.39,32.58
2018-09-15 11:18:33,-1.0,8.57,9.52,30.67
2018-09-15 11:33:33,-1.0,8.76,9.64,29.7
2018-09-15 11:48:33,-1.0,8.9,9.52,30.41
2018-09-15 12:03:33,-1.0,9.02,9.52,31.03
2018-09-15 12:18:33,-1.0,24.61,9.64,32.4
2018-09-15 12:33:33,-1.0,35.21,9.64,35.5
2018-09-15 12:48:33,-1.0,29.04,9.77,38.84
2018-09-15 13:03:33,-1.0,91.85,9.27,41.96
2018-09-15 13:18:33,-1.0,94.94,9.52,44.9
2018-09-15 13:33:33,-1.0,13.96,9.64,40.48
2018-09-15 13:48:33,-1.0,12.82,9.64,37.85
2018-09-15 14:03:33,-1.0,13.33,9.52,39.65
2018-09-15 14:18:33,-1.0,12.14,9.89,38.13
2018-09-15 14:33:33,-1.0,36.41,9.89,42.67
2018-09-15 14:48:33,-1.0,14.71,9.77,40.33
2018-09-15 15:03:33,-1.0,42.81,9.77,42.01
2018-09-15 15:18:33,-1.0,49.46,9.64,42.92
2018-09-15 15:33:33,-1.0,22.05,9.77,37.47
2018-09-15 15:48:33,-1.0,14.58,9.89,36.64
2018-09-15 16:03:33,-1.0,8.88,9.52,34.05
2018-09-15 16:18:33,-1.0,7.43,9.77,33.02
2018-09-15 16:33:33,-1.0,7.32,9.89,32.22
2018-09-15 16:48:33,-1.0,6.73,9.77,31.29
2018-09-15 17:03:33,-1.0,5.62,9.77,30.5
2018-09-15 17:18:33,-1.0,4.69,9.89,29.57
2018-09-15 17:33:33,-1.0,3.94,9.64,28.55
