capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-14 18:19:38,-1.0,2.78,14.32,24.52
2018-09-14 18:34:38,-1.0,1.03,14.19,23.1
2018-09-14 18:49:38,-1.0,0.18,14.19,21.88
2018-09-14 19:04:38,-1.0,0.1,14.07,21.12
2018-09-14 19:19:38,-1.0,0.1,14.32,20.93
2018-09-14 19:34:38,-1.0,0.1,13.56,20.59
2018-09-14 19:49:38,-1.0,0.1,14.19,20.4
2018-09-14 20:04:38,-1.0,0.1,14.07,20.4
2018-09-14 20:19:38,-1.0,0.1,14.07,20.79
2018-09-14 20:34:38,-1.0,0.1,13.69,20.98
2018-09-14 20:49:38,-1.0,0.1,14.19,20.35
2018-09-14 21:04:38,-1.0,0.1,14.07,20.26
2018-09-14 21:19:38,-1.0,0.1,13.82,20.69
2018-09-14 21:34:38,-1.0,0.1,13.69,21.55
2018-09-14 21:49:38,-1.0,0.1,13.94,21.74
2018-09-14 22:04:38,-1.0,0.1,13.94,21.93
2018-09-14 22:19:38,-1.0,0.1,14.07,20.21
2018-09-14 22:34:38,-1.0,0.1,13.69,19.53
2018-09-14 22:49:38,-1.0,0.1,13.94,19.23
2018-09-14 23:04:38,-1.0,0.1,13.69,19.53
2018-09-14 23:19:38,-1.0,0.1,13.69,19.57
2018-09-14 23:34:38,-1.0,0.1,13.94,19.33
2018-09-14 23:49:38,-1.0,0.1,13.69,18.98
2018-09-15 00:04:38,-1.0,0.1,14.07,18.49
2018-09-15 00:19:38,-1.0,0.1,13.82,18.59
2018-09-15 00:34:38,-1.0,0.1,13.94,18.69
2018-09-15 00:49:38,-1.0,0.1,13.82,19.08
2018-09-15 01:04:38,-1.0,0.1,13.82,19.18
2018-09-15 01:19:38,-1.0,0.1,13.69,19.23
2018-09-15 01:34:38,-1.0,0.1,14.07,19.53
2018-09-15 01:49:38,-1.0,0.1,13.44,20.69
2018-09-15 02:04:38,-1.0,0.1,14.07,21.22
2018-09-15 02:19:38,-1.0,0.1,13.94,21.31
2018-09-15 02:34:38,-1.0,0.1,13.69,21.12
2018-09-15 02:49:38,-1.0,0.1,13.44,21.36
2018-09-15 03:04:38,-1.0,0.1,13.69,21.69
2018-09-15 03:19:38,-1.0,0.1,13.94,22.12
2018-09-15 03:34:38,-1.0,0.1,13.94,21.17
2018-09-15 03:49:38,-1.0,0.1,14.07,20.59
2018-09-15 04:04:38,-1.0,0.1,13.69,20.93
2018-09-15 04:19:38,-1.0,0.1,13.82,21.17
2018-09-15 04:34:38,-1.0,0.1,13.94,21.17
2018-09-15 04:49:38,-1.0,0.1,13.94,21.17
2018-09-15 05:04:38,-1.0,0.1,13.82,20.93
2018-09-15 05:19:38,-1.0,0.1,13.82,20.88
2018-09-15 05:34:38,-1.0,0.1,13.31,20.98
2018-09-15 05:49:38,-1.0,0.1,13.94,21.03
2018-09-15 06:04:38,-1.0,0.1,13.31,21.26
2018-09-15 06:19:38,-1.0,0.21,13.44,21.6
