capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-14 18:11:24,-1.0,3.32,13.35,24.02
2018-09-14 18:26:24,-1.0,1.68,13.73,23.19
2018-09-14 18:41:24,-1.0,0.48,13.35,22.21
2018-09-14 18:56:24,-1.0,0.1,13.86,21.31
2018-09-14 19:11:24,-1.0,0.1,13.6,20.74
2018-09-14 19:26:24,-1.0,0.1,13.73,20.5
2018-09-14 19:41:24,-1.0,0.1,13.6,20.21
2018-09-14 19:56:24,-1.0,0.1,13.22,20.01
2018-09-14 20:11:24,-1.0,0.1,13.6,20.26
2018-09-14 20:26:24,-1.0,0.1,13.6,20.74
2018-09-14 20:41:24,-1.0,0.1,13.22,20.5
2018-09-14 20:56:24,-1.0,0.1,13.6,19.82
2018-09-14 21:11:24,-1.0,0.1,13.73,19.77
2018-09-14 21:26:24,-1.0,0.1,13.6,20.83
2018-09-14 21:41:24,-1.0,0.1,13.35,21.41
2018-09-14 21:56:24,-1.0,0.1,12.97,21.6
2018-09-14 22:11:24,-1.0,0.1,13.6,21.17
2018-09-14 22:26:24,-1.0,0.1,13.22,20.01
2018-09-14 22:41:24,-1.0,0.1,13.35,19.96
2018-09-14 22:56:24,-1.0,0.1,13.48,19.92
2018-09-14 23:11:24,-1.0,0.1,13.6,20.21
2018-09-14 23:26:24,-1.0,0.1,13.22,20.3
2018-09-14 23:41:24,-1.0,0.1,13.48,20.11
2018-09-14 23:56:24,-1.0,0.1,12.97,19.67
2018-09-15 00:11:24,-1.0,0.1,13.1,19.53
2018-09-15 00:26:24,-1.0,0.1,13.6,19.96
2018-09-15 00:41:24,-1.0,0.1,13.1,19.96
2018-09-15 00:56:24,-1.0,0.1,12.97,20.3
2018-09-15 01:11:24,-1.0,0.1,13.22,20.06
2018-09-15 01:26:24,-1.0,0.1,13.1,20.01
2018-09-15 01:41:24,-1.0,0.1,13.6,20.4
2018-09-15 01:56:24,-1.0,0.1,12.97,20.59
2018-09-15 02:11:24,-1.0,0.1,13.35,20.83
2018-09-15 02:26:24,-1.0,0.1,13.22,21.17
2018-09-15 02:41:24,-1.0,0.1,13.1,20.93
2018-09-15 02:56:24,-1.0,0.1,13.48,20.93
2018-09-15 03:11:24,-1.0,0.1,13.35,21.36
2018-09-15 03:26:24,-1.0,0.1,13.22,21.26
2018-09-15 03:41:24,-1.0,0.1,12.97,20.79
2018-09-15 03:56:24,-1.0,0.1,13.22,20.5
2018-09-15 04:11:24,-1.0,0.1,13.48,20.74
2018-09-15 04:26:24,-1.0,0.1,13.1,20.83
2018-09-15 04:41:24,-1.0,0.1,13.35,20.83
2018-09-15 04:56:24,-1.0,0.1,13.1,20.69
2018-09-15 05:11:24,-1.0,0.1,13.22,20.64
2018-09-15 05:26:24,-1.0,0.1,12.84,20.69
2018-09-15 05:41:24,-1.0,0.1,13.22,20.69
2018-09-15 05:56:24,-1.0,0.1,13.22,20.79
2018-09-15 06:11:24,-1.0,0.1,13.22,21.03
2018-09-15 06:26:24,-1.0,0.39,12.84,21.12
2018-09-15 06:41:24,-1.0,1.18,13.35,21.26
2018-09-15 06:56:24,-1.0,1.88,13.22,21.83
2018-09-15 07:11:24,-1.0,2.57,12.97,22.07
2018-09-15 07:26:24,-1.0,8.39,13.22,23.93
2018-09-15 07:41:24,-1.0,7.07,13.22,24.52
2018-09-15 07:56:24,-1.0,8.71,13.35,24.57
2018-09-15 08:11:24,-1.0,10.29,13.35,25.38
2018-09-15 08:26:24,-1.0,13.52,13.35,25.56
2018-09-15 08:41:24,-1.0,17.75,13.22,26.91
2018-09-15 08:56:24,-1.0,16.02,13.1,26.95
2018-09-15 09:11:24,-1.0,22.74,13.35,28.69
2018-09-15 09:26:24,-1.0,23.57,13.1,30.14
2018-09-15 09:41:24,-1.0,25.75,13.1,30.45
2018-09-15 09:56:24,-1.0,28.28,13.1,30.94
2018-09-15 10:11:24,-1.0,123.05,13.48,36.82
2018-09-15 10:26:24,-1.0,42.8,13.35,36.92
2018-09-15 10:41:24,-1.0,46.13,13.6,36.23
2018-09-15 10:56:24,-1.0,68.88,13.48,38.18
2018-09-15 11:11:24,-1.0,120.28,13.6,52.8
2018-09-15 11:26:24,-1.0,88.9,13.6,50.0
2018-09-15 11:41:24,-1.0,109.16,13.6,51.02
2018-09-15 11:56:24,-1.0,97.12,13.73,51.14
2018-09-15 12:11:24,-1.0,110.3,13.73,53.05
2018-09-15 12:26:24,-1.0,98.94,13.73,52.86
2018-09-15 12:41:24,-1.0,118.94,13.86,49.7
2018-09-15 12:56:24,-1.0,68.88,13.98,52.36
2018-09-15 13:11:24,-1.0,125.96,13.6,53.43
2018-09-15 13:26:24,-1.0,111.46,13.86,50.41
2018-09-15 13:41:24,-1.0,116.34,13.86,49.0
2018-09-15 13:56:24,-1.0,101.81,13.86,46.85
2018-09-15 14:11:24,-1.0,100.84,14.24,45.01
2018-09-15 14:26:24,-1.0,100.84,14.24,43.54
2018-09-15 14:41:24,-1.0,96.23,13.86,45.55
2018-09-15 14:56:24,-1.0,92.83,14.24,44.9
2018-09-15 15:11:24,-1.0,87.41,13.98,44.74
2018-09-15 15:26:24,-1.0,81.29,14.11,48.32
2018-09-15 15:41:24,-1.0,75.4,14.11,47.8
2018-09-15 15:56:24,-1.0,62.98,14.24,44.37
2018-09-15 16:11:24,-1.0,26.45,14.24,42.47
2018-09-15 16:26:24,-1.0,31.65,14.11,40.67
