capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-14 18:12:50,-1.0,5.28,11.68,26.06
2018-09-14 18:27:50,-1.0,2.2,11.43,23.42
2018-09-14 18:42:50,-1.0,0.57,11.43,21.74
2018-09-14 18:57:50,-1.0,0.1,11.43,20.69
2018-09-14 19:12:50,-1.0,0.1,11.55,20.11
2018-09-14 19:27:50,-1.0,0.1,11.3,19.87
2018-09-14 19:42:50,-1.0,0.1,11.68,19.57
2018-09-14 19:57:50,-1.0,0.1,11.3,19.48
2018-09-14 20:12:50,-1.0,0.1,11.68,19.82
2018-09-14 20:27:50,-1.0,0.1,11.8,20.21
2018-09-14 20:42:50,-1.0,0.1,11.43,19.82
2018-09-14 20:57:50,-1.0,0.1,11.68,19.62
2018-09-14 21:12:50,-1.0,0.1,11.8,19.82
2018-09-14 21:27:50,-1.0,0.1,11.43,20.35
2018-09-14 21:42:50,-1.0,0.1,11.3,20.74
2018-09-14 21:57:50,-1.0,0.1,11.68,21.26
2018-09-14 22:12:50,-1.0,0.1,11.43,20.45
2018-09-14 22:27:50,-1.0,0.1,11.3,19.38
2018-09-14 22:42:50,-1.0,0.1,11.3,18.93
2018-09-14 22:57:50,-1.0,0.1,11.3,18.98
2018-09-14 23:12:50,-1.0,0.1,11.17,19.62
2018-09-14 23:27:50,-1.0,0.1,11.17,19.28
2018-09-14 23:42:50,-1.0,0.1,11.55,18.78
2018-09-14 23:57:50,-1.0,0.1,11.17,19.13
2018-09-15 00:12:50,-1.0,0.1,11.43,18.59
2018-09-15 00:27:50,-1.0,0.1,11.68,18.88
2018-09-15 00:42:50,-1.0,0.1,11.68,19.38
2018-09-15 00:57:50,-1.0,0.1,11.68,19.33
2018-09-15 01:12:50,-1.0,0.1,11.17,19.23
2018-09-15 01:27:50,-1.0,0.1,11.17,19.87
2018-09-15 01:42:50,-1.0,0.1,11.3,20.35
2018-09-15 01:57:50,-1.0,0.1,11.3,20.74
2018-09-15 02:12:50,-1.0,0.1,11.3,20.64
2018-09-15 02:27:50,-1.0,0.1,11.17,20.5
2018-09-15 02:42:50,-1.0,0.1,11.55,20.79
2018-09-15 02:57:50,-1.0,0.1,11.17,21.07
2018-09-15 03:12:50,-1.0,0.1,11.17,21.55
2018-09-15 03:27:50,-1.0,0.1,11.68,20.93
2018-09-15 03:42:50,-1.0,0.1,11.43,20.11
2018-09-15 03:57:50,-1.0,0.1,11.3,20.35
2018-09-15 04:12:50,-1.0,0.1,11.3,20.4
2018-09-15 04:27:50,-1.0,0.1,11.55,20.5
