capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-14 18:16:52,-1.0,2.35,12.91,24.38
2018-09-14 18:31:52,-1.0,1.0,12.65,23.65
2018-09-14 18:46:52,-1.0,0.21,12.12,22.4
2018-09-14 19:01:52,-1.0,0.1,12.52,21.6
2018-09-14 19:16:52,-1.0,0.1,12.65,21.22
2018-09-14 19:31:52,-1.0,0.1,12.25,20.88
2018-09-14 19:46:52,-1.0,0.1,12.65,20.74
2018-09-14 20:01:52,-1.0,0.1,12.78,20.64
2018-09-14 20:16:52,-1.0,0.1,12.12,20.69
2018-09-14 20:31:52,-1.0,0.1,12.65,20.83
2018-09-14 20:46:52,-1.0,0.1,12.78,20.59
2018-09-14 21:01:52,-1.0,0.1,12.38,20.45
2018-09-14 21:16:52,-1.0,0.1,12.12,20.5
2018-09-14 21:31:52,-1.0,0.1,12.38,20.79
2018-09-14 21:46:52,-1.0,0.1,12.78,21.07
2018-09-14 22:01:52,-1.0,0.1,12.52,21.22
2018-09-14 22:16:52,-1.0,0.1,12.52,20.83
2018-09-14 22:31:52,-1.0,0.1,12.52,20.35
2018-09-14 22:46:52,-1.0,0.1,12.25,20.16
2018-09-14 23:01:52,-1.0,0.1,12.25,19.96
2018-09-14 23:16:52,-1.0,0.1,12.52,20.16
2018-09-14 23:31:52,-1.0,0.1,12.52,19.92
2018-09-14 23:46:52,-1.0,0.1,12.65,20.01
2018-09-15 00:01:52,-1.0,0.1,12.52,19.72
2018-09-15 00:16:52,-1.0,0.1,12.52,19.57
2018-09-15 00:31:52,-1.0,0.1,12.12,19.67
2018-09-15 00:46:52,-1.0,0.1,12.52,19.96
2018-09-15 01:01:52,-1.0,0.1,12.52,20.01
2018-09-15 01:16:52,-1.0,0.1,12.65,20.16
2018-09-15 01:31:52,-1.0,0.1,12.52,20.35
2018-09-15 01:46:52,-1.0,0.1,12.25,20.5
2018-09-15 02:01:52,-1.0,0.1,12.52,20.79
2018-09-15 02:16:52,-1.0,0.1,12.38,20.69
2018-09-15 02:31:52,-1.0,0.1,12.12,20.79
2018-09-15 02:46:52,-1.0,0.1,12.52,20.79
2018-09-15 03:01:52,-1.0,0.1,12.78,21.07
2018-09-15 03:16:52,-1.0,0.1,11.99,21.41
2018-09-15 03:31:52,-1.0,0.1,11.99,21.22
2018-09-15 03:46:52,-1.0,0.1,12.52,20.79
2018-09-15 04:01:52,-1.0,0.1,12.25,20.83
2018-09-15 04:16:52,-1.0,0.1,12.12,20.93
2018-09-15 04:31:52,-1.0,0.1,12.52,21.03
2018-09-15 04:46:52,-1.0,0.1,12.38,20.93
2018-09-15 05:01:52,-1.0,0.1,12.52,20.79
2018-09-15 05:16:52,-1.0,0.1,12.65,20.74
2018-09-15 05:31:52,-1.0,0.1,12.52,20.83
2018-09-15 05:46:52,-1.0,0.1,12.38,21.03
2018-09-15 06:01:52,-1.0,0.1,12.65,21.07
2018-09-15 06:16:52,-1.0,0.1,12.38,21.12
2018-09-15 06:31:52,-1.0,0.4,12.25,21.12
2018-09-15 06:46:52,-1.0,0.99,12.52,21.41
2018-09-15 07:01:52,-1.0,1.22,12.52,21.55
2018-09-15 07:16:52,-1.0,3.32,12.38,22.26
2018-09-15 07:31:52,-1.0,4.34,12.52,22.96
2018-09-15 07:46:52,-1.0,4.75,12.38,23.28
2018-09-15 08:01:52,-1.0,5.75,12.52,23.65
2018-09-15 08:16:52,-1.0,6.53,12.25,24.16
2018-09-15 08:31:52,-1.0,8.17,12.78,24.66
2018-09-15 08:46:52,-1.0,8.1,12.38,25.07
2018-09-15 09:01:52,-1.0,12.56,12.12,25.92
2018-09-15 09:16:52,-1.0,14.2,12.52,27.09
2018-09-15 09:31:52,-1.0,12.98,12.52,27.31
2018-09-15 09:46:52,-1.0,15.94,12.65,28.07
2018-09-15 10:01:52,-1.0,17.53,12.52,28.69
2018-09-15 10:16:52,-1.0,19.57,12.52,29.57
2018-09-15 10:31:52,-1.0,22.59,12.65,30.72
2018-09-15 10:46:52,-1.0,23.37,12.25,31.78
2018-09-15 11:01:52,-1.0,35.98,12.52,31.56
2018-09-15 11:16:52,-1.0,9.6,12.38,30.06
2018-09-15 11:31:52,-1.0,13.31,12.65,29.57
2018-09-15 11:46:52,-1.0,7.99,12.78,29.17
2018-09-15 12:01:52,-1.0,8.01,12.38,29.44
2018-09-15 12:16:52,-1.0,8.68,12.25,30.06
2018-09-15 12:31:52,-1.0,8.06,12.78,30.41
2018-09-15 12:46:52,-1.0,8.64,12.52,30.41
2018-09-15 13:01:52,-1.0,7.89,12.52,30.32
2018-09-15 13:16:52,-1.0,8.11,12.52,30.59
2018-09-15 13:31:52,-1.0,8.26,12.65,29.7
2018-09-15 13:46:52,-1.0,8.04,12.65,29.66
2018-09-15 14:01:52,-1.0,7.98,12.25,28.95
2018-09-15 14:16:52,-1.0,7.48,12.65,29.22
2018-09-15 14:31:52,-1.0,7.75,12.38,29.35
2018-09-15 14:46:52,-1.0,7.78,12.65,29.35
2018-09-15 15:01:52,-1.0,7.79,12.65,29.39
2018-09-15 15:16:52,-1.0,7.77,12.52,30.94
2018-09-15 15:31:52,-1.0,7.87,12.65,31.69
2018-09-15 15:46:52,-1.0,7.65,12.65,31.65
