capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-26 16:24:09,-1.0,41.64,9.37,36.55
2018-09-26 16:39:09,-1.0,21.01,9.12,32.98
2018-09-26 16:54:09,-1.0,12.0,9.5,30.89
2018-09-26 17:09:09,-1.0,9.98,9.37,28.69
2018-09-26 17:24:09,-1.0,8.2,9.37,28.2
2018-09-26 17:39:09,-1.0,6.61,8.99,27.53
2018-09-26 17:54:09,-1.0,4.65,9.25,27.18
2018-09-26 18:09:09,-1.0,2.41,9.25,26.51
2018-09-26 18:24:09,-1.0,0.66,8.99,25.61
2018-09-26 18:39:09,-1.0,0.1,9.5,25.2
2018-09-26 18:54:09,-1.0,0.1,9.37,24.98
2018-09-26 19:09:09,-1.0,0.1,9.12,24.61
2018-09-26 19:24:09,-1.0,0.1,9.62,24.66
2018-09-26 19:39:09,-1.0,0.1,9.37,24.89
2018-09-26 19:54:09,-1.0,0.1,9.62,24.61
2018-09-26 20:09:09,-1.0,0.1,9.25,24.52
2018-09-26 20:24:09,-1.0,0.1,9.37,24.25
2018-09-26 20:39:09,-1.0,0.1,9.25,23.56
2018-09-26 20:54:09,-1.0,0.1,9.5,22.21
2018-09-26 21:09:09,-1.0,0.1,9.12,21.74
2018-09-26 21:24:09,-1.0,0.1,9.25,21.41
2018-09-26 21:39:09,-1.0,0.1,9.37,22.12
2018-09-26 21:54:09,-1.0,0.1,9.12,21.69
2018-09-26 22:09:09,-1.0,0.1,9.37,23.74
2018-09-26 22:24:09,-1.0,0.1,9.62,23.93
2018-09-26 22:39:09,-1.0,0.1,8.87,23.6
2018-09-26 22:54:09,-1.0,0.1,9.25,23.28
2018-09-26 23:09:09,-1.0,0.1,9.37,23.83
2018-09-26 23:24:09,-1.0,0.1,8.87,23.51
2018-09-26 23:39:09,-1.0,0.1,9.37,23.6
2018-09-26 23:54:09,-1.0,0.1,9.37,23.74
2018-09-27 00:09:09,-1.0,0.1,9.12,23.7
2018-09-27 00:24:09,-1.0,0.1,9.12,24.02
2018-09-27 00:39:09,-1.0,0.1,9.12,23.93
2018-09-27 00:54:09,-1.0,0.1,9.25,23.74
2018-09-27 01:09:09,-1.0,0.1,9.12,23.6
2018-09-27 01:24:09,-1.0,0.1,9.5,22.44
2018-09-27 01:39:09,-1.0,0.1,9.12,23.0
2018-09-27 01:54:09,-1.0,0.1,9.62,23.65
2018-09-27 02:09:09,-1.0,0.1,9.12,23.74
2018-09-27 02:24:09,-1.0,0.1,9.25,23.0
2018-09-27 02:39:09,-1.0,0.1,9.37,22.3
2018-09-27 02:54:09,-1.0,0.1,9.37,21.74
2018-09-27 03:09:09,-1.0,0.1,9.62,20.93
2018-09-27 03:24:09,-1.0,0.1,9.37,21.31
2018-09-27 03:39:09,-1.0,0.1,9.62,20.3
2018-09-27 03:54:09,-1.0,0.1,9.37,19.43
2018-09-27 04:09:09,-1.0,0.1,9.5,19.43
2018-09-27 04:24:09,-1.0,0.1,9.25,19.13
2018-09-27 04:39:09,-1.0,0.1,9.5,19.03
2018-09-27 04:54:09,-1.0,0.1,9.5,20.11
2018-09-27 05:09:09,-1.0,0.1,9.37,20.26
2018-09-27 05:24:09,-1.0,0.1,8.99,20.4
2018-09-27 05:39:09,-1.0,0.1,9.5,19.57
2018-09-27 05:54:09,-1.0,0.1,9.37,19.28
2018-09-27 06:09:09,-1.0,0.1,9.25,19.33
2018-09-27 06:24:09,-1.0,0.51,9.5,19.48
2018-09-27 06:39:09,-1.0,2.18,9.37,20.45
