capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-26 16:22:02,-1.0,6.36,9.1,27.98
2018-09-26 16:37:02,-1.0,5.26,9.23,27.44
2018-09-26 16:52:02,-1.0,3.87,9.1,27.18
2018-09-26 17:07:02,-1.0,2.19,8.97,26.86
2018-09-26 17:22:02,-1.0,0.69,9.1,26.28
2018-09-26 17:37:02,-1.0,0.1,8.97,26.06
2018-09-26 17:52:02,-1.0,0.1,9.36,25.79
2018-09-26 18:07:02,-1.0,0.1,9.36,25.74
2018-09-26 18:22:02,-1.0,0.1,8.97,25.74
2018-09-26 18:37:02,-1.0,0.1,9.23,25.52
2018-09-26 18:52:02,-1.0,0.1,8.97,25.74
2018-09-26 19:07:02,-1.0,0.1,9.1,25.43
2018-09-26 19:22:02,-1.0,0.1,9.36,25.43
2018-09-26 19:37:02,-1.0,0.1,8.84,24.98
2018-09-26 19:52:02,-1.0,0.1,9.23,24.52
2018-09-26 20:07:02,-1.0,0.1,8.97,24.61
2018-09-26 20:22:02,-1.0,0.1,9.23,24.29
2018-09-26 20:37:02,-1.0,0.1,9.1,24.34
2018-09-26 20:52:02,-1.0,0.1,9.36,24.25
2018-09-26 21:07:02,-1.0,0.1,9.36,24.75
2018-09-26 21:22:02,-1.0,0.1,8.97,24.84
2018-09-26 21:37:02,-1.0,0.1,9.1,24.75
2018-09-26 21:52:02,-1.0,0.1,9.23,24.43
2018-09-26 22:07:02,-1.0,0.1,9.23,24.61
2018-09-26 22:22:02,-1.0,0.1,9.23,24.57
2018-09-26 22:37:02,-1.0,0.1,9.23,24.48
2018-09-26 22:52:02,-1.0,0.1,9.36,24.61
2018-09-26 23:07:02,-1.0,0.1,9.23,24.61
2018-09-26 23:22:02,-1.0,0.1,9.1,24.57
2018-09-26 23:37:02,-1.0,0.1,9.36,24.66
2018-09-26 23:52:02,-1.0,0.1,9.36,24.52
2018-09-27 00:07:02,-1.0,0.1,9.23,24.38
2018-09-27 00:22:02,-1.0,0.1,8.72,23.79
2018-09-27 00:37:02,-1.0,0.1,9.36,23.83
2018-09-27 00:52:02,-1.0,0.1,9.23,24.29
2018-09-27 01:07:02,-1.0,0.1,8.97,24.2
2018-09-27 01:22:02,-1.0,0.1,9.23,24.06
2018-09-27 01:37:02,-1.0,0.1,8.97,23.7
2018-09-27 01:52:02,-1.0,0.1,8.72,23.19
2018-09-27 02:07:02,-1.0,0.1,8.84,23.0
2018-09-27 02:22:02,-1.0,0.1,8.97,22.86
2018-09-27 02:37:02,-1.0,0.1,8.97,22.63
2018-09-27 02:52:02,-1.0,0.1,9.23,22.44
2018-09-27 03:07:02,-1.0,0.1,9.36,22.16
2018-09-27 03:22:02,-1.0,0.1,9.23,22.02
2018-09-27 03:37:02,-1.0,0.1,9.36,21.74
