capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-26 16:17:00,-1.0,10.49,8.9,28.55
2018-09-26 16:32:00,-1.0,5.76,8.77,28.33
2018-09-26 16:47:00,-1.0,4.16,9.03,27.22
2018-09-26 17:02:00,-1.0,2.52,8.9,26.78
2018-09-26 17:17:00,-1.0,0.94,9.16,26.28
2018-09-26 17:32:00,-1.0,0.14,9.03,25.61
2018-09-26 17:47:00,-1.0,0.1,9.16,25.43
2018-09-26 18:02:00,-1.0,0.1,9.03,25.07
2018-09-26 18:17:00,-1.0,0.1,8.9,25.43
2018-09-26 18:32:00,-1.0,0.1,8.9,25.25
2018-09-26 18:47:00,-1.0,0.1,8.77,25.34
2018-09-26 19:02:00,-1.0,0.1,9.29,25.16
2018-09-26 19:17:00,-1.0,0.1,9.03,25.16
2018-09-26 19:32:00,-1.0,0.1,8.9,24.52
2018-09-26 19:47:00,-1.0,0.1,9.03,24.34
2018-09-26 20:02:00,-1.0,0.1,9.03,24.25
2018-09-26 20:17:00,-1.0,0.1,9.03,24.11
2018-09-26 20:32:00,-1.0,0.1,9.03,24.25
2018-09-26 20:47:00,-1.0,0.1,8.9,23.51
2018-09-26 21:02:00,-1.0,0.1,9.29,24.48
2018-09-26 21:17:00,-1.0,0.1,9.03,24.48
2018-09-26 21:32:00,-1.0,0.1,8.77,24.61
2018-09-26 21:47:00,-1.0,0.1,8.64,24.48
2018-09-26 22:02:00,-1.0,0.1,8.64,24.43
2018-09-26 22:17:00,-1.0,0.1,8.64,24.52
2018-09-26 22:32:00,-1.0,0.1,8.77,24.48
2018-09-26 22:47:00,-1.0,0.1,9.16,24.48
2018-09-26 23:02:00,-1.0,0.1,8.9,24.66
2018-09-26 23:17:00,-1.0,0.1,9.16,24.61
2018-09-26 23:32:00,-1.0,0.1,8.9,24.61
2018-09-26 23:47:00,-1.0,0.1,8.9,24.48
2018-09-27 00:02:00,-1.0,0.1,8.9,24.34
2018-09-27 00:17:00,-1.0,0.1,8.77,24.06
2018-09-27 00:32:00,-1.0,0.1,9.16,23.74
2018-09-27 00:47:00,-1.0,0.1,9.29,24.2
2018-09-27 01:02:00,-1.0,0.1,9.03,24.06
2018-09-27 01:17:00,-1.0,0.1,8.77,23.97
2018-09-27 01:32:00,-1.0,0.1,8.77,23.74
2018-09-27 01:47:00,-1.0,0.1,9.29,23.33
2018-09-27 02:02:00,-1.0,0.1,9.16,23.0
2018-09-27 02:17:00,-1.0,0.1,8.64,22.63
2018-09-27 02:32:00,-1.0,0.1,9.16,22.49
2018-09-27 02:47:00,-1.0,0.1,8.9,22.02
2018-09-27 03:02:00,-1.0,0.1,9.03,21.83
2018-09-27 03:17:00,-1.0,0.1,9.16,21.55
2018-09-27 03:32:00,-1.0,0.1,8.64,21.07
2018-09-27 03:47:00,-1.0,0.1,8.9,21.26
2018-09-27 04:02:00,-1.0,0.1,8.9,21.55
2018-09-27 04:17:00,-1.0,0.1,8.64,21.83
2018-09-27 04:32:00,-1.0,0.1,8.77,21.88
2018-09-27 04:47:00,-1.0,0.1,8.77,21.64
2018-09-27 05:02:00,-1.0,0.1,9.03,21.26
2018-09-27 05:17:00,-1.0,0.14,9.03,20.26
2018-09-27 05:32:00,-1.0,0.91,8.77,20.79
2018-09-27 05:47:00,-1.0,2.49,8.64,21.26
2018-09-27 06:02:00,-1.0,4.48,9.03,22.63
2018-09-27 06:17:00,-1.0,6.03,9.03,23.97
2018-09-27 06:32:00,-1.0,10.97,8.77,25.07
2018-09-27 06:47:00,-1.0,14.95,8.77,28.51
2018-09-27 07:02:00,-1.0,10.87,8.9,28.07
2018-09-27 07:17:00,-1.0,16.07,8.9,28.6
2018-09-27 07:32:00,-1.0,12.55,9.03,30.23
2018-09-27 07:47:00,-1.0,44.56,8.64,32.4
2018-09-27 08:02:00,-1.0,11.17,8.77,32.27
2018-09-27 08:17:00,-1.0,11.22,8.9,29.97
2018-09-27 08:32:00,-1.0,11.48,9.03,30.14
2018-09-27 08:47:00,-1.0,11.72,9.03,30.19
2018-09-27 09:02:00,-1.0,12.02,9.29,31.03
2018-09-27 09:17:00,-1.0,12.86,8.64,30.67
2018-09-27 09:32:00,-1.0,38.04,8.77,30.81
2018-09-27 09:47:00,-1.0,63.36,9.03,32.44
2018-09-27 10:02:00,-1.0,78.79,9.03,32.58
2018-09-27 10:17:00,-1.0,22.93,8.64,32.71
2018-09-27 10:32:00,-1.0,16.68,9.16,31.6
2018-09-27 10:47:00,-1.0,21.82,8.77,32.09
2018-09-27 11:02:00,-1.0,116.56,9.03,37.75
2018-09-27 11:17:00,-1.0,75.56,8.64,32.89
2018-09-27 11:32:00,-1.0,132.93,8.51,37.15
2018-09-27 11:47:00,-1.0,114.21,8.9,36.0
2018-09-27 12:02:00,-1.0,144.71,9.16,39.99
2018-09-27 12:17:00,-1.0,34.57,8.9,34.19
2018-09-27 12:32:00,-1.0,61.92,8.64,34.68
2018-09-27 12:47:00,-1.0,15.22,8.9,32.44
2018-09-27 13:02:00,-1.0,21.36,8.77,31.25
2018-09-27 13:17:00,-1.0,61.57,9.16,34.45
2018-09-27 13:32:00,-1.0,95.74,9.03,38.08
2018-09-27 13:47:00,-1.0,36.73,9.29,34.5
2018-09-27 14:02:00,-1.0,42.11,8.9,33.42
2018-09-27 14:17:00,-1.0,16.96,9.16,31.29
2018-09-27 14:32:00,-1.0,29.77,8.9,31.38
