capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-26 16:26:18,-1.0,45.68,10.69,39.7
2018-09-26 16:41:18,-1.0,45.88,10.69,38.98
2018-09-26 16:56:18,-1.0,16.92,10.69,35.63
2018-09-26 17:11:18,-1.0,8.78,10.95,29.22
2018-09-26 17:26:18,-1.0,7.54,10.69,28.2
2018-09-26 17:41:18,-1.0,6.07,10.43,27.49
2018-09-26 17:56:18,-1.0,4.16,10.82,26.91
2018-09-26 18:11:18,-1.0,2.0,10.69,26.24
2018-09-26 18:26:18,-1.0,0.47,10.69,25.2
2018-09-26 18:41:18,-1.0,0.1,10.95,25.11
2018-09-26 18:56:18,-1.0,0.1,10.69,24.57
2018-09-26 19:11:18,-1.0,0.1,10.69,24.52
2018-09-26 19:26:18,-1.0,0.1,10.3,24.25
2018-09-26 19:41:18,-1.0,0.1,10.69,24.38
2018-09-26 19:56:18,-1.0,0.1,10.69,24.34
2018-09-26 20:11:18,-1.0,0.1,10.69,24.34
2018-09-26 20:26:18,-1.0,0.1,10.69,24.11
2018-09-26 20:41:18,-1.0,0.1,10.95,23.14
2018-09-26 20:56:18,-1.0,0.1,10.43,22.63
2018-09-26 21:11:18,-1.0,0.1,10.43,22.49
2018-09-26 21:26:18,-1.0,0.1,10.82,22.44
2018-09-26 21:41:18,-1.0,0.1,10.69,22.4
2018-09-26 21:56:18,-1.0,0.1,10.82,22.4
2018-09-26 22:11:18,-1.0,0.1,10.95,23.79
2018-09-26 22:26:18,-1.0,0.1,10.69,23.6
2018-09-26 22:41:18,-1.0,0.1,10.69,23.1
2018-09-26 22:56:18,-1.0,0.1,10.43,22.86
2018-09-26 23:11:18,-1.0,0.1,10.69,23.6
2018-09-26 23:26:18,-1.0,0.1,10.69,23.42
2018-09-26 23:41:18,-1.0,0.1,10.69,23.6
2018-09-26 23:56:18,-1.0,0.1,10.3,23.7
2018-09-27 00:11:18,-1.0,0.1,10.82,23.7
2018-09-27 00:26:18,-1.0,0.1,10.69,23.88
2018-09-27 00:41:18,-1.0,0.1,10.82,23.83
