capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-26 16:26:48,-1.0,10.09,9.56,31.38
2018-09-26 16:41:48,-1.0,7.56,9.69,27.93
2018-09-26 16:56:48,-1.0,5.06,9.18,27.18
2018-09-26 17:11:48,-1.0,2.37,9.56,26.6
2018-09-26 17:26:48,-1.0,0.53,9.56,25.83
2018-09-26 17:41:48,-1.0,0.1,9.05,25.7
2018-09-26 17:56:48,-1.0,0.1,9.43,25.25
2018-09-26 18:11:48,-1.0,0.1,9.69,25.38
2018-09-26 18:26:48,-1.0,0.1,9.3,25.38
2018-09-26 18:41:48,-1.0,0.1,9.18,25.52
2018-09-26 18:56:48,-1.0,0.1,9.56,25.34
2018-09-26 19:11:48,-1.0,0.1,9.18,24.98
2018-09-26 19:26:48,-1.0,0.1,9.43,24.93
2018-09-26 19:41:48,-1.0,0.1,9.18,23.65
2018-09-26 19:56:48,-1.0,0.1,9.18,23.74
2018-09-26 20:11:48,-1.0,0.1,9.3,23.05
2018-09-26 20:26:48,-1.0,0.1,9.3,23.19
2018-09-26 20:41:48,-1.0,0.1,9.3,23.28
2018-09-26 20:56:48,-1.0,0.1,9.3,23.56
2018-09-26 21:11:48,-1.0,0.1,9.05,24.38
2018-09-26 21:26:48,-1.0,0.1,9.05,24.25
2018-09-26 21:41:48,-1.0,0.1,9.18,23.88
2018-09-26 21:56:48,-1.0,0.1,9.05,24.2
2018-09-26 22:11:48,-1.0,0.1,9.3,24.38
2018-09-26 22:26:48,-1.0,0.1,9.3,24.02
2018-09-26 22:41:48,-1.0,0.1,9.43,24.16
2018-09-26 22:56:48,-1.0,0.1,9.05,24.2
2018-09-26 23:11:48,-1.0,0.1,9.05,24.2
2018-09-26 23:26:48,-1.0,0.1,9.3,24.7
2018-09-26 23:41:48,-1.0,0.1,9.3,24.2
2018-09-26 23:56:48,-1.0,0.1,9.43,24.16
2018-09-27 00:11:48,-1.0,0.1,8.92,23.88
2018-09-27 00:26:48,-1.0,0.1,9.18,23.1
