capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-26 16:23:53,-1.0,61.5,14.77,38.13
2018-09-26 16:38:53,-1.0,55.59,14.4,37.71
2018-09-26 16:53:53,-1.0,39.86,14.89,37.33
2018-09-26 17:08:53,-1.0,32.47,14.4,35.91
2018-09-26 17:23:53,-1.0,25.92,14.65,34.05
2018-09-26 17:38:53,-1.0,15.93,14.65,32.71
2018-09-26 17:53:53,-1.0,5.38,14.77,28.91
2018-09-26 18:08:53,-1.0,2.66,14.65,27.4
2018-09-26 18:23:53,-1.0,0.75,14.4,26.73
2018-09-26 18:38:53,-1.0,0.1,14.89,26.33
2018-09-26 18:53:53,-1.0,0.1,14.52,26.15
2018-09-26 19:08:53,-1.0,0.1,14.4,25.79
2018-09-26 19:23:53,-1.0,0.1,14.65,25.79
2018-09-26 19:38:53,-1.0,0.1,14.77,25.79
2018-09-26 19:53:53,-1.0,0.1,14.77,25.74
2018-09-26 20:08:53,-1.0,0.1,14.65,25.56
2018-09-26 20:23:53,-1.0,0.1,14.4,25.47
2018-09-26 20:38:53,-1.0,0.1,14.4,24.84
2018-09-26 20:53:53,-1.0,0.1,14.15,24.2
2018-09-26 21:08:53,-1.0,0.1,14.27,23.65
2018-09-26 21:23:53,-1.0,0.1,14.77,23.65
2018-09-26 21:38:53,-1.0,0.1,14.52,24.16
2018-09-26 21:53:53,-1.0,0.1,14.4,23.83
2018-09-26 22:08:53,-1.0,0.1,14.77,24.89
2018-09-26 22:23:53,-1.0,0.1,14.27,24.84
2018-09-26 22:38:53,-1.0,0.1,14.52,24.57
2018-09-26 22:53:53,-1.0,0.1,14.65,24.34
2018-09-26 23:08:53,-1.0,0.1,14.27,24.66
2018-09-26 23:23:53,-1.0,0.1,14.4,24.48
2018-09-26 23:38:53,-1.0,0.1,14.65,24.61
2018-09-26 23:53:53,-1.0,0.1,14.27,24.48
2018-09-27 00:08:53,-1.0,0.1,14.4,24.61
2018-09-27 00:23:53,-1.0,0.1,14.4,24.75
2018-09-27 00:38:53,-1.0,0.1,14.4,24.52
2018-09-27 00:53:53,-1.0,0.1,14.27,24.43
2018-09-27 01:08:53,-1.0,0.1,14.52,24.2
2018-09-27 01:23:53,-1.0,0.1,14.65,23.93
2018-09-27 01:38:53,-1.0,0.1,14.4,24.06
