capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-26 16:17:25,-1.0,57.87,11.91,36.78
2018-09-26 16:32:25,-1.0,50.2,11.78,33.29
2018-09-26 16:47:25,-1.0,18.38,11.52,31.12
2018-09-26 17:02:25,-1.0,13.43,11.65,29.61
2018-09-26 17:17:25,-1.0,10.85,12.04,28.55
2018-09-26 17:32:25,-1.0,8.6,11.78,27.8
2018-09-26 17:47:25,-1.0,6.3,12.04,26.64
2018-09-26 18:02:25,-1.0,3.85,12.04,25.83
2018-09-26 18:17:25,-1.0,1.46,11.52,25.02
2018-09-26 18:32:25,-1.0,0.23,11.91,24.06
2018-09-26 18:47:25,-1.0,0.1,11.65,23.83
2018-09-26 19:02:25,-1.0,0.1,11.91,23.56
2018-09-26 19:17:25,-1.0,0.1,11.52,23.24
2018-09-26 19:32:25,-1.0,0.1,11.65,23.24
2018-09-26 19:47:25,-1.0,0.1,11.52,23.51
2018-09-26 20:02:25,-1.0,0.1,12.04,23.37
2018-09-26 20:17:25,-1.0,0.1,11.65,23.05
2018-09-26 20:32:25,-1.0,0.1,11.39,22.4
2018-09-26 20:47:25,-1.0,0.1,11.65,21.12
2018-09-26 21:02:25,-1.0,0.1,11.65,20.69
2018-09-26 21:17:25,-1.0,0.1,11.91,20.11
2018-09-26 21:32:25,-1.0,0.1,11.78,20.69
2018-09-26 21:47:25,-1.0,0.1,11.78,19.82
2018-09-26 22:02:25,-1.0,0.1,11.39,21.26
2018-09-26 22:17:25,-1.0,0.1,11.39,22.44
2018-09-26 22:32:25,-1.0,0.1,11.52,22.26
2018-09-26 22:47:25,-1.0,0.1,11.65,21.41
2018-09-26 23:02:25,-1.0,0.1,11.52,21.74
2018-09-26 23:17:25,-1.0,0.1,11.78,21.97
2018-09-26 23:32:25,-1.0,0.1,11.52,22.12
2018-09-26 23:47:25,-1.0,0.1,12.04,22.44
2018-09-27 00:02:25,-1.0,0.1,11.78,22.07
2018-09-27 00:17:25,-1.0,0.1,11.65,22.4
2018-09-27 00:32:25,-1.0,0.1,11.26,22.58
2018-09-27 00:47:25,-1.0,0.1,11.91,22.12
2018-09-27 01:02:25,-1.0,0.1,11.78,22.35
2018-09-27 01:17:25,-1.0,0.1,11.91,21.17
2018-09-27 01:32:25,-1.0,0.1,11.78,21.26
2018-09-27 01:47:25,-1.0,0.1,11.78,21.93
2018-09-27 02:02:25,-1.0,0.1,11.78,22.16
2018-09-27 02:17:25,-1.0,0.1,11.65,21.45
2018-09-27 02:32:25,-1.0,0.1,11.52,20.98
2018-09-27 02:47:25,-1.0,0.1,11.52,20.5
2018-09-27 03:02:25,-1.0,0.1,11.78,19.87
2018-09-27 03:17:25,-1.0,0.1,11.26,18.88
2018-09-27 03:32:25,-1.0,0.1,11.39,18.88
2018-09-27 03:47:25,-1.0,0.1,11.39,18.34
2018-09-27 04:02:25,-1.0,0.1,11.78,18.39
2018-09-27 04:17:25,-1.0,0.1,11.39,17.93
2018-09-27 04:32:25,-1.0,0.1,11.39,17.88
2018-09-27 04:47:25,-1.0,0.1,11.78,18.49
2018-09-27 05:02:25,-1.0,0.1,11.52,18.83
2018-09-27 05:17:25,-1.0,0.1,11.78,18.78
2018-09-27 05:32:25,-1.0,0.1,11.65,18.29
2018-09-27 05:47:25,-1.0,0.1,11.91,17.78
2018-09-27 06:02:25,-1.0,0.1,11.78,17.88
2018-09-27 06:17:25,-1.0,0.2,11.65,17.78
2018-09-27 06:32:25,-1.0,1.37,11.26,18.29
2018-09-27 06:47:25,-1.0,3.83,11.78,18.93
2018-09-27 07:02:25,-1.0,6.72,11.26,19.72
2018-09-27 07:17:25,-1.0,9.2,11.91,21.31
2018-09-27 07:32:25,-1.0,11.58,11.65,22.68
2018-09-27 07:47:25,-1.0,26.66,11.78,26.33
2018-09-27 08:02:25,-1.0,35.52,11.78,28.64
2018-09-27 08:17:25,-1.0,47.06,11.91,30.94
2018-09-27 08:32:25,-1.0,31.89,11.52,33.11
2018-09-27 08:47:25,-1.0,65.31,11.78,35.72
2018-09-27 09:02:25,-1.0,72.83,11.91,36.92
2018-09-27 09:17:25,-1.0,75.9,12.04,39.12
2018-09-27 09:32:25,-1.0,73.33,11.52,40.43
2018-09-27 09:47:25,-1.0,79.82,11.65,42.06
2018-09-27 10:02:25,-1.0,87.54,11.78,42.82
2018-09-27 10:17:25,-1.0,103.23,11.65,43.85
2018-09-27 10:32:25,-1.0,113.89,11.78,43.7
2018-09-27 10:47:25,-1.0,122.72,11.52,45.17
2018-09-27 11:02:25,-1.0,129.88,11.65,45.98
2018-09-27 11:17:25,-1.0,136.22,11.78,47.75
2018-09-27 11:32:25,-1.0,129.88,11.78,46.85
2018-09-27 11:47:25,-1.0,141.39,12.04,48.77
2018-09-27 12:02:25,-1.0,143.2,12.04,48.72
2018-09-27 12:17:25,-1.0,146.95,11.52,48.2
2018-09-27 12:32:25,-1.0,148.9,11.91,48.66
2018-09-27 12:47:25,-1.0,148.9,12.04,49.0
2018-09-27 13:02:25,-1.0,146.95,12.04,48.72
2018-09-27 13:17:25,-1.0,145.05,12.04,49.3
2018-09-27 13:32:25,-1.0,143.2,11.65,48.37
2018-09-27 13:47:25,-1.0,129.88,11.91,47.69
2018-09-27 14:02:25,-1.0,134.58,11.78,46.47
2018-09-27 14:17:25,-1.0,134.58,11.52,45.12
2018-09-27 14:32:25,-1.0,129.88,11.65,45.76
2018-09-27 14:47:25,-1.0,120.06,11.91,45.01
2018-09-27 15:02:25,-1.0,113.89,11.65,44.22
2018-09-27 15:17:25,-1.0,108.3,11.91,42.01
2018-09-27 15:32:25,-1.0,98.6,11.52,41.51
2018-09-27 15:47:25,-1.0,91.2,12.04,39.6
2018-09-27 16:02:25,-1.0,63.0,12.04,38.79
2018-09-27 16:17:25,-1.0,59.82,11.78,37.66
2018-09-27 16:32:25,-1.0,34.22,11.78,33.69
2018-09-27 16:47:25,-1.0,25.71,11.78,31.78
2018-09-27 17:02:25,-1.0,14.72,12.3,30.1
2018-09-27 17:17:25,-1.0,13.77,11.78,29.04
2018-09-27 17:32:25,-1.0,9.95,12.3,28.07
2018-09-27 17:47:25,-1.0,8.55,11.91,27.22
2018-09-27 18:02:25,-1.0,3.7,12.17,25.79
2018-09-27 18:17:25,-1.0,1.18,12.04,23.97
2018-09-27 18:32:25,-1.0,0.15,11.78,22.3
2018-09-27 18:47:25,-1.0,0.1,11.78,21.45
2018-09-27 19:02:25,-1.0,0.1,11.65,22.07
2018-09-27 19:17:25,-1.0,0.1,11.78,21.97
2018-09-27 19:32:25,-1.0,0.1,11.91,22.12
2018-09-27 19:47:25,-1.0,0.1,12.04,22.07
2018-09-27 20:02:25,-1.0,0.1,12.04,22.26
2018-09-27 20:17:25,-1.0,0.1,11.91,22.44
2018-09-27 20:32:25,-1.0,0.1,11.78,21.74
2018-09-27 20:47:25,-1.0,0.1,11.78,21.6
