capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-26 16:28:09,-1.0,46.02,11.49,38.7
2018-09-26 16:43:09,-1.0,15.66,10.97,33.42
2018-09-26 16:58:09,-1.0,7.02,11.49,30.67
2018-09-26 17:13:09,-1.0,5.79,11.23,29.0
2018-09-26 17:28:09,-1.0,4.91,11.1,28.42
2018-09-26 17:43:09,-1.0,3.74,10.97,27.8
2018-09-26 17:58:09,-1.0,2.43,10.72,27.27
2018-09-26 18:13:09,-1.0,1.07,10.72,26.82
2018-09-26 18:28:09,-1.0,0.21,11.36,25.92
2018-09-26 18:43:09,-1.0,0.1,10.85,25.83
2018-09-26 18:58:09,-1.0,0.1,10.85,25.56
2018-09-26 19:13:09,-1.0,0.1,11.36,25.65
2018-09-26 19:28:09,-1.0,0.1,10.97,25.61
2018-09-26 19:43:09,-1.0,0.1,10.97,25.56
2018-09-26 19:58:09,-1.0,0.1,11.1,25.52
2018-09-26 20:13:09,-1.0,0.1,11.36,25.16
2018-09-26 20:28:09,-1.0,0.1,11.1,24.98
2018-09-26 20:43:09,-1.0,0.1,11.1,24.66
2018-09-26 20:58:09,-1.0,0.1,11.1,24.61
2018-09-26 21:13:09,-1.0,0.1,11.1,24.11
2018-09-26 21:28:09,-1.0,0.1,10.97,24.02
2018-09-26 21:43:09,-1.0,0.1,10.97,23.6
2018-09-26 21:58:09,-1.0,0.1,11.23,23.88
2018-09-26 22:13:09,-1.0,0.1,11.1,24.79
2018-09-26 22:28:09,-1.0,0.1,10.97,24.66
2018-09-26 22:43:09,-1.0,0.1,10.59,24.29
2018-09-26 22:58:09,-1.0,0.1,10.97,24.25
2018-09-26 23:13:09,-1.0,0.1,10.59,24.61
2018-09-26 23:28:09,-1.0,0.1,10.85,24.48
2018-09-26 23:43:09,-1.0,0.1,11.1,24.48
2018-09-26 23:58:09,-1.0,0.1,11.1,24.52
2018-09-27 00:13:09,-1.0,0.1,11.1,24.43
2018-09-27 00:28:09,-1.0,0.1,11.1,24.79
2018-09-27 00:43:09,-1.0,0.1,10.59,24.43
2018-09-27 00:58:09,-1.0,0.1,11.23,24.48
2018-09-27 01:13:09,-1.0,0.1,10.97,24.11
2018-09-27 01:28:09,-1.0,0.1,10.97,23.6
2018-09-27 01:43:09,-1.0,0.1,10.72,24.06
