capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-26 16:27:00,-1.0,34.93,8.39,32.62
2018-09-26 16:42:00,-1.0,33.34,8.39,32.36
2018-09-26 16:57:00,-1.0,10.65,8.51,31.07
2018-09-26 17:12:00,-1.0,8.39,8.51,29.0
2018-09-26 17:27:00,-1.0,6.73,8.26,27.93
2018-09-26 17:42:00,-1.0,5.36,8.26,27.36
2018-09-26 17:57:00,-1.0,3.66,8.39,26.95
2018-09-26 18:12:00,-1.0,1.76,8.39,26.24
2018-09-26 18:27:00,-1.0,0.4,8.01,25.25
2018-09-26 18:42:00,-1.0,0.1,8.26,25.11
2018-09-26 18:57:00,-1.0,0.1,8.26,24.38
2018-09-26 19:12:00,-1.0,0.1,8.01,25.02
2018-09-26 19:27:00,-1.0,0.1,8.01,24.84
2018-09-26 19:42:00,-1.0,0.1,8.01,24.66
2018-09-26 19:57:00,-1.0,0.1,8.26,24.61
2018-09-26 20:12:00,-1.0,0.1,8.26,24.43
2018-09-26 20:27:00,-1.0,0.1,8.13,24.02
2018-09-26 20:42:00,-1.0,0.1,8.13,23.05
2018-09-26 20:57:00,-1.0,0.1,8.26,23.51
2018-09-26 21:12:00,-1.0,0.1,8.13,23.05
2018-09-26 21:27:00,-1.0,0.1,8.26,23.19
2018-09-26 21:42:00,-1.0,0.1,8.13,22.82
2018-09-26 21:57:00,-1.0,0.1,7.63,23.14
2018-09-26 22:12:00,-1.0,0.1,7.88,24.02
2018-09-26 22:27:00,-1.0,0.1,7.76,23.97
2018-09-26 22:42:00,-1.0,0.1,7.76,23.7
2018-09-26 22:57:00,-1.0,0.1,7.76,23.6
2018-09-26 23:12:00,-1.0,0.1,7.76,24.02
2018-09-26 23:27:00,-1.0,0.1,8.13,23.88
2018-09-26 23:42:00,-1.0,0.1,7.76,23.97
2018-09-26 23:57:00,-1.0,0.1,7.76,24.02
2018-09-27 00:12:00,-1.0,0.1,8.26,24.11
2018-09-27 00:27:00,-1.0,0.1,7.88,24.34
2018-09-27 00:42:00,-1.0,0.1,8.13,24.11
2018-09-27 00:57:00,-1.0,0.1,8.01,23.88
2018-09-27 01:12:00,-1.0,0.1,7.88,23.65
2018-09-27 01:27:00,-1.0,0.1,8.26,22.72
2018-09-27 01:42:00,-1.0,0.1,7.76,23.28
2018-09-27 01:57:00,-1.0,0.1,7.76,23.51
2018-09-27 02:12:00,-1.0,0.1,8.13,23.56
2018-09-27 02:27:00,-1.0,0.1,8.13,23.1
2018-09-27 02:42:00,-1.0,0.1,8.26,22.49
2018-09-27 02:57:00,-1.0,0.1,7.76,22.12
2018-09-27 03:12:00,-1.0,0.1,7.76,21.79
2018-09-27 03:27:00,-1.0,0.1,7.88,21.69
2018-09-27 03:42:00,-1.0,0.1,7.51,21.17
2018-09-27 03:57:00,-1.0,0.1,8.13,20.83
2018-09-27 04:12:00,-1.0,0.1,8.13,20.59
2018-09-27 04:27:00,-1.0,0.1,7.88,20.16
