capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-10-09 13:31:55,-1.0,125.62,9.87,40.18
2018-10-09 13:46:55,-1.0,109.82,9.36,39.56
2018-10-09 14:01:55,-1.0,112.66,9.87,41.26
2018-10-09 14:16:55,-1.0,105.38,9.74,40.62
2018-10-09 14:31:55,-1.0,98.95,9.61,39.6
2018-10-09 14:46:55,-1.0,92.58,9.87,38.98
2018-10-09 15:01:55,-1.0,86.96,9.49,38.79
2018-10-09 15:16:55,-1.0,81.97,9.61,38.04
2018-10-09 15:31:55,-1.0,76.58,9.74,36.46
2018-10-09 15:46:55,-1.0,69.48,9.49,35.09
2018-10-09 16:01:55,-1.0,30.39,9.87,34.19
2018-10-09 16:16:55,-1.0,55.2,9.49,34.91
2018-10-09 16:31:55,-1.0,46.9,9.74,33.78
2018-10-09 16:46:55,-1.0,24.92,9.74,30.1
2018-10-09 17:01:55,-1.0,30.32,9.74,28.15
2018-10-09 17:16:55,-1.0,8.41,9.61,23.7
2018-10-09 17:31:55,-1.0,9.03,9.74,22.49
2018-10-09 17:46:55,-1.0,3.55,9.87,20.93
2018-10-09 18:01:55,-1.0,1.25,9.23,19.87
2018-10-09 18:16:55,-1.0,0.15,9.61,17.98
2018-10-09 18:31:55,-1.0,0.1,9.49,17.38
2018-10-09 18:46:55,-1.0,0.1,9.74,15.72
2018-10-09 19:01:55,-1.0,0.1,9.36,14.16
2018-10-09 19:16:55,-1.0,0.1,9.61,14.0
2018-10-09 19:31:55,-1.0,0.1,9.61,13.73
2018-10-09 19:46:55,-1.0,0.1,9.61,13.56
2018-10-09 20:01:55,-1.0,0.1,9.74,13.12
2018-10-09 20:16:55,-1.0,0.1,9.61,12.62
2018-10-09 20:31:55,-1.0,0.1,9.23,12.56
2018-10-09 20:46:55,-1.0,0.1,9.36,12.62
2018-10-09 21:01:55,-1.0,0.1,9.23,12.11
2018-10-09 21:16:55,-1.0,0.1,9.1,12.11
2018-10-09 21:31:55,-1.0,0.1,9.23,13.56
2018-10-09 21:46:55,-1.0,0.1,9.61,12.9
2018-10-09 22:01:55,-1.0,0.1,9.1,13.78
2018-10-09 22:16:55,-1.0,0.1,9.49,15.45
2018-10-09 22:31:55,-1.0,0.1,9.23,15.35
2018-10-09 22:46:55,-1.0,0.1,9.36,15.5
2018-10-09 23:01:55,-1.0,0.1,9.23,16.24
2018-10-09 23:16:55,-1.0,0.1,9.74,16.19
2018-10-09 23:31:55,-1.0,0.1,8.97,15.72
2018-10-09 23:46:55,-1.0,0.1,8.97,15.4
2018-10-10 00:01:55,-1.0,0.1,9.61,14.7
2018-10-10 00:16:55,-1.0,0.1,9.61,14.87
2018-10-10 00:31:55,-1.0,0.1,9.49,16.29
2018-10-10 00:46:55,-1.0,0.1,9.61,16.91
2018-10-10 01:01:55,-1.0,0.1,9.74,17.17
2018-10-10 01:16:55,-1.0,0.1,9.49,17.22
2018-10-10 01:31:55,-1.0,0.1,9.61,17.22
2018-10-10 01:46:55,-1.0,0.1,9.49,17.68
2018-10-10 02:01:55,-1.0,0.1,9.49,17.12
2018-10-10 02:16:55,-1.0,0.1,9.61,17.78
2018-10-10 02:31:55,-1.0,0.1,9.36,18.13
