capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-26 16:14:50,0.35,8.57,19.3,29.83
2018-09-26 16:29:50,0.35,7.93,19.42,29.17
2018-09-26 16:44:50,0.35,7.3,19.42,28.42
2018-09-26 16:59:50,0.35,6.61,19.8,27.8
2018-09-26 17:14:50,0.35,5.41,19.55,26.73
2018-09-26 17:29:50,0.35,4.65,19.68,25.83
2018-09-26 17:44:50,0.35,3.69,19.42,25.34
2018-09-26 17:59:50,0.35,2.47,19.68,24.84
2018-09-26 18:14:50,0.35,1.12,19.42,24.48
2018-09-26 18:29:50,0.35,0.21,19.8,23.6
2018-09-26 18:44:50,0.35,0.1,19.8,23.6
2018-09-26 18:59:50,0.35,0.1,19.55,23.19
2018-09-26 19:14:50,0.35,0.1,19.8,22.96
2018-09-26 19:29:50,0.35,0.1,19.56,22.86
2018-09-26 19:44:50,0.35,0.1,19.68,23.0
2018-09-26 19:59:50,0.35,0.1,19.68,22.86
2018-09-26 20:14:50,0.35,0.1,19.8,22.82
2018-09-26 20:29:50,0.35,0.1,19.55,22.58
2018-09-26 20:44:50,0.35,0.1,19.3,21.93
2018-09-26 20:59:50,0.35,0.1,19.55,21.12
2018-09-26 21:14:50,0.35,0.1,19.56,21.22
2018-09-26 21:29:50,0.35,0.1,19.56,21.17
2018-09-26 21:44:50,0.35,0.1,19.18,20.64
2018-09-26 21:59:50,0.35,0.1,19.31,21.03
2018-09-26 22:14:50,0.35,0.1,19.18,22.26
2018-09-26 22:29:50,0.35,0.1,19.68,22.12
2018-09-26 22:44:50,0.35,0.1,19.18,21.64
2018-09-26 22:59:50,0.35,0.1,19.43,21.6
2018-09-26 23:14:50,0.35,0.1,19.56,22.21
2018-09-26 23:29:50,0.35,0.1,19.43,22.07
2018-09-26 23:44:50,0.35,0.1,19.31,22.21
2018-09-26 23:59:50,0.35,0.1,19.43,22.21
2018-09-27 00:14:50,0.35,0.1,19.18,22.35
2018-09-27 00:29:50,0.35,0.1,19.43,22.58
2018-09-27 00:44:50,0.35,0.1,19.18,22.4
2018-09-27 00:59:50,0.35,0.1,19.18,22.21
2018-09-27 01:14:50,0.35,0.1,19.31,21.83
2018-09-27 01:29:50,0.35,0.1,19.3,21.55
2018-09-27 01:44:50,0.35,0.1,19.3,22.02
2018-09-27 01:59:50,0.35,0.1,18.93,22.16
2018-09-27 02:14:50,0.35,0.1,19.05,22.12
2018-09-27 02:29:50,0.35,0.1,19.3,21.45
2018-09-27 02:44:50,0.35,0.1,19.3,21.03
2018-09-27 02:59:50,0.35,0.1,19.3,20.88
2018-09-27 03:14:50,0.35,0.1,19.56,20.35
2018-09-27 03:29:50,0.35,0.1,19.18,20.35
2018-09-27 03:44:50,0.35,0.1,19.18,19.67
2018-09-27 03:59:50,0.35,0.1,19.05,19.53
2018-09-27 04:14:50,0.35,0.1,19.43,19.62
2018-09-27 04:29:50,0.35,0.1,19.43,18.54
2018-09-27 04:44:50,0.35,0.1,19.43,18.78
2018-09-27 04:59:50,0.35,0.1,19.56,19.53
2018-09-27 05:14:50,0.35,0.1,19.31,19.57
2018-09-27 05:29:50,0.35,0.1,19.44,19.62
2018-09-27 05:44:50,0.35,0.1,18.93,19.28
2018-09-27 05:59:50,0.35,0.1,19.31,18.93
2018-09-27 06:14:50,0.35,0.1,19.44,18.59
2018-09-27 06:29:50,0.35,0.75,19.06,18.34
2018-09-27 06:44:50,0.35,2.33,19.19,18.88
2018-09-27 06:59:50,0.35,4.33,19.31,19.57
2018-09-27 07:14:50,0.35,6.23,18.81,20.35
2018-09-27 07:29:50,0.35,7.4,19.19,21.36
2018-09-27 07:44:50,0.35,8.44,19.06,22.16
2018-09-27 07:59:50,0.35,9.53,19.44,22.96
2018-09-27 08:14:50,0.35,10.94,19.07,24.16
2018-09-27 08:29:50,0.35,20.98,19.07,26.51
2018-09-27 08:44:50,0.35,27.9,19.07,28.2
2018-09-27 08:59:50,0.35,25.08,18.82,29.79
2018-09-27 09:14:50,0.35,68.69,19.2,32.84
2018-09-27 09:29:50,0.35,75.57,18.81,35.45
2018-09-27 09:44:50,0.35,89.46,19.19,39.46
2018-09-27 09:59:50,0.35,93.56,19.06,40.48
2018-09-27 10:14:50,0.35,67.16,19.06,40.67
2018-09-27 10:29:50,0.35,103.83,19.18,39.03
2018-09-27 10:44:50,0.35,76.05,19.05,39.03
2018-09-27 10:59:50,0.35,71.55,19.05,39.12
2018-09-27 11:14:50,0.35,85.1,19.05,38.65
2018-09-27 11:29:50,0.35,60.4,18.8,39.27
2018-09-27 11:44:50,0.35,63.61,18.8,38.55
2018-09-27 11:59:50,0.35,40.37,18.8,38.37
2018-09-27 12:14:50,0.35,53.36,19.17,38.08
2018-09-27 12:29:50,0.35,72.41,19.17,39.27
2018-09-27 12:44:50,0.35,114.39,19.17,40.48
2018-09-27 12:59:50,0.35,104.71,43.87,30.01
2018-09-27 13:14:50,0.35,80.06,44.35,28.64
2018-09-27 13:29:50,0.35,62.94,44.59,27.8
2018-09-27 13:44:50,0.35,34.71,44.45,27.0
2018-09-27 13:59:50,0.35,57.77,44.83,26.82
2018-09-27 14:14:50,0.35,48.55,44.74,26.82
2018-09-27 14:29:50,0.53,53.61,44.97,27.09
2018-09-27 14:44:50,0.53,55.1,44.85,26.24
2018-09-27 14:59:50,0.53,52.42,35.01,26.64
2018-09-27 15:14:50,0.53,22.67,32.97,26.42
2018-09-27 15:29:50,0.53,14.58,31.78,26.01
2018-09-27 15:44:50,0.53,12.4,31.54,25.88
2018-09-27 15:59:50,0.53,11.3,31.06,25.83
2018-09-27 16:14:50,0.53,10.56,30.82,25.61
2018-09-27 16:29:50,0.53,9.42,30.7,25.29
2018-09-27 16:44:50,0.53,8.74,30.22,24.98
2018-09-27 16:59:50,0.53,8.08,30.34,24.61
2018-09-27 17:14:50,0.53,7.14,30.1,24.06
2018-09-27 17:29:50,0.53,5.82,29.98,23.37
2018-09-27 17:44:50,0.53,5.27,29.62,23.19
2018-09-27 17:59:50,0.53,2.63,29.5,22.49
2018-09-27 18:14:50,0.53,0.95,29.73,21.79
2018-09-27 18:29:50,0.53,0.15,29.38,20.83
2018-09-27 18:44:50,0.53,0.1,29.14,19.96
2018-09-27 18:59:50,0.53,0.1,29.02,20.26
2018-09-27 19:14:50,0.53,0.1,28.89,20.59
2018-09-27 19:29:50,0.53,0.1,29.13,20.5
2018-09-27 19:44:50,0.53,0.1,28.65,20.35
2018-09-27 19:59:50,0.53,0.1,28.89,20.5
2018-09-27 20:14:50,0.53,0.1,28.89,20.74
2018-09-27 20:29:50,0.53,0.1,28.77,20.26
2018-09-27 20:44:50,0.53,0.1,28.77,19.92
2018-09-27 20:59:50,0.53,0.1,28.64,19.67
2018-09-27 21:14:50,0.53,0.1,28.76,19.03
2018-09-27 21:29:50,0.53,0.1,28.52,18.83
2018-09-27 21:44:50,0.53,0.1,28.4,18.88
2018-09-27 21:59:50,0.53,0.1,28.28,19.23
2018-09-27 22:14:50,0.53,0.1,28.4,19.18
2018-09-27 22:29:50,0.53,0.1,28.16,19.13
2018-09-27 22:44:50,0.53,0.1,28.28,18.54
2018-09-27 22:59:50,0.53,0.1,28.27,18.88
2018-09-27 23:14:50,0.53,0.1,28.15,19.48
2018-09-27 23:29:50,0.53,0.1,28.39,19.67
2018-09-27 23:44:50,0.53,0.1,28.03,18.98
2018-09-27 23:59:50,0.53,0.1,28.15,18.49
2018-09-28 00:14:50,0.53,0.1,28.27,18.19
2018-09-28 00:29:50,0.53,0.1,28.27,18.39
2018-09-28 00:44:50,0.53,0.1,28.03,18.69
2018-09-28 00:59:50,0.53,0.1,28.03,19.08
2018-09-28 01:14:50,0.53,0.1,27.67,19.18
2018-09-28 01:29:50,0.53,0.1,27.79,18.39
2018-09-28 01:44:50,0.53,0.1,27.91,17.88
2018-09-28 01:59:50,0.53,0.1,28.02,17.63
2018-09-28 02:14:50,0.53,0.1,27.9,17.32
2018-09-28 02:29:50,0.53,0.1,28.02,17.22
2018-09-28 02:44:50,0.53,0.1,27.9,17.07
2018-09-28 02:59:50,0.53,0.1,27.78,16.97
2018-09-28 03:14:50,0.53,0.1,27.78,16.86
2018-09-28 03:29:50,0.53,0.1,27.9,16.76
2018-09-28 03:44:50,0.53,0.1,27.78,16.71
2018-09-28 03:59:50,0.53,0.1,27.66,16.6
2018-09-28 04:14:50,0.53,0.1,27.42,16.55
2018-09-28 04:29:50,0.53,0.1,27.3,16.55
2018-09-28 04:44:50,0.53,0.1,27.77,16.45
2018-09-28 04:59:50,0.53,0.1,27.77,16.29
2018-09-28 05:14:50,0.53,0.1,27.41,16.19
2018-09-28 05:29:50,0.53,0.1,27.53,16.29
2018-09-28 05:44:50,0.53,0.1,27.41,16.29
2018-09-28 05:59:50,0.53,0.1,27.65,16.19
2018-09-28 06:14:50,0.53,0.1,27.29,16.34
2018-09-28 06:29:50,0.53,0.67,27.41,16.71
2018-09-28 06:44:50,0.53,2.01,27.41,16.66
2018-09-28 06:59:50,0.53,3.72,27.41,17.38
2018-09-28 07:14:50,0.53,5.03,27.65,18.19
2018-09-28 07:29:50,0.53,6.47,27.65,18.98
2018-09-28 07:44:50,0.53,7.7,27.29,19.62
2018-09-28 07:59:50,0.53,9.56,27.29,20.4
2018-09-28 08:14:50,0.53,14.11,27.53,22.4
2018-09-28 08:29:50,0.53,16.54,27.41,23.74
2018-09-28 08:44:50,0.53,25.93,27.29,25.34
2018-09-28 08:59:50,0.53,28.45,27.29,27.09
2018-09-28 09:14:50,0.53,63.94,27.41,29.57
2018-09-28 09:29:50,0.53,76.05,27.17,30.54
2018-09-28 09:44:50,0.53,83.92,27.41,34.82
2018-09-28 09:59:50,0.53,92.15,27.29,35.04
2018-09-28 10:14:50,0.53,69.49,26.94,34.45
2018-09-28 10:29:50,0.53,78.0,27.29,33.87
2018-09-28 10:44:50,0.53,76.05,26.93,34.41
2018-09-28 10:59:50,0.53,52.89,26.93,34.01
2018-09-28 11:14:50,0.53,57.77,27.05,34.05
2018-09-28 11:29:50,0.53,66.79,26.93,34.1
2018-09-28 11:44:50,0.53,97.27,27.17,34.59
2018-09-28 11:59:50,0.53,40.94,27.17,35.18
2018-09-28 12:14:50,0.53,45.37,27.17,34.82
2018-09-28 12:29:50,0.53,76.05,26.7,36.27
2018-09-28 12:44:50,0.53,103.83,26.81,37.01
2018-09-28 12:59:50,0.53,74.64,26.93,38.37
2018-09-28 13:14:50,0.53,101.27,26.93,37.89
2018-09-28 13:29:50,0.53,81.67,26.7,35.95
2018-09-28 13:44:50,0.53,68.69,27.05,35.4
2018-09-28 13:59:50,0.53,64.29,26.81,33.96
2018-09-28 14:14:50,0.53,50.63,26.93,32.8
2018-09-28 14:29:50,0.53,74.18,26.57,32.53
2018-09-28 14:44:50,0.53,65.34,26.69,31.51
2018-09-28 14:59:50,0.53,27.3,26.93,30.41
2018-09-28 15:14:50,0.53,15.18,27.05,29.26
2018-09-28 15:29:50,0.53,11.81,26.81,28.77
2018-09-28 15:44:50,0.53,11.44,26.57,28.2
2018-09-28 15:59:50,0.53,10.51,26.81,27.58
2018-09-28 16:14:50,0.53,9.59,26.57,27.09
2018-09-28 16:29:50,0.53,8.79,26.93,26.6
2018-09-28 16:44:50,0.53,7.98,26.93,26.69
2018-09-28 16:59:50,0.53,7.15,26.45,26.24
2018-09-28 17:14:50,0.53,5.76,26.93,24.93
2018-09-28 17:29:50,0.53,4.79,26.57,24.02
2018-09-28 17:44:50,0.53,3.59,26.69,23.42
