capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-26 16:21:06,-1.0,38.02,8.1,37.29
2018-09-26 16:36:06,-1.0,54.86,8.36,35.72
2018-09-26 16:51:06,-1.0,45.14,8.36,33.16
2018-09-26 17:06:06,-1.0,13.06,8.1,31.12
2018-09-26 17:21:06,-1.0,14.31,8.1,29.83
2018-09-26 17:36:06,-1.0,10.56,8.23,28.46
2018-09-26 17:51:06,-1.0,5.82,7.85,26.91
2018-09-26 18:06:06,-1.0,3.1,7.98,25.61
2018-09-26 18:21:06,-1.0,1.0,8.1,24.75
2018-09-26 18:36:06,-1.0,0.1,8.1,24.11
2018-09-26 18:51:06,-1.0,0.1,8.23,23.74
2018-09-26 19:06:06,-1.0,0.1,7.85,23.47
2018-09-26 19:21:06,-1.0,0.1,8.1,23.33
2018-09-26 19:36:06,-1.0,0.1,8.1,23.51
2018-09-26 19:51:06,-1.0,0.1,7.98,23.47
2018-09-26 20:06:06,-1.0,0.1,8.1,23.6
2018-09-26 20:21:06,-1.0,0.1,7.98,23.28
2018-09-26 20:36:06,-1.0,0.1,8.23,22.54
2018-09-26 20:51:06,-1.0,0.1,8.23,21.74
2018-09-26 21:06:06,-1.0,0.1,7.85,21.5
2018-09-26 21:21:06,-1.0,0.1,8.1,21.55
2018-09-26 21:36:06,-1.0,0.1,7.98,21.97
2018-09-26 21:51:06,-1.0,0.1,7.98,20.83
2018-09-26 22:06:06,-1.0,0.1,7.98,22.21
2018-09-26 22:21:06,-1.0,0.1,8.1,22.4
2018-09-26 22:36:06,-1.0,0.1,7.85,22.16
2018-09-26 22:51:06,-1.0,0.1,7.98,21.88
2018-09-26 23:06:06,-1.0,0.1,8.23,22.49
2018-09-26 23:21:06,-1.0,0.1,7.72,22.35
2018-09-26 23:36:06,-1.0,0.1,8.23,22.49
2018-09-26 23:51:06,-1.0,0.1,7.72,22.68
2018-09-27 00:06:06,-1.0,0.1,8.23,22.63
2018-09-27 00:21:06,-1.0,0.1,7.98,22.68
2018-09-27 00:36:06,-1.0,0.1,8.23,22.68
2018-09-27 00:51:06,-1.0,0.1,7.72,22.54
2018-09-27 01:06:06,-1.0,0.1,7.98,22.4
2018-09-27 01:21:06,-1.0,0.1,7.72,21.83
2018-09-27 01:36:06,-1.0,0.1,7.98,21.74
2018-09-27 01:51:06,-1.0,0.1,7.85,22.02
2018-09-27 02:06:06,-1.0,0.1,7.85,22.35
2018-09-27 02:21:06,-1.0,0.1,7.98,21.79
2018-09-27 02:36:06,-1.0,0.1,7.72,21.12
2018-09-27 02:51:06,-1.0,0.1,7.47,20.79
2018-09-27 03:06:06,-1.0,0.1,8.1,20.45
2018-09-27 03:21:06,-1.0,0.1,7.72,20.55
2018-09-27 03:36:06,-1.0,0.1,7.85,20.16
2018-09-27 03:51:06,-1.0,0.1,7.98,19.96
2018-09-27 04:06:06,-1.0,0.1,7.85,19.92
2018-09-27 04:21:06,-1.0,0.1,7.72,19.57
2018-09-27 04:36:06,-1.0,0.1,7.47,18.98
2018-09-27 04:51:06,-1.0,0.1,7.72,19.33
2018-09-27 05:06:06,-1.0,0.1,7.85,19.48
2018-09-27 05:21:06,-1.0,0.1,7.85,19.53
2018-09-27 05:36:06,-1.0,0.1,7.85,19.53
2018-09-27 05:51:06,-1.0,0.1,8.1,19.53
2018-09-27 06:06:06,-1.0,0.1,7.47,19.13
2018-09-27 06:21:06,-1.0,0.38,7.6,18.54
2018-09-27 06:36:06,-1.0,1.92,7.98,19.38
2018-09-27 06:51:06,-1.0,4.66,7.85,19.62
2018-09-27 07:06:06,-1.0,7.77,7.98,20.4
2018-09-27 07:21:06,-1.0,18.72,7.72,24.61
2018-09-27 07:36:06,-1.0,24.13,8.1,27.98
2018-09-27 07:51:06,-1.0,36.97,7.98,30.94
2018-09-27 08:06:06,-1.0,45.9,7.85,33.29
2018-09-27 08:21:06,-1.0,54.05,7.98,33.07
2018-09-27 08:36:06,-1.0,60.91,7.98,35.36
2018-09-27 08:51:06,-1.0,65.58,7.85,35.18
2018-09-27 09:06:06,-1.0,81.3,7.6,38.93
2018-09-27 09:21:06,-1.0,88.99,7.6,41.12
2018-09-27 09:36:06,-1.0,94.16,7.98,42.52
2018-09-27 09:51:06,-1.0,99.94,8.1,44.64
2018-09-27 10:06:06,-1.0,105.48,7.47,46.09
2018-09-27 10:21:06,-1.0,110.58,7.85,44.53
2018-09-27 10:36:06,-1.0,118.56,7.98,44.96
2018-09-27 10:51:06,-1.0,124.99,7.98,45.01
2018-09-27 11:06:06,-1.0,132.13,8.1,46.74
2018-09-27 11:21:06,-1.0,135.21,7.98,46.74
2018-09-27 11:36:06,-1.0,140.1,8.23,47.08
2018-09-27 11:51:06,-1.0,141.81,7.85,46.3
2018-09-27 12:06:06,-1.0,143.56,7.72,46.74
2018-09-27 12:21:06,-1.0,143.56,7.98,47.8
2018-09-27 12:36:06,-1.0,143.56,7.85,46.69
2018-09-27 12:51:06,-1.0,143.56,8.1,46.74
2018-09-27 13:06:06,-1.0,141.81,8.1,45.17
