capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-26 16:21:29,-1.0,19.73,10.47,32.09
2018-09-26 16:36:29,-1.0,5.88,10.6,27.8
2018-09-26 16:51:29,-1.0,4.18,10.6,27.22
2018-09-26 17:06:29,-1.0,2.3,10.99,26.64
2018-09-26 17:21:29,-1.0,0.7,10.86,25.92
2018-09-26 17:36:29,-1.0,0.1,10.86,25.65
2018-09-26 17:51:29,-1.0,0.1,10.86,25.43
2018-09-26 18:06:29,-1.0,0.1,10.6,25.25
2018-09-26 18:21:29,-1.0,0.1,10.86,25.34
2018-09-26 18:36:29,-1.0,0.1,10.86,25.16
2018-09-26 18:51:29,-1.0,0.1,10.86,25.38
2018-09-26 19:06:29,-1.0,0.1,10.99,25.11
2018-09-26 19:21:29,-1.0,0.1,10.6,25.16
2018-09-26 19:36:29,-1.0,0.1,10.86,24.52
2018-09-26 19:51:29,-1.0,0.1,10.99,24.29
2018-09-26 20:06:29,-1.0,0.1,10.99,24.29
2018-09-26 20:21:29,-1.0,0.1,10.99,23.97
2018-09-26 20:36:29,-1.0,0.1,10.73,24.02
2018-09-26 20:51:29,-1.0,0.1,10.73,23.74
2018-09-26 21:06:29,-1.0,0.1,10.86,24.48
2018-09-26 21:21:29,-1.0,0.1,10.86,24.7
2018-09-26 21:36:29,-1.0,0.1,10.73,24.48
2018-09-26 21:51:29,-1.0,0.1,10.6,24.16
2018-09-26 22:06:29,-1.0,0.1,10.86,24.43
2018-09-26 22:21:29,-1.0,0.1,10.73,24.2
2018-09-26 22:36:29,-1.0,0.1,10.86,24.29
2018-09-26 22:51:29,-1.0,0.1,10.73,24.34
2018-09-26 23:06:29,-1.0,0.1,10.47,24.38
2018-09-26 23:21:29,-1.0,0.1,10.73,24.48
2018-09-26 23:36:29,-1.0,0.1,10.73,24.48
2018-09-26 23:51:29,-1.0,0.1,10.47,24.48
2018-09-27 00:06:29,-1.0,0.1,10.6,24.16
2018-09-27 00:21:29,-1.0,0.1,10.86,23.51
2018-09-27 00:36:29,-1.0,0.1,10.35,23.7
2018-09-27 00:51:29,-1.0,0.1,10.47,24.06
2018-09-27 01:06:29,-1.0,0.1,10.47,23.93
2018-09-27 01:21:29,-1.0,0.1,10.35,23.7
2018-09-27 01:36:29,-1.0,0.1,10.6,23.42
2018-09-27 01:51:29,-1.0,0.1,10.86,22.91
2018-09-27 02:06:29,-1.0,0.1,10.6,22.63
2018-09-27 02:21:29,-1.0,0.1,10.73,22.49
2018-09-27 02:36:29,-1.0,0.1,10.99,22.21
2018-09-27 02:51:29,-1.0,0.1,10.35,22.12
2018-09-27 03:06:29,-1.0,0.1,10.73,21.93
2018-09-27 03:21:29,-1.0,0.1,10.86,21.69
2018-09-27 03:36:29,-1.0,0.1,10.73,21.69
2018-09-27 03:51:29,-1.0,0.1,10.47,21.83
2018-09-27 04:06:29,-1.0,0.1,10.6,21.83
2018-09-27 04:21:29,-1.0,0.1,10.73,21.83
2018-09-27 04:36:29,-1.0,0.1,10.73,21.83
2018-09-27 04:51:29,-1.0,0.1,10.73,21.5
2018-09-27 05:06:29,-1.0,0.1,10.73,21.36
2018-09-27 05:21:29,-1.0,0.34,10.73,21.22
2018-09-27 05:36:29,-1.0,1.61,10.47,21.69
2018-09-27 05:51:29,-1.0,3.66,10.73,21.93
2018-09-27 06:06:29,-1.0,5.77,10.73,22.91
2018-09-27 06:21:29,-1.0,7.39,10.47,24.06
2018-09-27 06:36:29,-1.0,8.7,10.47,25.07
2018-09-27 06:51:29,-1.0,9.67,10.47,25.97
2018-09-27 07:06:29,-1.0,10.58,10.86,27.0
2018-09-27 07:21:29,-1.0,12.67,10.86,27.84
2018-09-27 07:36:29,-1.0,12.47,10.73,28.6
2018-09-27 07:51:29,-1.0,12.72,10.35,29.3
2018-09-27 08:06:29,-1.0,16.11,10.73,30.28
2018-09-27 08:21:29,-1.0,18.74,10.73,32.04
2018-09-27 08:36:29,-1.0,52.9,10.73,34.45
2018-09-27 08:51:29,-1.0,75.84,10.73,38.51
2018-09-27 09:06:29,-1.0,81.56,10.47,40.82
2018-09-27 09:21:29,-1.0,87.38,10.47,42.42
2018-09-27 09:36:29,-1.0,41.71,10.99,39.51
2018-09-27 09:51:29,-1.0,20.83,10.86,37.06
2018-09-27 10:06:29,-1.0,37.23,10.6,36.36
2018-09-27 10:21:29,-1.0,34.73,10.99,37.15
2018-09-27 10:36:29,-1.0,105.09,10.99,43.96
2018-09-27 10:51:29,-1.0,103.99,10.99,40.97
2018-09-27 11:06:29,-1.0,107.37,11.11,44.27
2018-09-27 11:21:29,-1.0,107.37,10.73,42.67
2018-09-27 11:36:29,-1.0,105.09,10.6,38.93
2018-09-27 11:51:29,-1.0,105.09,10.99,41.46
2018-09-27 12:06:29,-1.0,48.33,10.99,34.59
2018-09-27 12:21:29,-1.0,23.77,10.86,34.01
2018-09-27 12:36:29,-1.0,33.24,10.99,34.5
2018-09-27 12:51:29,-1.0,20.68,11.11,33.65
2018-09-27 13:06:29,-1.0,31.12,10.86,33.42
2018-09-27 13:21:29,-1.0,32.66,10.99,33.2
2018-09-27 13:36:29,-1.0,16.2,10.6,33.07
2018-09-27 13:51:29,-1.0,25.22,10.99,36.55
2018-09-27 14:06:29,-1.0,26.77,10.6,33.74
2018-09-27 14:21:29,-1.0,59.12,11.11,37.33
2018-09-27 14:36:29,-1.0,44.26,10.73,35.72
2018-09-27 14:51:29,-1.0,50.12,10.99,38.08
2018-09-27 15:06:29,-1.0,42.27,10.86,38.51
2018-09-27 15:21:29,-1.0,36.94,11.11,38.04
2018-09-27 15:36:29,-1.0,24.09,10.99,37.52
2018-09-27 15:51:29,-1.0,22.1,10.99,34.54
2018-09-27 16:06:29,-1.0,21.32,10.99,34.14
2018-09-27 16:21:29,-1.0,17.2,10.73,33.16
2018-09-27 16:36:29,-1.0,7.24,10.73,28.07
2018-09-27 16:51:29,-1.0,4.7,10.6,27.36
2018-09-27 17:06:29,-1.0,2.26,10.86,26.06
2018-09-27 17:21:29,-1.0,0.58,11.11,24.66
2018-09-27 17:36:29,-1.0,0.1,11.11,23.51
2018-09-27 17:51:29,-1.0,0.1,10.6,22.68
2018-09-27 18:06:29,-1.0,0.1,11.11,23.79
2018-09-27 18:21:29,-1.0,0.1,10.73,23.14
2018-09-27 18:36:29,-1.0,0.1,10.86,23.24
2018-09-27 18:51:29,-1.0,0.1,10.6,23.79
2018-09-27 19:06:29,-1.0,0.1,10.86,23.51
2018-09-27 19:21:29,-1.0,0.1,10.35,23.47
2018-09-27 19:36:29,-1.0,0.1,10.6,23.05
2018-09-27 19:51:29,-1.0,0.1,10.86,22.91
2018-09-27 20:06:29,-1.0,0.1,10.86,21.79
2018-09-27 20:21:29,-1.0,0.1,10.6,21.45
2018-09-27 20:36:29,-1.0,0.1,10.6,21.36
2018-09-27 20:51:29,-1.0,0.1,10.99,22.12
2018-09-27 21:06:29,-1.0,0.1,10.73,22.26
2018-09-27 21:21:29,-1.0,0.1,10.35,21.88
2018-09-27 21:36:29,-1.0,0.1,10.99,21.64
2018-09-27 21:51:29,-1.0,0.1,10.35,21.88
2018-09-27 22:06:29,-1.0,0.1,10.86,22.07
2018-09-27 22:21:29,-1.0,0.1,10.73,22.21
2018-09-27 22:36:29,-1.0,0.1,10.35,21.79
2018-09-27 22:51:29,-1.0,0.1,10.99,21.31
2018-09-27 23:06:29,-1.0,0.1,10.73,20.93
2018-09-27 23:21:29,-1.0,0.1,10.73,20.83
2018-09-27 23:36:29,-1.0,0.1,10.47,20.59
2018-09-27 23:51:29,-1.0,0.1,10.73,20.93
2018-09-28 00:06:29,-1.0,0.1,10.47,21.17
2018-09-28 00:21:29,-1.0,0.1,10.73,21.5
2018-09-28 00:36:29,-1.0,0.1,10.73,20.88
2018-09-28 00:51:29,-1.0,0.1,10.35,20.79
2018-09-28 01:06:29,-1.0,0.1,10.86,20.69
2018-09-28 01:21:29,-1.0,0.1,10.86,20.45
2018-09-28 01:36:29,-1.0,0.1,10.73,20.83
2018-09-28 01:51:29,-1.0,0.1,10.47,19.87
2018-09-28 02:06:29,-1.0,0.1,10.86,20.01
2018-09-28 02:21:29,-1.0,0.1,10.6,19.72
2018-09-28 02:36:29,-1.0,0.1,10.47,19.82
2018-09-28 02:51:29,-1.0,0.1,10.99,20.11
2018-09-28 03:06:29,-1.0,0.1,10.47,20.16
