capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-26 16:16:44,-1.0,23.05,12.08,33.6
2018-09-26 16:31:44,-1.0,38.39,12.33,33.74
2018-09-26 16:46:44,-1.0,26.98,11.82,33.33
2018-09-26 17:01:44,-1.0,20.1,11.95,32.4
2018-09-26 17:16:44,-1.0,11.0,12.08,31.16
2018-09-26 17:31:44,-1.0,12.27,12.33,30.36
2018-09-26 17:46:44,-1.0,4.23,11.82,28.69
2018-09-26 18:01:44,-1.0,2.44,12.21,27.04
2018-09-26 18:16:44,-1.0,0.95,11.95,26.24
2018-09-26 18:31:44,-1.0,0.1,11.82,25.47
2018-09-26 18:46:44,-1.0,0.1,12.33,25.11
2018-09-26 19:01:44,-1.0,0.1,12.08,24.79
2018-09-26 19:16:44,-1.0,0.1,12.08,24.7
2018-09-26 19:31:44,-1.0,0.1,12.08,24.52
2018-09-26 19:46:44,-1.0,0.1,12.33,24.79
2018-09-26 20:01:44,-1.0,0.1,11.95,24.61
2018-09-26 20:16:44,-1.0,0.1,11.69,24.34
2018-09-26 20:31:44,-1.0,0.1,11.69,23.93
2018-09-26 20:46:44,-1.0,0.1,12.08,23.14
2018-09-26 21:01:44,-1.0,0.1,12.08,22.63
2018-09-26 21:16:44,-1.0,0.1,12.21,21.88
2018-09-26 21:31:44,-1.0,0.1,11.95,22.16
2018-09-26 21:46:44,-1.0,0.1,11.69,21.36
2018-09-26 22:01:44,-1.0,0.1,12.08,22.44
2018-09-26 22:16:44,-1.0,0.1,11.69,23.51
2018-09-26 22:31:44,-1.0,0.1,11.95,23.24
2018-09-26 22:46:44,-1.0,0.1,11.82,22.77
2018-09-26 23:01:44,-1.0,0.1,12.21,22.91
2018-09-26 23:16:44,-1.0,0.1,12.08,23.0
2018-09-26 23:31:44,-1.0,0.1,11.82,23.24
2018-09-26 23:46:44,-1.0,0.1,12.33,23.28
2018-09-27 00:01:44,-1.0,0.1,12.21,23.24
2018-09-27 00:16:44,-1.0,0.1,12.21,23.47
2018-09-27 00:31:44,-1.0,0.1,12.33,23.65
2018-09-27 00:46:44,-1.0,0.1,12.08,23.28
2018-09-27 01:01:44,-1.0,0.1,12.21,23.47
2018-09-27 01:16:44,-1.0,0.1,12.08,22.58
2018-09-27 01:31:44,-1.0,0.1,12.08,22.72
2018-09-27 01:46:44,-1.0,0.1,11.69,23.14
2018-09-27 02:01:44,-1.0,0.1,11.95,23.19
2018-09-27 02:16:44,-1.0,0.1,12.08,22.63
2018-09-27 02:31:44,-1.0,0.1,12.21,22.12
2018-09-27 02:46:44,-1.0,0.1,11.82,22.02
2018-09-27 03:01:44,-1.0,0.1,11.82,21.5
2018-09-27 03:16:44,-1.0,0.1,11.95,20.64
2018-09-27 03:31:44,-1.0,0.1,12.33,20.64
2018-09-27 03:46:44,-1.0,0.1,12.33,20.16
2018-09-27 04:01:44,-1.0,0.1,11.82,20.3
2018-09-27 04:16:44,-1.0,0.1,11.57,19.77
2018-09-27 04:31:44,-1.0,0.1,11.82,19.67
2018-09-27 04:46:44,-1.0,0.1,12.08,20.35
2018-09-27 05:01:44,-1.0,0.1,12.08,20.5
2018-09-27 05:16:44,-1.0,0.1,12.08,20.55
2018-09-27 05:31:44,-1.0,0.1,11.82,20.16
2018-09-27 05:46:44,-1.0,0.1,12.08,19.87
2018-09-27 06:01:44,-1.0,0.1,11.95,19.62
2018-09-27 06:16:44,-1.0,0.15,11.69,19.48
2018-09-27 06:31:44,-1.0,0.97,12.21,19.57
2018-09-27 06:46:44,-1.0,2.75,12.08,20.45
2018-09-27 07:01:44,-1.0,4.89,12.08,21.03
2018-09-27 07:16:44,-1.0,7.15,12.08,22.54
2018-09-27 07:31:44,-1.0,9.54,11.57,24.7
2018-09-27 07:46:44,-1.0,21.8,12.21,26.95
2018-09-27 08:01:44,-1.0,37.43,12.08,31.2
2018-09-27 08:16:44,-1.0,38.51,11.69,35.27
2018-09-27 08:31:44,-1.0,49.55,11.57,38.89
2018-09-27 08:46:44,-1.0,53.93,11.69,39.7
2018-09-27 09:01:44,-1.0,64.02,11.95,43.33
2018-09-27 09:16:44,-1.0,67.14,11.69,46.25
2018-09-27 09:31:44,-1.0,48.57,11.57,45.44
2018-09-27 09:46:44,-1.0,71.8,12.21,45.01
2018-09-27 10:01:44,-1.0,80.08,11.95,47.97
2018-09-27 10:16:44,-1.0,86.12,11.95,44.43
2018-09-27 10:31:44,-1.0,53.22,12.21,48.77
2018-09-27 10:46:44,-1.0,98.93,12.21,49.53
2018-09-27 11:01:44,-1.0,103.78,11.95,49.53
2018-09-27 11:16:44,-1.0,105.51,11.57,51.56
2018-09-27 11:31:44,-1.0,109.12,11.95,52.93
2018-09-27 11:46:44,-1.0,111.02,11.69,52.93
2018-09-27 12:01:44,-1.0,111.99,11.69,51.99
2018-09-27 12:16:44,-1.0,111.99,11.69,52.24
2018-09-27 12:31:44,-1.0,112.98,12.21,51.99
2018-09-27 12:46:44,-1.0,93.81,11.69,50.89
2018-09-27 13:01:44,-1.0,93.12,12.08,49.82
2018-09-27 13:16:44,-1.0,104.64,12.46,50.3
2018-09-27 13:31:44,-1.0,40.05,12.59,45.98
2018-09-27 13:46:44,-1.0,28.34,12.59,42.52
2018-09-27 14:01:44,-1.0,70.18,12.46,42.87
2018-09-27 14:16:44,-1.0,82.18,12.33,43.85
2018-09-27 14:31:44,-1.0,77.6,12.84,44.32
2018-09-27 14:46:44,-1.0,28.14,12.59,39.7
2018-09-27 15:01:44,-1.0,15.33,12.84,37.75
2018-09-27 15:16:44,-1.0,14.34,13.1,34.86
2018-09-27 15:31:44,-1.0,13.39,13.48,34.27
2018-09-27 15:46:44,-1.0,26.2,13.74,34.27
2018-09-27 16:01:44,-1.0,25.91,14.12,34.5
2018-09-27 16:16:44,-1.0,18.55,13.61,33.65
2018-09-27 16:31:44,-1.0,35.97,13.86,34.41
2018-09-27 16:46:44,-1.0,27.29,14.12,33.83
2018-09-27 17:01:44,-1.0,21.21,13.86,33.42
2018-09-27 17:16:44,-1.0,10.52,14.25,31.96
2018-09-27 17:31:44,-1.0,8.52,14.37,30.14
2018-09-27 17:46:44,-1.0,5.72,14.37,29.0
2018-09-27 18:01:44,-1.0,2.45,14.37,27.27
2018-09-27 18:16:44,-1.0,0.8,14.63,25.61
2018-09-27 18:31:44,-1.0,0.1,14.37,24.11
2018-09-27 18:46:44,-1.0,0.1,14.25,23.19
2018-09-27 19:01:44,-1.0,0.1,14.37,23.42
