capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-26 16:19:48,-1.0,7.54,12.65,32.27
2018-09-26 16:34:48,-1.0,10.99,12.39,32.4
2018-09-26 16:49:48,-1.0,19.55,12.65,31.12
2018-09-26 17:04:48,-1.0,1.79,12.78,28.55
2018-09-26 17:19:48,-1.0,1.34,12.52,27.98
2018-09-26 17:34:48,-1.0,1.03,12.52,27.62
2018-09-26 17:49:48,-1.0,0.68,12.52,27.18
2018-09-26 18:04:48,-1.0,0.34,12.52,26.78
2018-09-26 18:19:48,-1.0,0.1,12.12,26.33
2018-09-26 18:34:48,-1.0,0.1,12.52,26.01
2018-09-26 18:49:48,-1.0,0.1,12.52,25.83
2018-09-26 19:04:48,-1.0,0.1,11.99,25.7
2018-09-26 19:19:48,-1.0,0.1,12.52,25.61
2018-09-26 19:34:48,-1.0,0.1,12.26,25.56
2018-09-26 19:49:48,-1.0,0.1,12.52,25.52
2018-09-26 20:04:48,-1.0,0.1,12.52,25.43
2018-09-26 20:19:48,-1.0,0.1,12.12,25.25
2018-09-26 20:34:48,-1.0,0.1,12.65,25.11
2018-09-26 20:49:48,-1.0,0.1,12.52,24.84
2018-09-26 21:04:48,-1.0,0.1,12.39,24.66
2018-09-26 21:19:48,-1.0,0.1,12.12,24.48
2018-09-26 21:34:48,-1.0,0.1,12.12,24.57
2018-09-26 21:49:48,-1.0,0.1,12.52,24.2
2018-09-26 22:04:48,-1.0,0.1,12.52,24.48
2018-09-26 22:19:48,-1.0,0.1,12.52,24.61
2018-09-26 22:34:48,-1.0,0.1,12.52,24.66
2018-09-26 22:49:48,-1.0,0.1,12.26,24.43
2018-09-26 23:04:48,-1.0,0.1,12.26,24.57
2018-09-26 23:19:48,-1.0,0.1,12.12,24.43
2018-09-26 23:34:48,-1.0,0.1,12.39,24.43
2018-09-26 23:49:48,-1.0,0.1,12.26,24.48
2018-09-27 00:04:48,-1.0,0.1,12.52,24.38
2018-09-27 00:19:48,-1.0,0.1,12.52,24.43
2018-09-27 00:34:48,-1.0,0.1,12.39,24.38
2018-09-27 00:49:48,-1.0,0.1,12.12,24.29
2018-09-27 01:04:48,-1.0,0.1,12.39,24.34
2018-09-27 01:19:48,-1.0,0.1,12.52,24.06
2018-09-27 01:34:48,-1.0,0.1,12.39,23.97
2018-09-27 01:49:48,-1.0,0.1,12.65,24.11
2018-09-27 02:04:48,-1.0,0.1,11.99,24.2
2018-09-27 02:19:48,-1.0,0.1,12.12,23.97
2018-09-27 02:34:48,-1.0,0.1,11.99,23.7
2018-09-27 02:49:48,-1.0,0.1,12.65,23.51
2018-09-27 03:04:48,-1.0,0.1,12.26,23.24
2018-09-27 03:19:48,-1.0,0.1,12.12,23.05
2018-09-27 03:34:48,-1.0,0.1,12.52,22.82
2018-09-27 03:49:48,-1.0,0.1,12.39,22.58
2018-09-27 04:04:48,-1.0,0.1,12.26,22.58
2018-09-27 04:19:48,-1.0,0.1,12.12,22.4
2018-09-27 04:34:48,-1.0,0.1,12.52,22.35
2018-09-27 04:49:48,-1.0,0.1,12.39,22.21
2018-09-27 05:04:48,-1.0,0.1,12.26,22.26
2018-09-27 05:19:48,-1.0,0.1,12.26,22.26
2018-09-27 05:34:48,-1.0,0.1,12.12,22.16
2018-09-27 05:49:48,-1.0,0.1,12.39,22.02
2018-09-27 06:04:48,-1.0,0.1,12.39,21.97
2018-09-27 06:19:48,-1.0,0.1,11.99,22.07
2018-09-27 06:34:48,-1.0,0.17,11.99,22.02
2018-09-27 06:49:48,-1.0,0.44,11.99,22.07
2018-09-27 07:04:48,-1.0,0.83,12.52,22.44
2018-09-27 07:19:48,-1.0,1.28,12.52,23.56
2018-09-27 07:34:48,-1.0,1.72,12.39,24.75
2018-09-27 07:49:48,-1.0,2.0,12.26,26.78
2018-09-27 08:04:48,-1.0,5.07,12.26,27.0
2018-09-27 08:19:48,-1.0,2.7,12.39,27.22
2018-09-27 08:34:48,-1.0,3.02,12.39,27.49
2018-09-27 08:49:48,-1.0,45.86,12.39,32.0
2018-09-27 09:04:48,-1.0,32.1,12.39,35.95
2018-09-27 09:19:48,-1.0,11.56,12.52,32.44
2018-09-27 09:34:48,-1.0,5.43,12.65,29.83
2018-09-27 09:49:48,-1.0,5.42,12.39,29.83
2018-09-27 10:04:48,-1.0,5.77,12.12,30.19
2018-09-27 10:19:48,-1.0,4.26,11.99,29.44
2018-09-27 10:34:48,-1.0,3.07,12.65,29.04
2018-09-27 10:49:48,-1.0,2.57,12.12,29.08
2018-09-27 11:04:48,-1.0,2.95,11.99,29.04
2018-09-27 11:19:48,-1.0,5.4,12.39,29.57
2018-09-27 11:34:48,-1.0,21.45,12.52,29.08
2018-09-27 11:49:48,-1.0,3.9,12.39,28.95
2018-09-27 12:04:48,-1.0,6.14,12.26,29.04
2018-09-27 12:19:48,-1.0,19.75,12.39,30.72
2018-09-27 12:34:48,-1.0,3.01,12.52,30.41
2018-09-27 12:49:48,-1.0,3.34,12.26,29.57
2018-09-27 13:04:48,-1.0,3.16,12.26,28.82
2018-09-27 13:19:48,-1.0,3.01,12.52,29.22
2018-09-27 13:34:48,-1.0,3.26,12.39,29.08
2018-09-27 13:49:48,-1.0,3.1,12.65,29.08
2018-09-27 14:04:48,-1.0,4.82,12.65,29.39
2018-09-27 14:19:48,-1.0,3.07,12.39,29.3
2018-09-27 14:34:48,-1.0,3.15,12.52,29.97
2018-09-27 14:49:48,-1.0,3.21,12.39,29.97
2018-09-27 15:04:48,-1.0,3.39,12.39,30.45
2018-09-27 15:19:48,-1.0,3.45,12.39,31.43
2018-09-27 15:34:48,-1.0,3.55,12.39,31.12
2018-09-27 15:49:48,-1.0,24.96,11.99,31.78
2018-09-27 16:04:48,-1.0,22.44,12.12,33.29
2018-09-27 16:19:48,-1.0,7.21,12.39,32.09
2018-09-27 16:34:48,-1.0,5.94,12.39,31.78
2018-09-27 16:49:48,-1.0,13.39,12.12,30.72
2018-09-27 17:04:48,-1.0,1.84,12.39,28.55
2018-09-27 17:19:48,-1.0,1.41,12.26,27.49
2018-09-27 17:34:48,-1.0,1.02,12.12,27.09
2018-09-27 17:49:48,-1.0,0.66,12.65,26.6
2018-09-27 18:04:48,-1.0,0.28,12.39,26.06
2018-09-27 18:19:48,-1.0,0.1,12.65,25.34
2018-09-27 18:34:48,-1.0,0.1,12.52,24.7
2018-09-27 18:49:48,-1.0,0.1,12.39,24.43
2018-09-27 19:04:48,-1.0,0.1,12.65,24.57
2018-09-27 19:19:48,-1.0,0.1,12.39,24.61
2018-09-27 19:34:48,-1.0,0.1,12.39,24.61
2018-09-27 19:49:48,-1.0,0.1,11.86,24.29
2018-09-27 20:04:48,-1.0,0.1,12.26,24.2
2018-09-27 20:19:48,-1.0,0.1,11.99,24.02
2018-09-27 20:34:48,-1.0,0.1,12.39,23.6
2018-09-27 20:49:48,-1.0,0.1,12.12,23.37
2018-09-27 21:04:48,-1.0,0.1,12.39,22.91
2018-09-27 21:19:48,-1.0,0.1,12.39,22.77
2018-09-27 21:34:48,-1.0,0.1,12.65,22.68
2018-09-27 21:49:48,-1.0,0.1,12.26,22.44
2018-09-27 22:04:48,-1.0,0.1,12.65,22.35
2018-09-27 22:19:48,-1.0,0.1,12.65,22.3
2018-09-27 22:34:48,-1.0,0.1,12.39,22.16
2018-09-27 22:49:48,-1.0,0.1,11.99,21.97
2018-09-27 23:04:48,-1.0,0.1,12.26,21.88
2018-09-27 23:19:48,-1.0,0.1,12.12,22.12
2018-09-27 23:34:48,-1.0,0.1,12.39,21.93
2018-09-27 23:49:48,-1.0,0.1,12.39,21.88
2018-09-28 00:04:48,-1.0,0.1,12.26,21.6
2018-09-28 00:19:48,-1.0,0.1,12.39,21.36
2018-09-28 00:34:48,-1.0,0.1,12.65,21.55
2018-09-28 00:49:48,-1.0,0.1,12.12,21.45
2018-09-28 01:04:48,-1.0,0.1,12.39,21.55
2018-09-28 01:19:48,-1.0,0.1,12.39,21.79
2018-09-28 01:34:48,-1.0,0.1,12.12,21.41
2018-09-28 01:49:48,-1.0,0.1,12.39,21.03
2018-09-28 02:04:48,-1.0,0.1,12.52,21.03
2018-09-28 02:19:48,-1.0,0.1,12.39,20.74
2018-09-28 02:34:48,-1.0,0.1,12.26,20.55
2018-09-28 02:49:48,-1.0,0.1,12.12,20.5
2018-09-28 03:04:48,-1.0,0.1,12.12,20.26
2018-09-28 03:19:48,-1.0,0.1,12.39,20.11
2018-09-28 03:34:48,-1.0,0.1,12.12,20.16
2018-09-28 03:49:48,-1.0,0.1,12.39,20.16
2018-09-28 04:04:48,-1.0,0.1,12.39,20.26
2018-09-28 04:19:48,-1.0,0.1,12.39,19.96
2018-09-28 04:34:48,-1.0,0.1,12.39,20.06
2018-09-28 04:49:48,-1.0,0.1,12.39,19.87
2018-09-28 05:04:48,-1.0,0.1,11.99,19.77
2018-09-28 05:19:48,-1.0,0.1,12.39,20.16
2018-09-28 05:34:48,-1.0,0.1,12.39,20.5
2018-09-28 05:49:48,-1.0,0.1,12.39,20.4
2018-09-28 06:04:48,-1.0,0.1,12.39,20.59
2018-09-28 06:19:48,-1.0,0.1,12.12,20.74
2018-09-28 06:34:48,-1.0,0.16,11.99,20.83
2018-09-28 06:49:48,-1.0,0.39,11.99,20.59
2018-09-28 07:04:48,-1.0,0.76,11.99,20.88
2018-09-28 07:19:48,-1.0,1.27,12.12,21.64
2018-09-28 07:34:48,-1.0,4.1,11.86,22.58
2018-09-28 07:49:48,-1.0,5.97,12.39,24.7
2018-09-28 08:04:48,-1.0,4.98,12.26,25.11
2018-09-28 08:19:48,-1.0,4.39,12.12,26.37
2018-09-28 08:34:48,-1.0,3.35,12.39,26.46
2018-09-28 08:49:48,-1.0,41.37,12.39,32.67
2018-09-28 09:04:48,-1.0,17.69,12.65,34.68
2018-09-28 09:19:48,-1.0,9.35,12.26,31.25
2018-09-28 09:34:48,-1.0,3.38,12.39,29.66
2018-09-28 09:49:48,-1.0,6.67,12.39,29.53
2018-09-28 10:04:48,-1.0,2.99,12.52,29.48
2018-09-28 10:19:48,-1.0,4.28,12.39,28.91
2018-09-28 10:34:48,-1.0,3.17,12.65,28.6
2018-09-28 10:49:48,-1.0,2.84,12.39,28.2
2018-09-28 11:04:48,-1.0,2.77,12.52,29.0
2018-09-28 11:19:48,-1.0,6.49,12.39,28.46
2018-09-28 11:34:48,-1.0,5.79,12.39,28.55
2018-09-28 11:49:48,-1.0,6.06,12.52,28.69
2018-09-28 12:04:48,-1.0,14.17,12.26,29.0
2018-09-28 12:19:48,-1.0,20.0,12.12,30.1
2018-09-28 12:34:48,-1.0,3.93,12.65,30.5
2018-09-28 12:49:48,-1.0,3.86,12.39,29.0
2018-09-28 13:04:48,-1.0,3.86,12.52,28.64
2018-09-28 13:19:48,-1.0,3.71,12.52,28.55
2018-09-28 13:34:48,-1.0,2.79,12.26,28.95
2018-09-28 13:49:48,-1.0,2.9,12.65,28.91
2018-09-28 14:04:48,-1.0,8.42,11.99,29.13
2018-09-28 14:19:48,-1.0,4.6,12.39,29.26
2018-09-28 14:34:48,-1.0,3.32,12.39,29.26
2018-09-28 14:49:48,-1.0,2.92,12.39,28.95
2018-09-28 15:04:48,-1.0,3.07,12.12,29.97
2018-09-28 15:19:48,-1.0,3.2,12.39,29.88
2018-09-28 15:34:48,-1.0,3.31,12.26,29.88
2018-09-28 15:49:48,-1.0,10.34,12.39,30.28
2018-09-28 16:04:48,-1.0,20.16,12.39,31.29
2018-09-28 16:19:48,-1.0,5.23,12.39,30.01
2018-09-28 16:34:48,-1.0,8.76,12.65,30.06
2018-09-28 16:49:48,-1.0,15.19,12.65,29.88
2018-09-28 17:04:48,-1.0,1.71,12.26,28.15
2018-09-28 17:19:48,-1.0,1.24,12.12,27.4
2018-09-28 17:34:48,-1.0,0.92,12.39,26.78
2018-09-28 17:49:48,-1.0,0.56,12.52,25.97
2018-09-28 18:04:48,-1.0,0.26,12.52,25.16
2018-09-28 18:19:48,-1.0,0.1,12.52,24.43
2018-09-28 18:34:48,-1.0,0.1,11.99,23.93
2018-09-28 18:49:48,-1.0,0.1,12.12,23.42
2018-09-28 19:04:48,-1.0,0.1,12.39,23.05
2018-09-28 19:19:48,-1.0,0.1,12.12,22.58
2018-09-28 19:34:48,-1.0,0.1,12.52,22.44
2018-09-28 19:49:48,-1.0,0.1,12.52,22.12
2018-09-28 20:04:48,-1.0,0.1,12.39,21.79
2018-09-28 20:19:48,-1.0,0.1,12.12,21.45
2018-09-28 20:34:48,-1.0,0.1,12.39,21.36
2018-09-28 20:49:48,-1.0,0.1,12.39,21.26
2018-09-28 21:04:48,-1.0,0.1,12.39,20.93
2018-09-28 21:19:48,-1.0,0.1,12.12,20.74
2018-09-28 21:34:48,-1.0,0.1,12.52,20.64
2018-09-28 21:49:48,-1.0,0.1,12.12,20.45
2018-09-28 22:04:48,-1.0,0.1,12.52,20.16
2018-09-28 22:19:48,-1.0,0.1,12.65,20.06
2018-09-28 22:34:48,-1.0,0.1,12.39,20.01
2018-09-28 22:49:48,-1.0,0.1,12.52,19.67
2018-09-28 23:04:48,-1.0,0.1,12.26,19.62
2018-09-28 23:19:48,-1.0,0.1,12.65,19.57
2018-09-28 23:34:48,-1.0,0.1,12.39,19.48
2018-09-28 23:49:48,-1.0,0.1,12.65,19.38
2018-09-29 00:04:48,-1.0,0.1,12.26,19.33
2018-09-29 00:19:48,-1.0,0.1,12.52,19.57
2018-09-29 00:34:48,-1.0,0.1,12.26,19.67
2018-09-29 00:49:48,-1.0,0.1,12.26,19.62
2018-09-29 01:04:48,-1.0,0.1,11.86,19.57
2018-09-29 01:19:48,-1.0,0.1,11.99,18.88
2018-09-29 01:34:48,-1.0,0.1,12.52,18.19
2018-09-29 01:49:48,-1.0,0.1,12.65,18.29
2018-09-29 02:04:48,-1.0,0.1,12.39,17.93
2018-09-29 02:19:48,-1.0,0.1,12.65,18.03
2018-09-29 02:34:48,-1.0,0.1,12.39,18.19
2018-09-29 02:49:48,-1.0,0.1,11.99,18.13
2018-09-29 03:04:48,-1.0,0.1,12.39,18.08
2018-09-29 03:19:48,-1.0,0.1,12.39,18.13
2018-09-29 03:34:48,-1.0,0.1,12.26,18.24
2018-09-29 03:49:48,-1.0,0.1,12.39,17.73
2018-09-29 04:04:48,-1.0,0.1,12.39,18.03
2018-09-29 04:19:48,-1.0,0.1,12.39,18.93
2018-09-29 04:34:48,-1.0,0.1,12.12,19.23
2018-09-29 04:49:48,-1.0,0.1,12.12,18.83
2018-09-29 05:04:48,-1.0,0.1,12.26,18.78
2018-09-29 05:19:48,-1.0,0.1,12.12,18.44
2018-09-29 05:34:48,-1.0,0.1,12.26,19.33
2018-09-29 05:49:48,-1.0,0.1,12.12,19.33
2018-09-29 06:04:48,-1.0,0.1,12.65,18.64
2018-09-29 06:19:48,-1.0,0.1,12.65,18.44
2018-09-29 06:34:48,-1.0,0.14,11.99,18.59
2018-09-29 06:49:48,-1.0,0.36,12.65,18.83
2018-09-29 07:04:48,-1.0,0.68,12.39,19.53
2018-09-29 07:19:48,-1.0,1.22,12.39,20.83
2018-09-29 07:34:48,-1.0,6.41,12.39,22.49
2018-09-29 07:49:48,-1.0,5.42,12.39,25.2
2018-09-29 08:04:48,-1.0,7.39,12.26,26.1
2018-09-29 08:19:48,-1.0,10.8,12.39,25.7
2018-09-29 08:34:48,-1.0,3.68,12.12,25.43
2018-09-29 08:49:48,-1.0,37.52,12.39,32.04
2018-09-29 09:04:48,-1.0,39.12,12.52,33.96
2018-09-29 09:19:48,-1.0,12.71,12.39,29.61
2018-09-29 09:34:48,-1.0,2.63,12.12,27.53
2018-09-29 09:49:48,-1.0,4.16,12.39,27.36
2018-09-29 10:04:48,-1.0,2.6,12.26,27.62
2018-09-29 10:19:48,-1.0,2.56,12.26,27.27
2018-09-29 10:34:48,-1.0,2.54,12.26,26.91
2018-09-29 10:49:48,-1.0,2.35,12.52,27.09
2018-09-29 11:04:48,-1.0,2.66,12.52,27.53
2018-09-29 11:19:48,-1.0,2.88,12.39,27.18
2018-09-29 11:34:48,-1.0,14.45,12.39,27.62
2018-09-29 11:49:48,-1.0,3.44,12.26,27.67
2018-09-29 12:04:48,-1.0,9.23,12.39,27.58
2018-09-29 12:19:48,-1.0,28.5,12.52,29.3
2018-09-29 12:34:48,-1.0,6.52,12.39,29.44
2018-09-29 12:49:48,-1.0,2.73,12.65,28.24
2018-09-29 13:04:48,-1.0,2.5,12.52,27.93
