capture_datetime_utc,fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2018-09-26 16:25:15,-1.0,4.69,10.97,29.48
2018-09-26 16:40:15,-1.0,3.62,11.23,28.69
2018-09-26 16:55:15,-1.0,2.45,11.1,28.2
2018-09-26 17:10:15,-1.0,1.19,10.71,27.71
2018-09-26 17:25:15,-1.0,0.3,10.97,27.09
2018-09-26 17:40:15,-1.0,0.1,10.84,26.78
2018-09-26 17:55:15,-1.0,0.1,10.97,26.37
2018-09-26 18:10:15,-1.0,0.1,10.84,26.37
2018-09-26 18:25:15,-1.0,0.1,11.1,26.19
2018-09-26 18:40:15,-1.0,0.1,10.84,26.19
2018-09-26 18:55:15,-1.0,0.1,10.57,26.1
2018-09-26 19:10:15,-1.0,0.1,10.84,25.88
2018-09-26 19:25:15,-1.0,0.1,11.1,25.7
2018-09-26 19:40:15,-1.0,0.1,11.1,25.25
2018-09-26 19:55:15,-1.0,0.1,10.84,24.84
2018-09-26 20:10:15,-1.0,0.1,10.84,24.61
2018-09-26 20:25:15,-1.0,0.1,10.57,24.25
2018-09-26 20:40:15,-1.0,0.1,10.71,24.2
2018-09-26 20:55:15,-1.0,0.1,10.57,24.11
2018-09-26 21:10:15,-1.0,0.1,10.84,24.79
2018-09-26 21:25:15,-1.0,0.1,10.71,24.84
2018-09-26 21:40:15,-1.0,0.1,10.44,24.7
2018-09-26 21:55:15,-1.0,0.1,10.84,24.48
2018-09-26 22:10:15,-1.0,0.1,10.57,24.66
2018-09-26 22:25:15,-1.0,0.1,10.84,24.52
2018-09-26 22:40:15,-1.0,0.1,10.84,24.61
2018-09-26 22:55:15,-1.0,0.1,11.1,24.66
2018-09-26 23:10:15,-1.0,0.1,10.71,24.79
2018-09-26 23:25:15,-1.0,0.1,10.57,24.89
2018-09-26 23:40:15,-1.0,0.1,10.57,24.66
2018-09-26 23:55:15,-1.0,0.1,10.44,24.66
2018-09-27 00:10:15,-1.0,0.1,10.31,24.34
2018-09-27 00:25:15,-1.0,0.1,10.57,23.7
2018-09-27 00:40:15,-1.0,0.1,10.57,23.88
2018-09-27 00:55:15,-1.0,0.1,10.71,24.34
2018-09-27 01:10:15,-1.0,0.1,10.57,24.34
2018-09-27 01:25:15,-1.0,0.1,10.84,23.97
2018-09-27 01:40:15,-1.0,0.1,10.71,23.56
2018-09-27 01:55:15,-1.0,0.1,10.57,23.19
2018-09-27 02:10:15,-1.0,0.1,10.71,22.72
2018-09-27 02:25:15,-1.0,0.1,10.97,22.72
