longName,VDL_ID,CLASS
0564 ER01 GRID,ER,GRID
533F ER02 GRID,ER,GRID
9431 ER03 GRID,ER,GRID
4704 ER04 GRID,ER,GRID
5B33 ER05 GRID,ER,GRID
4EFA ER06 GRID,ER,GRID
6A37 FR01 GRID,FR,GRID
9417 FR02 GRID,FR,GRID
5968 FW01 GRID,FW,GRID
5991 MN01 GRID,MN,GRID
2CD5 MN02 HM-TEST,MN,HM
5D17 MN03 HM-CONTROL,MN,HM
3A30 MN04 HM-TEST,MN,HM
392B MN05 HM-CONTROL,MN,HM
41BE MN06 HM-TEST,MN,HM
35E2 MN07 HM-CONTROL,MN,HM
1099 MN08 HM-TEST,MN,HM
5B8B MN09 HM-CONTROL,MN,HM
5D46 MN10 HM-CONTROL,MN,HM
61DB MN11 HM-TEST,MN,HM
57E5 MN12 GRID,MN,GRID
5654 MN13 SW-TEST,MN,SW
5FFA MN14 MA-TEST,MN,MA
4AE2 MN15 MAb-TEST,MN,MA
2F1D MN16 MA-TEST,MN,MA
983A MN17 SW-TEST,MN,SW
34A3 MN18 MB-TEST,MN,MB
608E MN19 MBb-TEST,MN,MB
ACD1 MN20 MB-TEST,MN,MB
5FA9 MN21 SW-TEST,MN,SW
0F0C MN22 MC-TEST,MN,MC
316E MN23 MCb-TEST,MN,MC
676F MN24 MC-TEST,MN,MC
640D MN25 SW-TEST,MN,SW
0F04 MN26 MA-TEST,MN,MA
0F48 MN27 MAb-TEST,MN,MA
63B0 MN28 MA-TEST,MN,MA
FD71 MN29 SW-TEST,MN,SW
59F0 MN30 MB-TEST,MN,MB
3757 MN31 MC-TEST,MN,MC
5559 MN32 MCb-TEST,MN,MC
3120 MN33 MC-TEST,MN,MC
1CA2 MN34 MCb-TEST,MN,MC
671D MN35 MC-TEST,MN,MC
33A1 MN36 MBb-TEST,MN,MB
3390 MN37 MB-TEST,MN,MB
1659 MN38 MAb-TEST,MN,MA
1E8C MN39 MA-TEST,MN,MA
53C2 MN40 MCb-TEST,MN,MC
FFFD MN41 MC-TEST,MN,MC
587C MN42 MBb-TEST,MN,MB
641D MN43 MB-TEST,MN,MB
5738 MN44 MAb-TEST,MN,MA
31DD MN45 MA-TEST,MN,MA
5EC4 MN46 MAb-TEST,MN,MA
40A0 MN47 MA-TEST,MN,MA
CF87 OG01 GRID,OG,GRID
65E0 OG02 GRID,OG,GRID
6099 OG03 GRID,OG,GRID
6F1C OG04 GRID,OG,GRID
5176 OG05 GRID,OG,GRID
1BF2 OG06 GRID,OG,GRID
9545 OG07 GRID,OG,GRID
09E3 OG08 GRID,OG,GRID
586F SB01 GRID,SB,GRID
926F SB02 GRID,SB,GRID
58A2 SB03 GRID,SB,GRID
9FB7 SB04 GRID,SB,GRID
95B0 SB05 GRID,SB,GRID
4E71 SB06 GRID,SB,GRID
65C0 SB07 GRID,SB,GRID
54AD SB08 GRID,SB,GRID
553F SB09 GRID,SB,GRID
4D23 SB10 GRID,SB,GRID
A45D SB11 GRID,SB,GRID
2BB7 SB12 GRID,SB,GRID
5FD8 SS01 SW1a-TEST,SS,SW
6401 SS02 SW1a-TEST,SS,SW
5E32 SS03 SW1a-TEST,SS,SW
5E42 SS04 SW1t-TEST,SS,SW
334B SS05 SW1t-TEST,SS,SW
321D SS06 SW1b-TEST,SS,SW
2CF7 SS07 SW1b-TEST,SS,SW
249F SS08 SW1b-TEST,SS,SW
5B9E SS09 SW1p-TEST,SS,SW
391F SS10 SW1p-TEST,SS,SW
3136 SS11 SW2a-TEST,SS,SW
632D SS12 SW2a-TEST,SS,SW
2187 SS13 SW2a-TEST,SS,SW
536D SS14 SW2t-TEST,SS,SW
5BC7 SS15 SW2t-TEST,SS,SW
4AA5 SS16 SW2b-TEST,SS,SW
0635 SS17 SW2b-TEST,SS,SW
55E3 SS18 SW2b-TEST,SS,SW
5766 SS19 SW2p-TEST,SS,SW
6074 SS20 SW3a-TEST,SS,SW
5F9D SS21 SW2p-TEST,SS,SW
39B3 SS22 SW3a-TEST,SS,SW
0025 SS23 SW3a-TEST,SS,SW
5F14 SS24 SW3t-TEST,SS,SW
5FB5 SS25 SW3t-TEST,SS,SW
6339 SS26 SW3b-TEST,SS,SW
5181 SS27 SW3b-TEST,SS,SW
4176 SS28 SW3b-TEST,SS,SW
4A9D SS29 SW3p-TEST,SS,SW
6CD4 SS30 SW3p-TEST,SS,SW
9610 SS31 SW3p-TEST,SS,SW
5D64 SS32 SW3p-TEST,SS,SW
4BEA SS33 SW3p-TEST,SS,SW
5151 SS34 SW3p-TEST,SS,SW
08CC SS35 SW3p-TEST,SS,SW
5C9B SS36 HPG-TEST,SS,HPG
60CB SS37 HPG-TEST,SS,HPG
54B8 SS38 HPG-TEST,SS,HPG
63D4 SS39 HPG-TEST,SS,HPG
2E26 SS40 HPG-TEST,SS,HPG
61FC SS41 HPG-TEST,SS,HPG
5DF9 SS42 HPG-TEST,SS,HPG
A06F SS43 HPG-TEST,SS,HPG
4D8F SS44 HPG-CONTROL,SS,HPG
58DD SS45 HPG-CONTROL,SS,HPG
